,id
기타-E-Learning,0
기타-NCS과목,1
기타-교양영어,2
기타-교양한국어,3
기타-법학과목,4
기타-비사대교직,5
기타-사범대 교직과정,6
기타-외국인교양,7
기타-원어강의,8
기타-인하공학교육혁신센터,9
기타-일반교양,10
기타-크로스오버,11
기타-핵심교양,12
IBT학과-국제경영학,13
ISE학과-융합시스템공학,14
KLC학과-국제한국언어문화학,15
간호학과-간호학,16
건축학부-건축공학,17
건축학부-건축학,18
경영학과-경영학,19
경제학과-경제학,20
고분자공학과-고분자공학,21
공간정보공학과-공간정보공학,22
공과대학(FVE)-미래자동차공학,23
교육학과-교육학,24
국어교육과-국어교육,25
국제통상학과-국제통상학,26
글로벌금융학과-글로벌금융학,27
금융투자학과-금융투자학,28
기계공학과-기계공학,29
데이터사이언스학과-데이터사이언스학,30
디자인융합학과-디자인융합학,31
디자인테크놀로지학과-디자인테크놀로지학,32
메카트로닉스공학과-메카트로닉스공학,33
문화콘텐츠문화경영학과-문화콘텐츠문화경영학,34
물리학과-물리학,35
미디어커뮤니케이션학과-미디어커뮤니케이션학,36
바이오제약공학과-바이오제약공학,37
반도체산업융합학과-반도체산업융합,38
반도체시스템공학과-반도체시스템공학,39
사학과-사학,40
사회교육과-사회교육,41
사회복지학과-사회복지학,42
사회인프라공학과-사회인프라공학,43
산업경영공학과-산업경영공학,44
산업경영학과-산업경영학,45
생명공학과-생명공학,46
생명과학과-생명과학,47
소비자학과-소비자학,48
소프트웨어융합공학과-소프트웨어융합공학,49
소프트웨어융합대학(SCSC)-연계전공(SCSC),50
수학과-수학,51
수학교육과-수학교육,52
스마트모빌리티공학과-스마트모빌리티공학,53
스포츠과학과-스포츠과학,54
식품영양학과-식품영양학,55
신소재공학과-반도체공학,56
신소재공학과-신소재공학,57
아동심리학과-아동심리학,58
아태물류학부-물류학,59
에너지자원공학과-에너지자원공학,60
연극영화학과-연극영화학,61
영어교육과-영어교육,62
영어영문학과-영어영문학,63
의류디자인학과-의류디자인학,64
의예과-의예,65
의학과-의학,66
인공지능공학과-인공지능공학,67
일본언어문화학과-일본언어문화,68
자유전공학부-자유전공학부,69
전기공학과-전기공학,70
전자공학과-전자공학,71
정보통신공학과-인공지능반도체공학,72
정보통신공학과-정보통신공학,73
정치외교학과-기후위기대응,74
정치외교학과-정치외교학,75
조선해양공학과-조선해양공학,76
조형예술학과-조형예술학,77
중국학과-중국학,78
철학과-철학,79
체육교육과-체육교육,80
컴퓨터공학과-컴퓨터공학,81
통계학과-통계학,82
프랑스언어문화학과-프랑스언어문화,83
프런티어학부대학-프런티어학부대학,84
한국어문학과-한국어문학,85
항공우주공학과-항공우주공학,86
해양과학과-해양과학,87
행정학과-행정학,88
화학공학과-이차전지공학,89
화학공학과-화학공학,90
화학과-화학,91
환경공학과-환경공학,92
