,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,IGS1160-001,IGS1160,1,중급한국어,전체,3.0,교양필수,"화1,2,3,수1,2,3(M-321)",최권진,상대평가, 
1,IGS1161-001,IGS1161,1,한국어와 한국문화,전체,3.0,교양필수,"월7,8,9,수7,8,9(M-321)",남은영,상대평가, 
2,IGS2160-001,IGS2160,1,언어의 이해,전체,3.0,교양필수,"화13,14,15,16,17,18(M-321)",칼리나,상대평가, 
3,KLC2161-001,KLC2161,1,한국문학 입문,전체,3.0,전공필수,"목13,14,15,16,17,18(M-321)",장현정,상대평가, 
4,KLC2162-001,KLC2162,1,한국문화 입문,전체,3.0,전공필수,"월4,5,6,수4,5,6(M-301)",남은영,상대평가, 
5,KLC2163-001,KLC2163,1,한국어 어휘,전체,3.0,전공선택,"화13,14,15,목13,14,15(M-322)",김수정,상대평가, 
6,KLC2164-001,KLC2164,1,한류의 이해,전체,3.0,전공선택,"월10,11,12,수10,11,12(M-321)",남은영,상대평가, 
7,KLC3160-001,KLC3160,1,한국어 규범과 한국언어문화,전체,3.0,전공필수,"화7,8,9,목7,8,9(M-321)",문현수,상대평가, 
8,KLC3161-001,KLC3161,1,한국어통번역 입문,전체,3.0,전공필수,"화10,11,12,수10,11,12(M-322)",최권진,상대평가, 
9,KLC3164-001,KLC3164,1,한국고전과 한국문화,전체,3.0,전공선택,"목1,2,3,4,5,6(M-321)",허희수,상대평가, 
10,KLC3165-001,KLC3165,1,애니메이션과 한국문화,전체,3.0,전공선택,"월4,5,6,수1,2,3(9-217)",류수연,상대평가, 
11,KLC4161-001,KLC4161,1,미디어와 한국어,전체,3.0,전공선택,"화4,5,6,수4,5,6(M-321)",최권진,상대평가, 
12,KLC4164-001,KLC4164,1,한국어 현장실습,전체,3.0,전공선택,"월13,14,15,16,수13,14,15,16(M-321)",최권진,절대평가, 
