,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,IBT4108-001,IBT4108,1,테크놀로지 혁신과 기업가정신,전체,3.0,전공선택,"화10,11,12,수16,17,18(9-203)",김빅토리아,상대평가, 
1,CBA1102-011,CBA1102,11,경영학원론,1,3.0,교양필수,"월1,2,3(M-224) /수1,2,3(M-121)",배경미,상대평가,"영어,English"
2,IBT1201-001,IBT1201,1,회계원론,1,3.0,전공필수,"화4,5,6,목4,5,6(M-121)",유정민,상대평가,"영어,English"
3,IGS1102-001,IGS1102,1,경영 소프트웨어 활용,1,3.0,교양필수,"화1,2,3,목1,2,3(6-326)",말리카,상대평가,English
4,IGS1130-001,IGS1130,1,응용수학,1,3.0,교양필수,"월4,5,6,금7,8,9(M-121)",마명걸,상대평가,"영어,English"
5,IGS1130-002,IGS1130,2,응용수학,1,3.0,교양필수,"월16,17,18,목10,11,12(M-121)",세라오,상대평가,English
6,IGS1131-001,IGS1131,1,SW 프로그래밍,1,3.0,교양필수,"금10,11,12,13,14,15(5동116A)",후마윤,상대평가,English
7,IGS1131-002,IGS1131,2,SW 프로그래밍,1,3.0,교양필수,"금10,11,12,13,14,15(M-224)",샤페눌,상대평가,English
8,IGS1204-001,IGS1204,1,비즈니스 컨텍스트와 문화 커뮤니케이션,1,3.0,교양필수,셀0(웹강의),배경미,상대평가,"영어,English"
9,IBT2101-001,IBT2101,1,비즈니스 영어,2,3.0,전공선택,"월13,14,15,수13,14,15(M-322)",미셸권,상대평가,English
10,IBT2102-001,IBT2102,1,국제경영전략,2,3.0,전공필수,"화10,11,12(6-326) /금1,2,3(M-121)",배경미,상대평가,"영어,English"
11,IBT2104-001,IBT2104,1,국제 이벤트 관리론,2,3.0,전공선택,"화13,14,15,16,17,18(9-217)",김보나,상대평가,"영어,English"
12,IBT2107-001,IBT2107,1,세계경제,2,3.0,전공선택,"금10,11,12,13,14,15(M-121)",티티리가,상대평가,English
13,IBT2108-001,IBT2108,1,국제인적자원관리론,2,3.0,전공선택,"월7,8,9,수7,8,9(M-121)",김빅토리아,상대평가,English
14,IBT2201-001,IBT2201,1,국제금융과 재무,2,3.0,전공선택,"수16,17,18,19,20,21(M-121)",강재택,상대평가,"영어,English"
15,IBT2202-001,IBT2202,1,글로벌 오퍼레이션,2,3.0,전공선택,"화7,8,9(6-326) /금4,5,6(M-121)",배경미,상대평가,"영어,English"
16,IGS2107-001,IGS2107,1,경영통계,2,3.0,교양필수,"화13,14,15,목13,14,15(M-121)",샤모하마디,상대평가,English
17,IBT3108-001,IBT3108,1,마케팅 리서치,3,3.0,전공선택,"화7,8,9,수7,8,9(2북465)",정소원,상대평가,"영어,English"
18,IBT3110-001,IBT3110,1,글로벌 소비자 행동론,3,3.0,전공선택,"화13,14,15,수13,14,15(9-203)",홍지미,상대평가,"영어,English"
19,IBT3112-001,IBT3112,1,조직행동,3,3.0,전공필수,"화4,5,6(6-326) /금7,8,9(9-217)",배경미,상대평가,"영어,English"
20,IBT3113-001,IBT3113,1,국제서비스관리론,3,3.0,전공필수,"목1,2,3,4,5,6(9-203)",김보나,상대평가,"영어,English"
21,IBT3201-001,IBT3201,1,국제마케팅,3,3.0,전공필수,"화4,5,6,수4,5,6(60주년-809)",정소원,상대평가,"영어,English"
22,IBT3202-001,IBT3202,1,물류관리론,3,3.0,전공필수,"월16,17,18,수16,17,18(9-217)",샤모하마디,상대평가,English
23,IBT4101-001,IBT4101,1,국제경영과 무역이슈,4,3.0,전공선택,"화7,8,9,수7,8,9(M-322)",매츠,상대평가,English
24,IBT4105-001,IBT4105,1,빅데이터 분석,4,3.0,전공선택,"월7,8,9,금7,8,9(9-203)",카카니비제이,상대평가,English
25,IBT4106-001,IBT4106,1,마케팅 커뮤니케이션 캠페인,4,3.0,전공선택,"목1,2,3,4,5,6(M-322)",홍지미,상대평가,"영어,English"
26,IBT4107-001,IBT4107,1,IT와 특허제도,4,3.0,전공선택,"금1,2,3,4,5,6(M-322)",이수미,상대평가,"영어,English"
27,IBT4109-001,IBT4109,1,경영통계 심화-R 이용한 경영 자료 분석,4,3.0,전공선택,"월19,20,21,22,수19,20,21,22(2북465)",샤모하마디,상대평가,English
28,IBT4110-001,IBT4110,1,국제 비즈니스 커뮤니케이션 심화,4,3.0,전공선택,"월4,5,6,수4,5,6(9-203)",김빅토리아,상대평가,English
29,IBT4202-001,IBT4202,1,국제물류론,4,3.0,전공선택,"화16,17,18,목16,17,18(M-121)",샤모하마디,상대평가,English
30,IBT4206-001,IBT4206,1,공학과 경영학 융합 캡스톤 디자인 (이론),4,3.0,전공선택,"월16,17,18,19,20,21(M-224)","메히디,김빅토리아",절대평가,English
31,IBT4207-001,IBT4207,1,공학과 경영학 융합 캡스톤 디자인 (실습),4,1.0,전공선택,"화1,2,3,4(M-224)","메히디,김빅토리아",절대평가,English
