,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,NUR1015-001,NUR1015,1,간호학개론,1,1.0,전공필수,"월13,14(5동202)",임지영,상대평가, 
1,NUR1015-002,NUR1015,2,간호학개론,1,1.0,전공필수,"월17,18(5동202)",임지영,상대평가, 
2,NUR1017-001,NUR1017,1,건강격차와 복지사회,1,2.0,전공선택,"목5,6,7,8(5남551)",최승우,상대평가, 
3,NUR1019-001,NUR1019,1,기초자연과학,1,3.0,교양필수,"월10,11,12(60주년-108) /수4,5,6(5서365)",김정호,상대평가, 
4,NUR2002-001,NUR2002,1,미생물학,2,2.0,교양필수,"화1,2,3,4(5동202)","신진욱,신민혜",상대평가, 
5,NUR2003-001,NUR2003,1,해부생리학 2,2,3.0,교양필수,"월1,2,3,수10,11,12(5동202)",서화숙,상대평가, 
6,NUR2004-001,NUR2004,1,해부생리학실습 2,2,1.0,교양필수,"월5,6,7,8(5동306A)",서화숙,상대평가, 
7,NUR2004-002,NUR2004,2,해부생리학실습 2,2,1.0,교양필수,"월9,10,11,12(5동306A)",서화숙,상대평가, 
8,NUR2010-001,NUR2010,1,기본간호학 1,2,2.0,전공필수,"화5,6,7,8(5동202)",김화순,상대평가, 
9,NUR2010-002,NUR2010,2,기본간호학 1,2,2.0,전공필수,"화9,10,11,12(5동202)",서민희,상대평가, 
10,NUR2012-001,NUR2012,1,기본간호학실습 1,2,1.0,전공필수,"화10,11,12,13(5동307)",김화순,절대평가, 
11,NUR2012-002,NUR2012,2,기본간호학실습 1,2,1.0,전공필수,"화16,17,18,19(5동307)",김화순,절대평가, 
12,NUR2012-003,NUR2012,3,기본간호학실습 1,2,1.0,전공필수,"목9,10,11,12(5동307)",서민희,절대평가, 
13,NUR2012-004,NUR2012,4,기본간호학실습 1,2,1.0,전공필수,"목13,14,15,16(5동307)",서민희,절대평가, 
14,NUR3003-001,NUR3003,1,아동간호학실습 1,3,1.0,전공필수,"목1,2,3,4,5,6(인하대병원)","강나래,우효주",절대평가, 
