,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,GEB1107-001,GEB1107,1,의사소통 영어,1,3.0,교양필수,"월1,2,3,수4,5,6(60주년-705)",랜디,상대평가, 
1,GEB1107-002,GEB1107,2,의사소통 영어,1,3.0,교양필수,"월1,2,3,수4,5,6(60주년-505)",엠버,상대평가, 
2,GEB1107-003,GEB1107,3,의사소통 영어,1,3.0,교양필수,"월1,2,3,수4,5,6(60주년-502)",테리로즈,상대평가, 
3,GEB1107-004,GEB1107,4,의사소통 영어,1,3.0,교양필수,"월4,5,6,수1,2,3(60주년-705)",랜디,상대평가, 
4,GEB1107-005,GEB1107,5,의사소통 영어,1,3.0,교양필수,"월4,5,6,수1,2,3(60주년-505)",엠버,상대평가, 
5,GEB1107-006,GEB1107,6,의사소통 영어,1,3.0,교양필수,"월4,5,6,수1,2,3(60주년-502)",테리로즈,상대평가, 
6,GEB1107-007,GEB1107,7,의사소통 영어,1,3.0,교양필수,"월4,5,6,수1,2,3(60주년-506)",스티븐존스,상대평가, 
7,GEB1107-008,GEB1107,8,의사소통 영어,1,3.0,교양필수,"월7,8,9,목1,2,3(60주년-505)",엠버,상대평가, 
8,GEB1107-009,GEB1107,9,의사소통 영어,1,3.0,교양필수,"월10,11,12,목4,5,6(60주년-705)",랜디,상대평가, 
9,GEB1107-010,GEB1107,10,의사소통 영어,1,3.0,교양필수,"월10,11,12,목4,5,6(60주년-506)",스티븐존스,상대평가, 
10,GEB1107-011,GEB1107,11,의사소통 영어,1,3.0,교양필수,"월13,14,15,수13,14,15(60주년-505)",엠버,상대평가, 
11,GEB1107-012,GEB1107,12,의사소통 영어,1,3.0,교양필수,"화1,2,3,목10,11,12(60주년-605)",그레고리맥닐,상대평가, 
12,GEB1107-013,GEB1107,13,의사소통 영어,1,3.0,교양필수,"화1,2,3,목10,11,12(60주년-505)",엠버,상대평가, 
13,GEB1107-014,GEB1107,14,의사소통 영어,1,3.0,교양필수,"화1,2,3,목10,11,12(60주년-506)",스티븐존스,상대평가, 
14,GEB1107-015,GEB1107,15,의사소통 영어,1,3.0,교양필수,"화4,5,6,목7,8,9(60주년-705)",랜디,상대평가, 
15,GEB1107-016,GEB1107,16,의사소통 영어,1,3.0,교양필수,"화4,5,6,목7,8,9(60주년-605)",그레고리맥닐,상대평가, 
16,GEB1107-017,GEB1107,17,의사소통 영어,1,3.0,교양필수,"화4,5,6,목7,8,9(60주년-505)",엠버,상대평가, 
17,GEB1107-018,GEB1107,18,의사소통 영어,1,3.0,교양필수,"화4,5,6,목7,8,9(60주년-502)",테리로즈,상대평가, 
18,GEB1107-019,GEB1107,19,의사소통 영어,1,3.0,교양필수,"화7,8,9,금4,5,6(60주년-705)",랜디,상대평가, 
19,GEB1107-020,GEB1107,20,의사소통 영어,1,3.0,교양필수,"화7,8,9,금4,5,6(60주년-605)",그레고리맥닐,상대평가, 
20,GEB1107-021,GEB1107,21,의사소통 영어,1,3.0,교양필수,"화7,8,9,금4,5,6(60주년-502)",테리로즈,상대평가, 
21,GEB1107-022,GEB1107,22,의사소통 영어,1,3.0,교양필수,"화7,8,9,금4,5,6(60주년-506)",스티븐존스,상대평가, 
22,GEB1107-023,GEB1107,23,의사소통 영어,1,3.0,교양필수,"화10,11,12,금1,2,3(60주년-502)",테리로즈,상대평가, 
23,GEB1107-024,GEB1107,24,의사소통 영어,1,3.0,교양필수,"화10,11,12,금1,2,3(60주년-506)",스티븐존스,상대평가, 
24,GEB1107-025,GEB1107,25,의사소통 영어,1,3.0,교양필수,"화13,14,15,목13,14,15(60주년-705)",랜디,상대평가, 
25,GEB1107-026,GEB1107,26,의사소통 영어,1,3.0,교양필수,"화13,14,15,목13,14,15(60주년-505)",엠버,상대평가, 
26,GEB1107-027,GEB1107,27,의사소통 영어,1,3.0,교양필수,"수7,8,9,금10,11,12(60주년-705)",랜디,상대평가, 
27,GEB1107-028,GEB1107,28,의사소통 영어,1,3.0,교양필수,"수7,8,9,금10,11,12(60주년-605)",그레고리맥닐,상대평가, 
28,GEB1107-029,GEB1107,29,의사소통 영어,1,3.0,교양필수,"수10,11,12,금7,8,9(60주년-605)",그레고리맥닐,상대평가, 
29,GEB1107-030,GEB1107,30,의사소통 영어,1,3.0,교양필수,"토1,2,3,4,5,6(60주년-706)",스티브콘틱,상대평가,미래융합대학 전용분반
30,GEB1107-031,GEB1107,31,의사소통 영어,1,3.0,교양필수,"토9,10,11,12,13,14(60주년-706)",스티브콘틱,상대평가,미래융합대학 전용분반
31,GEB1107-032,GEB1107,32,의사소통 영어,1,3.0,교양필수,"토1,2,3,4,5,6(60주년-701)",코너,상대평가,미래융합대학 전용분반
32,GEB1108-001,GEB1108,1,의사소통 영어: 중급,1,3.0,교양필수,"월1,2,3,수4,5,6(60주년-601)",스트롱,상대평가, 
33,GEB1108-002,GEB1108,2,의사소통 영어: 중급,1,3.0,교양필수,"월1,2,3,수4,5,6(60주년-606)",크리스틀,상대평가, 
34,GEB1108-003,GEB1108,3,의사소통 영어: 중급,1,3.0,교양필수,"월4,5,6,수1,2,3(60주년-601)",스트롱,상대평가, 
35,GEB1108-004,GEB1108,4,의사소통 영어: 중급,1,3.0,교양필수,"월7,8,9,목1,2,3(60주년-606)",크리스틀,상대평가, 
36,GEB1108-005,GEB1108,5,의사소통 영어: 중급,1,3.0,교양필수,"월7,8,9,목1,2,3(60주년-502)",테리로즈,상대평가, 
37,GEB1108-006,GEB1108,6,의사소통 영어: 중급,1,3.0,교양필수,"월10,11,12,목4,5,6(60주년-601)",스트롱,상대평가, 
38,GEB1108-007,GEB1108,7,의사소통 영어: 중급,1,3.0,교양필수,"월10,11,12,목4,5,6(60주년-602)",장진이,상대평가, 
39,GEB1108-008,GEB1108,8,의사소통 영어: 중급,1,3.0,교양필수,"월10,11,12,목4,5,6(60주년-701)",코너,상대평가, 
40,GEB1108-009,GEB1108,9,의사소통 영어: 중급,1,3.0,교양필수,"월10,11,12,목4,5,6(60주년-502)",테리로즈,상대평가, 
41,GEB1108-010,GEB1108,10,의사소통 영어: 중급,1,3.0,교양필수,"월13,14,15,수13,14,15(60주년-602)",장진이,상대평가, 
42,GEB1108-011,GEB1108,11,의사소통 영어: 중급,1,3.0,교양필수,"월13,14,15,수13,14,15(60주년-701)",코너,상대평가, 
43,GEB1108-012,GEB1108,12,의사소통 영어: 중급,1,3.0,교양필수,"화1,2,3,목10,11,12(60주년-706)",스티브콘틱,상대평가, 
44,GEB1108-013,GEB1108,13,의사소통 영어: 중급,1,3.0,교양필수,"화1,2,3,목10,11,12(60주년-601)",스트롱,상대평가, 
45,GEB1108-014,GEB1108,14,의사소통 영어: 중급,1,3.0,교양필수,"화1,2,3,목10,11,12(60주년-606)",크리스틀,상대평가, 
46,GEB1108-015,GEB1108,15,의사소통 영어: 중급,1,3.0,교양필수,"화4,5,6,목7,8,9(60주년-706)",스티브콘틱,상대평가, 
47,GEB1108-016,GEB1108,16,의사소통 영어: 중급,1,3.0,교양필수,"화4,5,6,목7,8,9(60주년-602)",장진이,상대평가, 
48,GEB1108-017,GEB1108,17,의사소통 영어: 중급,1,3.0,교양필수,"화4,5,6,목7,8,9(60주년-606)",크리스틀,상대평가, 
49,GEB1108-018,GEB1108,18,의사소통 영어: 중급,1,3.0,교양필수,"화4,5,6,목7,8,9(60주년-701)",코너,상대평가, 
50,GEB1108-020,GEB1108,20,의사소통 영어: 중급,1,3.0,교양필수,"화7,8,9,금4,5,6(60주년-602)",장진이,상대평가, 
51,GEB1108-021,GEB1108,21,의사소통 영어: 중급,1,3.0,교양필수,"화7,8,9,금4,5,6(60주년-701)",코너,상대평가, 
52,GEB1108-022,GEB1108,22,의사소통 영어: 중급,1,3.0,교양필수,"화10,11,12,금1,2,3(60주년-606)",크리스틀,상대평가, 
53,GEB1108-023,GEB1108,23,의사소통 영어: 중급,1,3.0,교양필수,"화13,14,15,목13,14,15(60주년-706)",스티브콘틱,상대평가, 
54,GEB1108-024,GEB1108,24,의사소통 영어: 중급,1,3.0,교양필수,"화13,14,15,목13,14,15(60주년-602)",장진이,상대평가, 
55,GEB1108-025,GEB1108,25,의사소통 영어: 중급,1,3.0,교양필수,"수7,8,9,금10,11,12(60주년-602)",장진이,상대평가, 
56,GEB1108-026,GEB1108,26,의사소통 영어: 중급,1,3.0,교양필수,"수7,8,9,금10,11,12(60주년-701)",코너,상대평가, 
57,GEB1108-027,GEB1108,27,의사소통 영어: 중급,1,3.0,교양필수,"수10,11,12,금7,8,9(60주년-606)",크리스틀,상대평가, 
58,GEB1108-028,GEB1108,28,의사소통 영어: 중급,1,3.0,교양필수,"수10,11,12,금7,8,9(60주년-701)",코너,상대평가, 
59,GEB1109-001,GEB1109,1,의사소통 영어: 고급,1,3.0,교양필수,"월1,2,3,수4,5,6(60주년-706)",스티브콘틱,상대평가,국제학부 전용분반
60,GEB1109-002,GEB1109,2,의사소통 영어: 고급,1,3.0,교양필수,"월4,5,6,수1,2,3(60주년-706)",스티브콘틱,상대평가, 
61,GEB1109-003,GEB1109,3,의사소통 영어: 고급,1,3.0,교양필수,"월4,5,6,수1,2,3(60주년-501)",제이슨햄,상대평가, 
62,GEB1109-004,GEB1109,4,의사소통 영어: 고급,1,3.0,교양필수,"월7,8,9,목1,2,3(60주년-706)",스티브콘틱,상대평가, 
63,GEB1109-005,GEB1109,5,의사소통 영어: 고급,1,3.0,교양필수,"월7,8,9,목1,2,3(60주년-501)",제이슨햄,상대평가, 
64,GEB1109-006,GEB1109,6,의사소통 영어: 고급,1,3.0,교양필수,"월10,11,12,목4,5,6(60주년-702)",헴브리,상대평가,국제학부 전용분반
65,GEB1109-007,GEB1109,7,의사소통 영어: 고급,1,3.0,교양필수,"월13,14,15,수13,14,15(60주년-706)",스티브콘틱,상대평가, 
66,GEB1109-008,GEB1109,8,의사소통 영어: 고급,1,3.0,교양필수,"월13,14,15,수13,14,15(60주년-702)",헴브리,상대평가, 
67,GEB1109-009,GEB1109,9,의사소통 영어: 고급,1,3.0,교양필수,"화1,2,3,목10,11,12(60주년-501)",제이슨햄,상대평가, 
68,GEB1109-010,GEB1109,10,의사소통 영어: 고급,1,3.0,교양필수,"화7,8,9,금4,5,6(60주년-501)",제이슨햄,상대평가,국제학부 전용분반
69,GEB1109-011,GEB1109,11,의사소통 영어: 고급,1,3.0,교양필수,"화10,11,12,금1,2,3(60주년-702)",헴브리,상대평가, 
70,GEB1109-012,GEB1109,12,의사소통 영어: 고급,1,3.0,교양필수,"화13,14,15,목13,14,15(60주년-501)",제이슨햄,상대평가, 
71,GEB1109-013,GEB1109,13,의사소통 영어: 고급,1,3.0,교양필수,"화13,14,15,목13,14,15(60주년-702)",헴브리,상대평가, 
72,GEE3027-001,GEE3027,1,실용영어 L/S,전체,3.0,교양선택,"월1,2,3,수4,5,6(60주년-501)",제이슨햄,상대평가,프런티어학부대학
73,GEE3027-002,GEE3027,2,실용영어 L/S,전체,3.0,교양선택,"월1,2,3,수4,5,6(60주년-506)",스티븐존스,상대평가,프런티어학부대학
74,GEE3027-003,GEE3027,3,실용영어 L/S,전체,3.0,교양선택,"월4,5,6,수1,2,3(60주년-702)",헴브리,상대평가,프런티어학부대학
75,GEE3027-004,GEE3027,4,실용영어 L/S,전체,3.0,교양선택,"월7,8,9,목1,2,3(60주년-506)",스티븐존스,상대평가,프런티어학부대학
76,GEE3027-005,GEE3027,5,실용영어 L/S,전체,3.0,교양선택,"월10,11,12,목4,5,6(60주년-501)",제이슨햄,상대평가,프런티어학부대학
77,GEE3027-006,GEE3027,6,실용영어 L/S,전체,3.0,교양선택,"월13,14,15,수13,14,15(60주년-601)",스트롱,상대평가,프런티어학부대학
78,GEE3027-007,GEE3027,7,실용영어 L/S,전체,3.0,교양선택,"화4,5,6,목7,8,9(60주년-501)",제이슨햄,상대평가,프런티어학부대학
79,GEE3027-008,GEE3027,8,실용영어 L/S,전체,3.0,교양선택,"화4,5,6,목7,8,9(60주년-702)",헴브리,상대평가,프런티어학부대학
80,GEE3027-009,GEE3027,9,실용영어 L/S,전체,3.0,교양선택,"화4,5,6,목7,8,9(60주년-506)",스티븐존스,상대평가,프런티어학부대학
81,GEE3027-010,GEE3027,10,실용영어 L/S,전체,3.0,교양선택,"화7,8,9,금4,5,6(60주년-702)",헴브리,상대평가,프런티어학부대학
82,GEE3027-011,GEE3027,11,실용영어 L/S,전체,3.0,교양선택,"화10,11,12,금1,2,3(60주년-501)",제이슨햄,상대평가,프런티어학부대학
83,GEE3027-012,GEE3027,12,실용영어 L/S,전체,3.0,교양선택,"화10,11,12,금1,2,3(60주년-601)",스트롱,상대평가,프런티어학부대학
84,GEE3027-013,GEE3027,13,실용영어 L/S,전체,3.0,교양선택,"화13,14,15,목13,14,15(60주년-601)",스트롱,상대평가,프런티어학부대학
85,GEE3027-014,GEE3027,14,실용영어 L/S,전체,3.0,교양선택,"수7,8,9,금10,11,12(60주년-702)",헴브리,상대평가,프런티어학부대학
86,GEE3027-015,GEE3027,15,실용영어 L/S,전체,3.0,교양선택,"수10,11,12,금7,8,9(60주년-501)",제이슨햄,상대평가,프런티어학부대학
87,GEE3027-018,GEE3027,18,실용영어 L/S,전체,3.0,교양선택,"수10,11,12,금7,8,9(60주년-506)",스티븐존스,상대평가,프런티어학부대학
88,GEE3028-001,GEE3028,1,실용영어 R/W,전체,3.0,교양선택,"화1,2,3,목10,11,12(60주년-608)",이철희,상대평가,프런티어학부대학
89,GEE3028-002,GEE3028,2,실용영어 R/W,전체,3.0,교양선택,"화4,5,6,목7,8,9(60주년-608)",이철희,상대평가,프런티어학부대학
90,GEE3028-003,GEE3028,3,실용영어 R/W,전체,3.0,교양선택,"화10,11,12,목1,2,3(60주년-608)",이철희,상대평가,프런티어학부대학
