,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,GEB1116-040,GEB1116,40,프로네시스 세미나,1,2.0,교양필수,"화16,17,18,19(60주년-206)",최권진,Pass/Fail,"국제학부 전용, English"
1,MEG2101-004,MEG2101,4,재료역학 1,2,3.0,전공필수,"화16,17,18,목13,14,15(2북364)",비벡쿠마르,절대평가,"English,선수"
2,MEG2101-005,MEG2101,5,재료역학 1,2,3.0,전공필수,"화10,11,12,목4,5,6(2북370)",비벡쿠마르,절대평가,"English,선수"
3,MEG3013-001,MEG3013,1,전산제도,3,3.0,전공선택,"금1,2,3,4,5,6,7,8(2북370)",황병복,절대평가,"영어,English,선수"
4,MEG3013-002,MEG3013,2,전산제도,3,3.0,전공선택,"금10,11,12,13,14,15,16,17(2북370)",황병복,절대평가,"영어,English,선수"
5,MEG3077-001,MEG3077,1,수치해석,3,3.0,전공선택,"월7,8,9,수7,8,9(2북370)",이상승,절대평가,"영어,English,선수"
6,MEG3185-001,MEG3185,1,기계공학일반설계 1,3,3.0,전공선택,"금1,2,3,4,5,6(2북374A)",정동수,절대평가,"영어,English,선수"
7,MEG4161-001,MEG4161,1,선형시스템,4,3.0,전공선택,"월7,8,9(2북365) /목1,2,3(2북370)",김호욱,절대평가,"영어,English,선수"
8,MEG4254-001,MEG4254,1,전산유체공학,4,3.0,전공선택,"월13,14,15,16,17,18(2북374A)",이경은,절대평가,"영어, English,선수"
9,EEE2001-001,EEE2001,1,회로이론 1,2,3.0,전공필수,"월10,11,12,화10,11,12(하-224)",김태인,절대평가,"영어,English"
10,EEE3114-002,EEE3114,2,자동제어,3,3.0,전공필수,"월4,5,6,화1,2,3(하-224)",김광기,절대평가,"영어,English"
11,EEE3108-001,EEE3108,1,센서공학,4,3.0,전공선택,"수10,11,12,목10,11,12(하-132)",신백균,절대평가,"영어,English"
12,EEE3108-002,EEE3108,2,센서공학,4,3.0,전공선택,"월10,11,12,화13,14,15(하-132)",신백균,절대평가,"영어,English,외국인학생만 수강"
13,ECE3314-001,ECE3314,1,데이터구조,3,3.0,전공선택,"수10,11,12,금13,14,15(하-010)",울라샨,절대평가,"English,선수"
14,ECE3320-003,ECE3320,3,신호및시스템,3,3.0,전공필수,"화4,5,6,목4,5,6(하-003)",이보원,절대평가,"영어,English,선수"
15,ECE4417-001,ECE4417,1,오디오신호처리,4,3.0,전공선택,"화1,2,3,목1,2,3(하-228)",이보원,절대평가,"영어,English"
16,ECE4471-001,ECE4471,1,시스템소프트웨어설계,4,3.0,전공선택,"금13,14,15,16,17,18(하-226)",메히디,절대평가,English
17,ENV2004-001,ENV2004,1,유체역학,2,3.0,전공선택,"월4,5,6,수1,2,3(4-317)",이한돌,절대평가,"영어,English"
18,ENV2007-001,ENV2007,1,환경공학계산,2,3.0,전공선택,"화4,5,6,목4,5,6(4-317)",한창석,절대평가,"영어,English"
19,ENV3110-002,ENV3110,2,물리화학적수처리,3,3.0,전공필수,"월13,14,15,수13,14,15(2동250)",한창석,절대평가,"영어,English"
20,ENV3206-001,ENV3206,1,환경에너지공학,3,3.0,전공선택,"화4,5,6,목4,5,6(2동250)",전기준,절대평가,"영어,English"
21,ENV4403-001,ENV4403,1,토양 및 지하수 복원설계,4,3.0,전공선택,"화10,11,12,목10,11,12(4-313)",김창균,절대평가,"영어,English"
22,EKR2213-001,EKR2213,1,작문교육론,2,3.0,전공선택,"금1,2,3,4,5,6(서-224A)",장성민,절대평가,"영어,English"
23,EKR3214-001,EKR3214,1,독서교육론,3,3.0,전공선택,"금10,11,12,13,14,15(서-224A)",장성민,절대평가,"영어,English"
24,EEG1521-001,EEG1521,1,영어청해연습 1,1,3.0,전공선택,"월1,2,3,화1,2,3(서-428)",박선주,절대평가,"영어,English"
