,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,GEB1112-001,GEB1112,1,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"수4,5,6,7(60주년-106)",정연재,Pass/Fail, 
1,GEB1112-002,GEB1112,2,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"수9,10,11,12(60주년-106)",정연재,Pass/Fail, 
2,GEB1112-003,GEB1112,3,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"목4,5,6,7(60주년-106)",도윤정,Pass/Fail, 
3,GEB1112-004,GEB1112,4,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"목9,10,11,12(60주년-106)",도윤정,Pass/Fail, 
4,GEB1112-005,GEB1112,5,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"수4,5,6,7(60주년-101)",마은종,Pass/Fail, 
5,GEB1112-006,GEB1112,6,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"수9,10,11,12(60주년-101)",마은종,Pass/Fail, 
6,GEB1112-007,GEB1112,7,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"목4,5,6,7(60주년-101)",마은종,Pass/Fail, 
7,GEB1112-008,GEB1112,8,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"목9,10,11,12(60주년-101)",마은종,Pass/Fail, 
8,GEB1112-009,GEB1112,9,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"목4,5,6,7(60주년-108)",정영진,Pass/Fail, 
9,GEB1112-010,GEB1112,10,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"목9,10,11,12(60주년-108)",정영진,Pass/Fail, 
10,GEB1112-011,GEB1112,11,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"수4,5,6,7(60주년-201)",조나영,Pass/Fail, 
11,GEB1112-012,GEB1112,12,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"목4,5,6,7(60주년-201)",조나영,Pass/Fail, 
12,GEB1112-013,GEB1112,13,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"수9,10,11,12(60주년-201)",손미란,Pass/Fail, 
13,GEB1112-014,GEB1112,14,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"수13,14,15,16(60주년-201)",손미란,Pass/Fail, 
14,GEB1112-015,GEB1112,15,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"목9,10,11,12(60주년-201)",손미란,Pass/Fail, 
15,GEB1112-016,GEB1112,16,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"수4,5,6,7(60주년-206)",성동기,Pass/Fail, 
16,GEB1112-017,GEB1112,17,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"목4,5,6,7(60주년-206)",성동기,Pass/Fail, 
