,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,GED1003-001,GED1003,1,나눔 프로젝트,전체,3.0,교양선택,"수13,14,15,16,17,18(60주년-511)",연석정,상대평가,프런티어학부대학
1,GED1004-001,GED1004,1,가치창조를 위한 명저 읽기,전체,3.0,교양선택,"화10,11,12,목10,11,12(60주년-607)",윤인현,상대평가,프런티어학부대학
2,GED1007-001,GED1007,1,"독서세미나 : 인간, 가치, 공존",전체,3.0,교양선택,"수10,11,12,목10,11,12(60주년-502)",테리로즈,절대평가,English
3,GED1007-002,GED1007,2,"독서세미나 : 인간, 가치, 공존",전체,3.0,교양선택,"월4,5,6,수10,11,12(60주년-602)",김명임,상대평가,프런티어학부대학
4,GED1009-001,GED1009,1,마음을 움직이는 리더십,전체,3.0,교양선택,셀12(웹강의),김성건,상대평가,※기말 : 6월 23일 15:00 ~ 15:55
5,GED1010-001,GED1010,1,오래된 미래: 동양고전에서의 인간다움,전체,3.0,교양선택,셀8(웹강의),윤인현,상대평가,※기말 : 6월 23일 10:00 ~ 10:55
6,GED1011-001,GED1011,1,SF와 인간의 미래,전체,3.0,교양선택,"월13,14,15,목13,14,15(5남535)",이수진,상대평가,프런티어학부대학
7,GED1013-001,GED1013,1,현대 사회의 가치관,전체,3.0,교양선택,"수13,14,15,16,17,18(9-403)",김영민,상대평가,행정학
8,GED1015-001,GED1015,1,ESG와 사회적 가치 실천,전체,3.0,교양선택,"화13,14,15,16,17,18(60주년-605)","유정민,정연재",상대평가,프런티어학부대학
9,GED2001-001,GED2001,1,역사 속의 라이벌,전체,3.0,교양선택,"월13,14,15,16,17,18(5남533)",김현진,상대평가,사학
10,GED2002-001,GED2002,1,한국 역사속의 생활과 민속,전체,3.0,교양선택,"월13,14,15,16,17,18(5동502)",김민규,상대평가,사학
11,GED2003-001,GED2003,1,종교와 문화,전체,3.0,교양선택,"수13,14,15,16,17,18(5동502)",양인성,상대평가,사학
12,GED2004-001,GED2004,1,서양철학 : 거인들의 어깨,전체,3.0,교양선택,"목13,14,15,16,17,18(5남136)",정성관,상대평가,철학
13,GED2005-001,GED2005,1,동양철학 : 마르지 않는 샘,전체,3.0,교양선택,"금4,5,6,7,8,9(5남534)",윤상수,상대평가,철학
14,GED2006-001,GED2006,1,인간의 성장과 발달,전체,3.0,교양선택,"금4,5,6,7,8,9(9-505)",이지현,상대평가,아동심리학
15,GED2007-001,GED2007,1,현대사회와패션,전체,3.0,교양선택,"화13,14,15,16,17,18(1-435)",이현화,상대평가,의류디자인학
16,GED2008-001,GED2008,1,문화유산의 이해,전체,3.0,교양선택,"목13,14,15,16,17,18(60주년-612)","정상우,이민솔",상대평가,사회교육
17,GED2009-001,GED2009,1,문화심리,전체,3.0,교양선택,셀2(웹강의),김의철,절대평가,"영어, English, ※기말 : 6월 22일 11:00 ~ 11:55"
18,GED2010-001,GED2010,1,축제와 인간사회,전체,3.0,교양선택,셀10(웹강의),박지선,상대평가,※기말 : 6월 23일 13:00 ~ 13:55
19,GED2011-001,GED2011,1,지역인문학,전체,3.0,교양선택,"수10,11,12,목4,5,6(60주년-805)",이영태,상대평가,프런티어학부대학
20,GED2013-001,GED2013,1,"독서세미나 : 역사, 사상, 문화",전체,3.0,교양선택,"월4,5,6,화16,17,18(60주년-609)",복기대,상대평가,프런티어학부대학
21,GED2015-001,GED2015,1,동아시아의 역사와 21세기,전체,3.0,교양선택,"금4,5,6,7,8,9(5동502)",유창호,상대평가,사학
22,GED2016-001,GED2016,1,그리스신화의 이해,전체,3.0,교양선택,셀13(웹강의),조병준,상대평가,※기말 : 6월 23일 16:00 ~ 16:55
23,GED2018-001,GED2018,1,전염병의 지리학,전체,3.0,교양선택,"금4,5,6,7,8,9(5서369)",김희순,상대평가,사회교육
24,GED3001-001,GED3001,1,대중문학의 이해,전체,3.0,교양선택,"수13,14,15,16,17,18(5남401)",윤미란,상대평가,한국어문학
25,GED3002-001,GED3002,1,영화로보는문학세계,전체,3.0,교양선택,셀13(웹강의),김상원,상대평가,※기말 : 6월 23일 16:00 ~ 16:55
26,GED3007-001,GED3007,1,인문학으로 바라본 마케팅,전체,3.0,교양선택,"목7,8,9,10,11,12(M-301)",이재진,상대평가,산업경영학
