,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,CHM1023-006,CHM1023,6,일반화학,1,3.0,교양필수,"월10,11,12,목4,5,6(5동505)",양상희,상대평가, 
1,CHM1023-007,CHM1023,7,일반화학,1,3.0,교양필수,"화7,8,9,금4,5,6(5동505)",김창곤,상대평가, 
2,CHM1027-009,CHM1027,9,일반화학실험,1,1.0,교양필수,"월5,6,7,8(5동510)",김정호,절대평가, 
3,CHM1027-010,CHM1027,10,일반화학실험,1,1.0,교양필수,"목13,14,15,16(5동510)",김동욱,절대평가, 
4,CIV1020-001,CIV1020,1,파이썬 프로그래밍,1,3.0,교양필수,"목10,11(2남228) /목12,13,14,15,16,17(2북465)",이상연,절대평가, 
5,CIV1611-001,CIV1611,1,건설재료실험,1,3.0,전공필수,"화4,5,6,7,목19,20,21,22(2남228)",정진훈,절대평가, 
6,CIV1611-002,CIV1611,2,건설재료실험,1,3.0,전공필수,"월19,20,21,22,화9,10,11,12(2남228)",정진훈,절대평가, 
7,CIV1611-003,CIV1611,3,건설재료실험,1,3.0,전공필수,"화19,20,21,22(2남228) /수19,20,21,22(2남227)",정진훈,절대평가, 
8,MTH1001-017,MTH1001,17,일반수학 1,1,3.0,교양필수,"월1,2,3,수4,5,6(5동106A)",장태수,상대평가, 
9,MTH1001-018,MTH1001,18,일반수학 1,1,3.0,교양필수,"수7,8,9,금10,11,12(5동106A)",김동호,상대평가, 
10,PHY1001-016,PHY1001,16,물리학 1,1,3.0,교양필수,"화1,2,3,목10,11,12(5동407)",울룩백약시,절대평가,English
11,PHY1001-017,PHY1001,17,물리학 1,1,3.0,교양필수,"수10,11,12,금7,8,9(5동407)",허남정,절대평가, 
12,PHY1003-017,PHY1003,17,물리학실험 1,1,1.0,교양필수,"수13,14,15,16(5동315)",허남정,절대평가, 
13,PHY1003-018,PHY1003,18,물리학실험 1,1,1.0,교양필수,"목5,6,7,8(5동315)",최민석,절대평가, 
14,ACE2101-015,ACE2101,15,공업수학 1,2,3.0,교양필수,"목1,2,3,4,5,6(2남228)",박국동,상대평가,선수
15,ACE2101-016,ACE2101,16,공업수학 1,2,3.0,교양필수,"금1,2,3,4,5,6(2남228)",박국동,상대평가,선수
16,CIV2020-001,CIV2020,1,건설인공지능,2,3.0,전공필수,"수13,14,15,16,17,18(5동116A)",박연철,절대평가, 
17,CIV2030-001,CIV2030,1,스마트건설 BIM,2,3.0,교양필수,"목7,8,9,10,11,12(60주년-808)",나선홍,절대평가, 
18,CIV2101-001,CIV2101,1,역학의 기초,2,3.0,전공필수,"월4,5,6,화10,11,12(2남227)",황원섭,상대평가, 
19,CIV2101-002,CIV2101,2,역학의 기초,2,3.0,전공필수,"월10,11,12,화4,5,6(2남227)",박연철,상대평가, 
20,CIV2311-001,CIV2311,1,기초수리학,2,3.0,전공필수,"월7,8,9,화7,8,9(2남227)",김경훈,상대평가, 
21,CIV2311-002,CIV2311,2,기초수리학,2,3.0,전공필수,"목13,14,15,16,17,18(2남227)",이준형,상대평가, 
22,CIV2411-001,CIV2411,1,환경공학 및 실험,2,3.0,전공필수,"월13,14,15,16,화19,20,21,22(2남227)",김동훈,절대평가,"영어,English"
23,CIV2411-002,CIV2411,2,환경공학 및 실험,2,3.0,전공필수,"월19,20,21,22,화13,14,15,16(2남227)",김동훈,절대평가,"영어,English"
24,CIV2511-001,CIV2511,1,측량학 및 실습,2,3.0,전공필수,"금1,2,3,4,5,6,7,8(2남225)",박준구,절대평가, 
25,CIV2511-002,CIV2511,2,측량학 및 실습,2,3.0,전공필수,"금10,11,12,13,14,15,16,17(2남225)",박준구,절대평가, 
26,CIV3721-001,CIV3721,1,글로벌건설,2,3.0,전공필수,"수1,2,3,4,5,6(2남227)",이시욱,상대평가, 
27,CIV3721-002,CIV3721,2,글로벌건설,2,3.0,전공필수,"수13,14,15,16,17,18(2남227)",이시욱,상대평가, 
28,CIV3010-001,CIV3010,1,빅데이터분석,3,3.0,교양필수,"금1,2,3,4(5동116A) /금5,6(2남227)",왕원준,절대평가, 
29,CIV3100-001,CIV3100,1,구조해석,3,3.0,전공선택,"월4,5,6,화7,8,9(2남225)",이종한,절대평가,"영어,English,선수"
