,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,UMD1001-001,UMD1001,1,문제바탕 인체의 구조와 단면,1,10.0,전공필수,"월1,2,3,4,5,6,7,8,9,10,화1,2,3,4,5,6,7,8,9,10(60주년-327)","임명관,이경희,윤승환,최윤미,심유식,최정석,이성주,김현지,전윤상,신윤철,김일두",절대평가, 
1,UMD1002-001,UMD1002,1,기초의학총론,1,6.0,전공필수,"수1,2,3,4,5,6,목1,2,3,4,5,6(60주년-327)","박창신,박헌주,한지영,이자경,곽지연,이성근,김루시아,최석진,한인옥,김일진",절대평가, 
2,UMD1003-001,UMD1003,1,감염과 면역Ⅰ,1,8.0,전공필수,"금1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17(60주년-327)","박헌주,한지영,박윤규,김채균,차석호,신진욱,김일진,신민혜",절대평가, 
3,UMD1022-001,UMD1022,1,인공지능 개론,1,2.0,전공선택,"수10,11,12,13(60주년-418)",이현규,절대평가, 
4,UMD1023-001,UMD1023,1,의학영어,1,2.0,전공선택,"월13,14,15,16(60주년-501)",제이슨햄,절대평가,English
5,UMD1023-002,UMD1023,2,의학영어,1,2.0,전공선택,"목16,17,18,19(60주년-501)",제이슨햄,절대평가,English
6,UMD2002-001,UMD2002,1,내분비계,2,6.0,전공필수,"월1,2,3,4,5,6,수1,2,3,4,5,6(60주년-326)","김은영,이자경,홍성빈,이지은,김루시아,한인옥,김소헌,문영아,안성희,이진욱,조용인,서다혜,김일진,유민영",상대평가, 
7,UMD2003-001,UMD2003,1,근골격계,2,3.0,전공필수,"월13,14,15,16,17,18(60주년-326)","박창신,김창환,조규정,김명옥,이동주,곽지연,김범수,권대규,전윤상,류동진,서유정",상대평가, 
8,UMD2004-001,UMD2004,1,생식기계,2,4.0,전공필수,"목1,2,3,4,금9,10,11,12(60주년-326)","성도환,한지영,이자경,황성욱,류지간,곽지연,최석진,최수란,정두용,이방현,이정심,서유정,박신영",상대평가, 
9,UMD2005-001,UMD2005,1,신장 및 요로계,2,4.0,전공필수,"화5,6,7,8,목9,10,11,12(60주년-326)","김미영,이승우,한지영,남정현,이자경,송준호,곽지연,이성근,황선덕,강동혁,정두용,김기표,김일진,김종원,유민영",상대평가, 
