,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,BIO1001-002,BIO1001,2,생명과학개론,1,3.0,교양필수,"월1,2,3,4,5,6(5서366)",안동하,상대평가, 
1,MTH1001-034,MTH1001,34,일반수학 1,1,3.0,교양필수,"화10,11,12,목4,5,6(5동107A)",권희대,상대평가, 
2,MTH1011-002,MTH1011,2,일반수학연습 1,1,1.0,교양필수,"수16,17,18,19(5동106B)",권희대,Pass/Fail, 
3,STS1101-001,STS1101,1,기초통계 1,1,3.0,교양필수,"월4,5,6,수4,5,6(5서551)",황진수,상대평가,통계학 주전공생 중 1학년 전용 분반
4,STS1101-002,STS1101,2,기초통계 1,1,3.0,교양필수,"화16,17,18,목16,17,18(5서352)",김지혜,상대평가,다중전공생 및 재수강 전용 분반
5,STS1103-001,STS1103,1,기초통계실습 1,1,1.0,교양필수,"금13,14,15,16(5북545A)",조성일,절대평가,통계학 주전공생 중 1학년 전용 분반
6,STS1103-002,STS1103,2,기초통계실습 1,1,1.0,교양필수,"금9,10,11,12(60주년-808)",온일상,절대평가,다중전공생 및 재수강 전용 분반
7,STS2001-001,STS2001,1,통계소프트웨어 및 실습,2,3.0,전공필수,"월13,14,15,수4,5,6(5북545A)",조민호,절대평가,통계학 주전공생 전용 분반
8,STS2001-002,STS2001,2,통계소프트웨어 및 실습,2,3.0,전공필수,"월16,17,18,수1,2,3(60주년-808)",조민호,절대평가,다중전공생 전용 분반
9,STS2017-001,STS2017,1,통계분석방법,2,3.0,전공선택,"화4,5,6,목1,2,3(2북465)",조성일,상대평가, 
10,STS2018-001,STS2018,1,확률론,2,3.0,전공필수,"화10,11,12,목10,11,12(5서551)",조성훈,상대평가,통계학 주전공생 전용 분반
11,STS2018-002,STS2018,2,확률론,2,3.0,전공필수,"화10,11,12,목10,11,12(5서460)",온일상,상대평가,다중전공생 전용 분반
12,STS2019-001,STS2019,1,통계수학,2,3.0,전공필수,"월4,5,6,목4,5,6(5서352)",박진호,상대평가,통계학 주전공생 전용 분반
13,STS2019-002,STS2019,2,통계수학,2,3.0,전공필수,"월10,11,12,수10,11,12(5서352)",박진호,상대평가,다중전공생 전용 분반
14,STS2021-001,STS2021,1,사회조사방법론,2,3.0,전공선택,"금10,11,12,13,14,15(5서352)",신창운,상대평가, 
15,STS2041-001,STS2041,1,자료구조론,2,3.0,전공선택,"수16,17,18,19,20,21(5북545A)",홍명덕,상대평가, 
16,STS3004-001,STS3004,1,실험계획법,3,3.0,전공선택,"화4,5,6,목4,5,6(5서360)",조민호,상대평가, 
17,STS3005-001,STS3005,1,수리통계학 1,3,3.0,전공필수,"월10,11,12,수10,11,12(5서460)",황진수,상대평가,통계학 주전공생 전용 분반
18,STS3005-002,STS3005,2,수리통계학 1,3,3.0,전공필수,"수4,5,6,목10,11,12(5서352)",박진호,상대평가,다중전공생 전용 분반
19,STS3019-001,STS3019,1,다변량통계 및 실습,3,3.0,전공선택,"화13,14,15,목13,14,15(5동111)",조성훈,절대평가, 
20,STS4034-001,STS4034,1,생존분석 및 실습,4,3.0,전공선택,"화4,5,6,목4,5,6(5서551)",온일상,절대평가, 
21,STS4041-001,STS4041,1,베이지안통계학,4,3.0,전공선택,"화13,14,15,목13,14,15(5서352)",조성일,상대평가, 
22,STS4043-001,STS4043,1,데이터마이닝,4,3.0,전공선택,"화10,11,12,목10,11,12(5북545A)",박헌진,상대평가, 
