,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,CHE4309-001,CHE4309,1,유기공업화학,전체,3.0,전공선택,"화4,5,6,목16,17,18(2남229)",조강희,상대평가, 
1,CHE1101-001,CHE1101,1,통계학 기초,1,3.0,교양필수,"화7,8,9,목7,8,9(5동115)",김지혜,상대평가, 
2,CHE1103-001,CHE1103,1,화공매트랩 기초,1,3.0,교양필수,"수4,5,6,7,8(5남238) /수9(5남240)",장인주,절대평가, 
3,CHE1103-002,CHE1103,2,화공매트랩 기초,1,3.0,교양필수,"수13,14,15,16,17,18(5남240)",장인주,절대평가, 
4,CHE1103-003,CHE1103,3,화공매트랩 기초,1,3.0,교양필수,"목4,5,6,7,8,9(5남238)",백인환,절대평가, 
5,CHM1021-001,CHM1021,1,화학 1,1,3.0,교양필수,"화4,5,6,목7,8,9(5동507)",박성진,상대평가, 
6,CHM1021-002,CHM1021,2,화학 1,1,3.0,교양필수,"월13,14,15,수13,14,15(60주년-012)",김정호,상대평가, 
7,CHM1021-003,CHM1021,3,화학 1,1,3.0,교양필수,"월10,11,12,목10,11,12(2남229)",양회창,상대평가, 
8,CHM1028-001,CHM1028,1,화학실험 1,1,1.0,교양필수,"수5,6,7,8(5동511)",이건형,절대평가, 
9,CHM1028-002,CHM1028,2,화학실험 1,1,1.0,교양필수,"목1,2,3,4(5동511)",김희선,절대평가, 
10,CHM1028-003,CHM1028,3,화학실험 1,1,1.0,교양필수,"화9,10,11,12(5동510)",박성진,절대평가, 
11,MTH1001-009,MTH1001,9,일반수학 1,1,3.0,교양필수,"월4,5,6,수1,2,3(5동105A)",권훈,상대평가, 
12,MTH1001-010,MTH1001,10,일반수학 1,1,3.0,교양필수,"화16,17,18,금13,14,15(5동105B)",임선간,상대평가, 
13,MTH1001-011,MTH1001,11,일반수학 1,1,3.0,교양필수,"화10,11,12,금1,2,3(5동105A)",김태길,상대평가, 
14,PHY1001-009,PHY1001,9,물리학 1,1,3.0,교양필수,"월10,11,12,수10,11,12(5동406)",김현철,상대평가, 
15,PHY1001-010,PHY1001,10,물리학 1,1,3.0,교양필수,"월13,14,15(60주년-013) /목4,5,6(60주년-012)",이민백,상대평가, 
16,PHY1001-011,PHY1001,11,물리학 1,1,3.0,교양필수,"화13,14,15,목13,14,15(5동406)",정종훈,상대평가, 
17,PHY1003-009,PHY1003,9,물리학실험 1,1,1.0,교양필수,"화5,6,7,8(5동313)",이민백,절대평가, 
18,PHY1003-010,PHY1003,10,물리학실험 1,1,1.0,교양필수,"금1,2,3,4(5동313)",유석재,절대평가, 
19,PHY1003-011,PHY1003,11,물리학실험 1,1,1.0,교양필수,"월9,10,11,12(5동315)",윤진희,절대평가, 
20,ACE2101-007,ACE2101,7,공업수학 1,2,3.0,교양필수,"월4,5,6,수16,17,18(5동102)",이선영,상대평가, 
21,ACE2101-008,ACE2101,8,공업수학 1,2,3.0,교양필수,"화1,2,3,목7,8,9(5동107A)",장영호,상대평가, 
22,CHE2100-001,CHE2100,1,물리화학 1,2,3.0,전공필수,"월16,17,18,화16,17,18(5동110)",심상은,상대평가, 
23,CHE2100-002,CHE2100,2,물리화학 1,2,3.0,전공필수,"화4,5,6,목16,17,18(5동110)",심상은,상대평가, 
24,CHE2100-003,CHE2100,3,물리화학 1,2,3.0,전공필수,"화4,5,6(5동111) /목16,17,18(2동259)",김승현,상대평가, 
25,CHE2100-004,CHE2100,4,물리화학 1,2,3.0,전공필수,"월16,17,18,화16,17,18(2동259)",이근형,상대평가, 
26,CHE2102-001,CHE2102,1,유기화학 1,2,3.0,전공필수,"월13,14,15,수13,14,15(5동110)",육지호,상대평가, 
27,CHE2102-002,CHE2102,2,유기화학 1,2,3.0,전공필수,"월13,14,15,수13,14,15(5동111)",황예진,상대평가, 
28,CHE2102-003,CHE2102,3,유기화학 1,2,3.0,전공필수,"월13,14,15,수13,14,15(2북663)",조강희,상대평가, 
29,CHE2104-001,CHE2104,1,화공계산 1,2,3.0,전공필수,"화10,11,12,수4,5,6(5동110)",최진섭,상대평가, 
30,CHE2104-002,CHE2104,2,화공계산 1,2,3.0,전공필수,"월10,11,12(2동259) /수10,11,12(5동110)",이기영,상대평가, 
31,CHE2104-003,CHE2104,3,화공계산 1,2,3.0,전공필수,"화10,11,12,수4,5,6(5동211)",이기영,상대평가, 
32,CHE2108-001,CHE2108,1,재료과학,2,3.0,전공선택,"월4,5,6,목4,5,6(60주년-707)",정지원,상대평가, 
33,CHE2108-002,CHE2108,2,재료과학,2,3.0,전공선택,"월4,5,6,목4,5,6(5동111)",양회창,상대평가, 
34,CHE2108-003,CHE2108,3,재료과학,2,3.0,전공선택,"월4,5,6,화1,2,3(5동211)",양승재,절대평가,"영어,English"
35,CHE3201-001,CHE3201,1,화학반응공학,3,3.0,전공필수,"월4,5,6,수10,11,12(2동259)",탁용석,상대평가,선수
36,CHE3201-002,CHE3201,2,화학반응공학,3,3.0,전공필수,"화13,14,15,목13,14,15(5동110)",백성현,상대평가,선수
37,CHE3201-003,CHE3201,3,화학반응공학,3,3.0,전공필수,"화13,14,15,목13,14,15(2동259)",이시우,절대평가,"영어,English,선수"
38,CHE3202-001,CHE3202,1,화학공학실험,3,2.0,전공필수,"월1,2,3,4,5,6,7,8(1-029)",김건중,절대평가, 
39,CHE3202-002,CHE3202,2,화학공학실험,3,2.0,전공필수,"화16,17,18,19,20,21,22,23(1-029)",양회창,절대평가, 
40,CHE3202-003,CHE3202,3,화학공학실험,3,2.0,전공필수,"수16,17,18,19,20,21,22,23(1-029)",심봉섭,절대평가, 
41,CHE3202-004,CHE3202,4,화학공학실험,3,2.0,전공필수,"목16,17,18,19,20,21,22,23(1-029)",황성원,절대평가, 
42,CHE3202-005,CHE3202,5,화학공학실험,3,2.0,전공필수,"금1,2,3,4,5,6,7,8(1-029)",양승재,절대평가, 
43,CHE3202-006,CHE3202,6,화학공학실험,3,2.0,전공필수,"금10,11,12,13,14,15,16,17(1-029)",이기영,절대평가, 
44,CHE3207-001,CHE3207,1,화공열역학,3,3.0,전공필수,"월10,11,12,목10,11,12(5동110)",김승현,상대평가, 
45,CHE3207-002,CHE3207,2,화공열역학,3,3.0,전공필수,"월16,17,18(5동111) /목4,5,6(5동110)",김승현,상대평가, 
46,CHE3207-003,CHE3207,3,화공열역학,3,3.0,전공필수,"월10,11,12,목10,11,12(60주년-107)",이용진,절대평가,"영어,English"
47,CHE3210-001,CHE3210,1,공정제어,3,3.0,전공선택,"월4,5,6(60주년-107) /화4,5,6(2동259)",황성원,절대평가,"영어,English"
48,CHE3210-002,CHE3210,2,공정제어,3,3.0,전공선택,"월16,17,18(60주년-207) /수4,5,6(2동259)",황성원,절대평가,"영어,English"
49,CHE3212-001,CHE3212,1,열 및 물질전달,3,3.0,전공필수,"화10,11,12,수16,17,18(60주년-708)",신내철,상대평가, 
50,CHE3212-002,CHE3212,2,열 및 물질전달,3,3.0,전공필수,"화16,17,18(5동111) /수10,11,12(60주년-107)",신내철,상대평가, 
51,CHE3212-003,CHE3212,3,열 및 물질전달,3,3.0,전공필수,"화10,11,12(5동111) /수16,17,18(5동110)",함형철,상대평가, 
52,CHE3212-004,CHE3212,4,열 및 물질전달,3,3.0,전공필수,"화16,17,18,수10,11,12(60주년-707)",함형철,상대평가, 
53,CHE3300-001,CHE3300,1,공업화학실험,3,2.0,전공필수,"금1,2,3,4,5,6,7,8(2북579A)",육지호,Pass/Fail, 
54,CHE3300-002,CHE3300,2,공업화학실험,3,2.0,전공필수,"금1,2,3,4,5,6,7,8(2남312)",함형철,Pass/Fail, 
55,CHE3300-003,CHE3300,3,공업화학실험,3,2.0,전공필수,"금1,2,3,4,5,6,7,8(5동402A)",이용진,Pass/Fail, 
56,CHE3300-004,CHE3300,4,공업화학실험,3,2.0,전공필수,"금10,11,12,13,14,15,16,17(4-216)",최진섭,Pass/Fail, 
57,CHE3300-005,CHE3300,5,공업화학실험,3,2.0,전공필수,"금10,11,12,13,14,15,16,17(2북564B)",양승재,Pass/Fail, 
58,CHE3300-006,CHE3300,6,공업화학실험,3,2.0,전공필수,"금10,11,12,13,14,15,16,17(2남335)",황예진,Pass/Fail, 
