,A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
0,교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
1,교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
2,교양필수,기초교양,,,GEF1105,외국인전용 대학 한국어Ⅰ,3.0,2학년(1학기),
3,교양필수,핵심교양영역,,,GEF1106,외국인전용 대학 한국어Ⅱ,3.0,2학년(2학기),
4,교양필수,핵심교양영역,,,IBT4108,테크놀로지 혁신과 기업가정신,3.0,3학년(2학기),
5,교양필수,계열교양영역,,,ACE1312,이산수학,3.0,1학년(2학기),
6,교양필수,계열교양영역,,,ACE2105,선형대수,3.0,2학년(2학기),
7,교양필수,계열교양영역,,,IGS1130,응용수학,3.0,1학년(1학기),
8,교양필수,계열교양영역,,,IGS1131,SW 프로그래밍,3.0,1학년(1학기),
9,교양필수,계열교양영역,,,IGS1230,일반물리학,3.0,1학년(2학기),
10,교양필수,계열교양영역,,,IGS1232,컴퓨터 프로그래밍,3.0,1학년(2학기),
11,교양필수,계열교양영역,,,IGS2130,객체지향프로그래밍,3.0,2학년(1학기),
12,교양필수,계열교양영역,,,IGS2137,신호 및 시스템 설계,3.0,2학년(1학기),
13,교양필수,계열교양영역,,,IGS3130,확률 및 통계,3.0,3학년(1학기),
14,교양필수,계열교양영역,,,IGS3231,스마트모빌리티공학실험,3.0,3학년(2학기),
15,교양선택,,,,GED1002,공학윤리와 토론,3.0,3학년(1학기),
16,교양선택,,,,GEE3003,외국인전용초급한국어,3.0,1학년(1학기),
17,교양선택,,,,GEE3004,외국인전용중급한국어,3.0,1학년(2학기),
18,교양선택,,,,GED1007,"독서세미나 : 인간, 가치, 공존",3.0,1학년(1학기),5개 과목 중 택1(택 1과목)
19,교양선택,,,,GED2013,"독서세미나 : 역사, 사상, 문화",3.0,1학년(1학기),5개 과목 중 택1(택 1과목)
20,교양선택,,,,GED3020,"독서세미나 : 문학, 예술, 상징",3.0,1학년(1학기),5개 과목 중 택1(택 1과목)
21,교양선택,,,,GED4014,"독서세미나 : 사회, 제도, 세계",3.0,1학년(1학기),5개 과목 중 택1(택 1과목)
22,교양선택,,,,GED5011,"독서세미나 : 자연, 생명, 환경",3.0,1학년(1학기),5개 과목 중 택1(택 1과목)
23,전공필수,,공통과정,전공핵심,ISE1233,융합시스템공학개론,3.0,1학년(2학기),
24,전공필수,,공통과정,전공기반,ISE1234,엔지니어링 컨셉드로잉,3.0,1학년(2학기),
25,전공필수,,공통과정,전공기반,ISE2132,ISE 창의적공학설계,3.0,2학년(1학기),
26,전공필수,,공통과정,,ISE2135,기초전자회로 이론 및 실습,3.0,2학년(1학기),
27,전공필수,,공통과정,,ISE3140,VIP(이론),3.0,3학년(1학기),
28,전공필수,,공통과정,,ISE3141,VIP(실습),1.0,3학년(1학기),
29,전공필수,,공통과정,,ISE4133,소프트웨어공학,3.0,3학년(2학기),
30,전공필수,,FMS트랙,전공기반,ISE2134,이동체 구조해석,3.0,2학년(1학기),
31,전공필수,,ISS트랙,,ISE2235,자료구조,3.0,2학년(2학기),
32,전공선택,,공통과정,,IBT4107,IT와 특허제도,3.0,3학년(1학기),
33,전공선택,,공통과정,,IBT4206,공학과 경영학 융합 캡스톤 디자인 (이론),3.0,4학년(1학기),
34,전공선택,,공통과정,,IBT4207,공학과 경영학 융합 캡스톤 디자인 (실습),1.0,4학년(1학기),
35,전공선택,,공통과정,,IGS1204,비즈니스 컨텍스트와 문화 커뮤니케이션,3.0,3학년(2학기),
36,전공선택,,공통과정,,ISE2232,컴퓨터네트워크,3.0,2학년(2학기),
37,전공선택,,공통과정,,ISE2236,디지털논리및설계,3.0,2학년(2학기),
38,전공선택,,공통과정,,ISE3132,임베디드시스템설계,3.0,4학년(2학기),
39,전공선택,,공통과정,,ISE3133,데이터통신,3.0,3학년(1학기),
40,전공선택,,공통과정,,ISE3137,운영시스템,3.0,3학년(1학기),
41,전공선택,,공통과정,,ISE3138,IoT응용시스템,3.0,3학년(1학기),
42,전공선택,,공통과정,,ISE3231,센서공학,3.0,3학년(2학기),
43,전공선택,,공통과정,,ISE3235,데이터베이스 설계,3.0,3학년(2학기),
44,전공선택,,공통과정,,ISE4131,디지털영상처리설계,3.0,4학년(1학기),
45,전공선택,,공통과정,,ISE4132,인공지능응용시스템,3.0,4학년(1학기),
46,전공선택,,공통과정,,ISE4136,디지털 신호처리,3.0,4학년(1학기),
47,전공선택,,공통과정,,ISE4137,컴퓨터 보안,3.0,4학년(1학기),
48,전공선택,,FMS트랙,,ISE2233,동역학 1,3.0,2학년(2학기),
49,전공선택,,FMS트랙,,ISE2234,지능형이동체설계,3.0,2학년(2학기),
50,전공선택,,FMS트랙,,ISE3134,항법시스템 개론,3.0,3학년(1학기),
51,전공선택,,FMS트랙,,ISE3135,모터 제어,3.0,3학년(1학기),
52,전공선택,,FMS트랙,,ISE3233,이동체자동제어실습,3.0,3학년(2학기),
53,전공선택,,FMS트랙,,ISE3234,이동체통신,3.0,3학년(2학기),
54,전공선택,,FMS트랙,,ISE4134,스마트모빌리티서비스,3.0,4학년(1학기),
