,A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
0,교양필수,기초교양,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
1,교양필수,기초교양,,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(1학기),
2,교양필수,기초교양,,,GEF1105,외국인전용 대학 한국어Ⅰ,3.0,1학년(2학기),
3,교양필수,기초교양,,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
4,교양필수,기초교양,,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
5,교양필수,기초교양,,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
6,교양필수,핵심교양영역,,,GEF1103,외국인전용 한국의 전통 사회와 문화,3.0,2학년(1학기),
7,교양필수,핵심교양영역,,,GEF1104,외국인전용 한국의 현대 사회와 문화,3.0,2학년(2학기),
8,교양필수,핵심교양영역,,,GEF1106,외국인전용 대학 한국어Ⅱ,3.0,1학년(2학기),
9,교양필수,계열교양영역,,,IGS1160,중급한국어,3.0,1학년(1학기),
10,교양필수,계열교양영역,,,IGS1161,한국어와 한국문화,3.0,1학년(1학기),
11,교양필수,계열교양영역,,,IGS1260,고급한국어,3.0,1학년(2학기),
12,교양필수,계열교양영역,,,IGS1261,심화한국어,3.0,1학년(2학기),
13,교양필수,계열교양영역,,,IGS1262,한국어의 발음,3.0,1학년(2학기),
14,교양필수,계열교양영역,,,IGS2160,언어의 이해,3.0,2학년(1학기),
15,교양필수,중점교양,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(2학기),
16,교양필수,중점교양,,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,1학년(1학기),
17,전공필수,,공통,전공핵심,KLC2161,한국문학 입문,3.0,2학년(1학기),
18,전공필수,,공통,전공핵심,KLC2162,한국문화 입문,3.0,2학년(1학기),
19,전공필수,,공통,,KLC2260,한국어학 입문,3.0,2학년(2학기),
20,전공필수,,공통,전공핵심,KLC3160,한국어 규범과 한국언어문화,3.0,3학년(1학기),
21,전공필수,,공통,전공핵심,KLC3260,한국어 문법과 한국언어문화,3.0,3학년(2학기),
22,전공필수,,한국어,전공핵심,KLC2261,한국어 의사소통,3.0,2학년(2학기),
23,전공필수,,한국어,전공핵심,KLC3161,한국어통번역 입문,3.0,3학년(1학기),
24,전공선택,,융합,,CBA1102,경영학원론,3.0,2학년(1학기),
25,전공선택,,융합,전공핵심,IBT2101,비즈니스 영어,3.0,4학년(1학기),
26,전공선택,,융합,,KLC4162,비즈니스와 한국어,3.0,4학년(1학기),
27,전공선택,,융합,,KLC4164,한국어 현장실습,3.0,4학년(1학기),
28,전공선택,,융합,,KLC4262,한국문학 실습,3.0,4학년(2학기),
29,전공선택,,융합,,KLC4265,한국 대중문화 실습,3.0,4학년(2학기),
30,전공선택,,융합,,KLC4266,멀티미디어 제작 실습,3.0,4학년(2학기),
31,전공선택,,한국문화,,KLC2164,한류의 이해,3.0,2학년(1학기),
32,전공선택,,한국문화,,KLC2263,음악과 한국문화,3.0,2학년(2학기),
33,전공선택,,한국문화,,KLC3163,영화와 한국문화,3.0,3학년(1학기),
34,전공선택,,한국문화,,KLC3164,한국고전과 한국문화,3.0,3학년(1학기),
35,전공선택,,한국문화,,KLC3165,애니메이션과 한국문화,3.0,3학년(1학기),
36,전공선택,,한국문화,전공집중,KLC3264,드라마와 한국문화,3.0,3학년(2학기),
37,전공선택,,한국문화,전공집중,KLC3265,한국현대문학과 현대사회,3.0,3학년(2학기),
38,전공선택,,한국문화,,KLC4260,언론과 한국사회문화,3.0,4학년(2학기),
39,전공선택,,한국문화,,KLC4261,한국전통사상과 한국문화,3.0,4학년(2학기),
40,전공선택,,한국어,,KLC2163,한국어 어휘,3.0,2학년(1학기),
41,전공선택,,한국어,,KLC2262,한국어의 말소리,3.0,2학년(2학기),
42,전공선택,,한국어,,KLC3162,상황맥락과 한국어 표현,3.0,3학년(1학기),
43,전공선택,,한국어,전공집중,KLC3261,다문화사회와 한국언어문화,3.0,3학년(2학기),
44,전공선택,,한국어,,KLC3262,한국어 습득 오류 분석,3.0,3학년(2학기),
45,전공선택,,한국어,,KLC3263,한글과 한국언어문화,3.0,3학년(2학기),
46,전공선택,,한국어,,KLC4160,한국어통번역 실습,3.0,4학년(1학기),
47,전공선택,,한국어,전공집중,KLC4161,미디어와 한국어,3.0,4학년(1학기),
