,A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
0,교양필수,대학교교양필수,기초교양,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
1,교양필수,대학교교양필수,기초교양,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
2,교양필수,대학교교양필수,기초교양,,GEB1142,미래사회와 소프트웨어-이공계열,3.0,1학년(2학기),
3,교양필수,대학교교양필수,기초교양,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
4,교양필수,대학교교양필수,기초교양,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
5,교양필수,대학교교양필수,기초교양,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
6,교양필수,대학교교양필수,기초교양,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
7,교양필수,대학교교양필수,중점교양,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(1학기),
8,교양필수,대학교교양필수,중점교양,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,1학년(2학기),
9,교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
10,교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
11,교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
12,교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
13,교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
14,교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
15,교양필수,계열교양영역,계열교양,,ACE2101,공업수학 1,3.0,2학년(1학기),
16,교양필수,계열교양영역,계열교양,,ACE2102,공업수학 2,3.0,2학년(2학기),
17,교양필수,계열교양영역,계열교양,,CHM1021,화학 1,3.0,1학년(1학기),
18,교양필수,계열교양영역,계열교양,,CHM1022,화학 2,3.0,1학년(2학기),
19,교양필수,계열교양영역,계열교양,,CHM1028,화학실험 1,1.0,1학년(1학기),
20,교양필수,계열교양영역,계열교양,,CHM1029,화학실험 2,1.0,1학년(2학기),
21,교양필수,계열교양영역,계열교양,,MTH1001,일반수학 1,3.0,1학년(1학기),
22,교양필수,계열교양영역,계열교양,,MTH1002,일반수학 2,3.0,1학년(2학기),
23,교양필수,계열교양영역,계열교양,,PHY1001,물리학 1,3.0,1학년(1학기),
24,교양필수,계열교양영역,계열교양,,PHY1002,물리학 2,3.0,1학년(2학기),
25,교양필수,계열교양영역,계열교양,,PHY1003,물리학실험 1,1.0,1학년(1학기),
26,교양필수,계열교양영역,계열교양,,PHY1004,물리학실험 2,1.0,1학년(2학기),
27,전공필수,,고분자공학,전공기반,PSE2011,물리화학 1,3.0,2학년(1학기),
28,전공필수,,고분자공학,전공기반,PSE2021,물리화학 2,3.0,2학년(2학기),
29,전공필수,,고분자공학,전공기반,PSE2041,유기화학 1,3.0,2학년(1학기),
30,전공필수,,고분자공학,전공기반,PSE2051,유기화학 2,3.0,2학년(2학기),
31,전공필수,,고분자공학,,PSE3181,고분자물리화학,3.0,3학년(1학기),
32,전공필수,,고분자공학,,PSE3191,고분자화학,3.0,3학년(1학기),
33,전공필수,,고분자공학,,PSE3201,고분자물성,3.0,3학년(2학기),
34,전공필수,,고분자공학,,PSE3211,고분자실험 1,2.0,3학년(2학기),
35,전공필수,,고분자공학,,PSE4171,고분자종합설계,2.0,4학년(1학기),
36,전공필수,,고분자공학,,PSE4181,고분자실험 2,2.0,4학년(1학기),
37,전공선택,,고분자공학,전공기반,PSE2060,재료과학,3.0,2학년(1학기),
38,전공선택,,고분자공학,,PSE2090,생활속의 고분자,3.0,2학년(2학기),
39,전공선택,,고분자공학,,PSE2180,생명과 고분자,3.0,2학년(1학기),
40,전공선택,,고분자공학,전공핵심,PSE3070,고분자프로세싱,3.0,3학년(2학기),
41,전공선택,,고분자공학,전공핵심,PSE3100,나노계면화학,3.0,3학년(2학기),
42,전공선택,,고분자공학,전공핵심,PSE3110,반응공학,3.0,3학년(1학기),
43,전공선택,,고분자공학,전공핵심,PSE3120,유기반응의 이해,3.0,3학년(1학기),
44,전공선택,,고분자공학,전공핵심,PSE3140,무기화학,3.0,3학년(2학기),
45,전공선택,,고분자공학,,PSE3170,고분자기기분석,3.0,3학년(1학기),
