,A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
0,전공선택,,,,FVE2001,자동차공학기초,3.0,"전체(1,2학기)",
1,전공선택,,,,FVE2002,미래자동차혁명,3.0,"전체(1,2학기)",
2,전공선택,,,,FVE2003,융합기초동역학,3.0,"전체(1,2학기)",
3,전공선택,,,,FVE2004,자동차3차원설계,3.0,"전체(1,2학기)",
4,전공선택,,,,FVE2005,친환경차시스템공학개론,3.0,"전체(1,2학기)",
5,전공선택,,,,FVE2006,자동차SW디자인융합의기초,2.0,"전체(1,2학기)",
6,전공선택,,,,FVE2007,Python프로그래밍,3.0,"전체(1,2학기)",
7,전공선택,,,,FVE2008,융합기초전기전자공학,3.0,"전체(1,2학기)",
8,전공선택,,,,FVE2009,디자인씽킹 리빙랩,3.0,전체(1학기),
9,전공선택,,,,FVE2010,미래자동차 디자인,3.0,전체(2학기),
10,전공선택,,,,FVE3001,동역학,3.0,"전체(1,2학기)",
11,전공선택,,,,FVE3002,자동제어,3.0,"전체(1,2학기)",
12,전공선택,,,,FVE3003,지능형자동차구조실무,3.0,"전체(1,2학기)",
13,전공선택,,,,FVE3004,전자회로,3.0,"전체(1,2학기)",
14,전공선택,,,,FVE3006,디지털논리회로,3.0,"전체(1,2학기)",
15,전공선택,,,,FVE3007,자율주행자동차기술,2.0,"전체(1,2학기)",
16,전공선택,,,,FVE3008,차량소프트웨어엔지니어링,3.0,"전체(1,2학기)",
17,전공선택,,,,FVE3009,자율주행과 C-ITS,3.0,"전체(1,2학기)",
18,전공선택,,,,FVE3010,객체지향프로그래밍,3.0,"전체(1,2학기)",
19,전공선택,,,,FVE3011,자동차인공지능,3.0,"전체(1,2학기)",
20,전공선택,,,,FVE3012,자동차재료공학,3.0,"전체(1,2학기)",
21,전공선택,,,,FVE3013,미래자동차 UI/UX디자인,3.0,전체(1학기),
22,전공선택,,,,FVE3015,마이크로프로세서응용,3.0,"전체(1,2학기)",
23,전공선택,,,,FVE3016,자동차 배터리,3.0,전체(2학기),
24,전공선택,,,,FVE3017,수소 연료전지,3.0,전체(1학기),
25,전공선택,,,,FVE4001,차량동역학,3.0,"전체(1,2학기)",
26,전공선택,,,,FVE4002,캡스톤 디자인 1,3.0,전체(1학기),
27,전공선택,,,,FVE4003,캡스톤 디자인 2,3.0,전체(2학기),
28,전공선택,,,,FVE4005,캡스톤 디자인 2,3.0,전체(2학기),
29,전공선택,,,,FVE4006,친환경자동차구조실무,3.0,"전체(1,2학기)",
30,전공선택,,,,FVE4007,전력전자공학,3.0,"전체(1,2학기)",
31,전공선택,,,,FVE4008,하이브리드 및 전기자동차,3.0,"전체(1,2학기)",
32,전공선택,,,,FVE4009,전동화파워트레인,3.0,"전체(1,2학기)",
33,전공선택,,,,FVE4010,차량비전시스템,3.0,"전체(1,2학기)",
34,전공선택,,,,FVE4011,스마트모빌리티서비스,3.0,"전체(1,2학기)",
35,전공선택,,,,FVE4012,차량신호처리,3.0,"전체(1,2학기)",
36,전공선택,,,,FVE4013,NVH,3.0,"전체(1,2학기)",
37,전공선택,,,,FVE4014,모터이론및제어,3.0,"전체(1,2학기)",
38,전공선택,,,,FVE4015,차량센서공학,3.0,"전체(1,2학기)",
39,전공선택,,,,FVE4017,자율주행위치인식,3.0,"전체(1,2학기)",
40,전공선택,,,,FVE4018,자율주행PG응용,3.0,"전체(1,2학기)",
41,전공선택,,,,FVE4019,자동차인간공학,3.0,"전체(1,2학기)",
42,전공선택,,,,FVE4022,캡스톤 디자인 3,2.0,전체(1학기),
43,전공선택,,,,FVE4023,캡스톤 디자인 4,2.0,전체(2학기),
44,전공선택,,,,FVE4026,자율주행V2X통신,3.0,"전체(1,2학기)",
45,전공선택,,,,FVE4027,자동차 사이버보안,3.0,"전체(1,2학기)",
46,전공선택,,,,FVE9001,알파프로젝트 1,1.0,"전체(1,2학기)",
47,전공선택,,,,FVE9002,알파프로젝트 2,1.0,"전체(1,2학기)",
48,전공선택,,,,FVE9003,알파프로젝트 3,1.0,"전체(1,2학기)",
49,전공선택,,,,FVE9301,미래자동차 현장실습,3.0,"전체(1,2학기)",
50,전공선택,,,,FVE9302,미래자동차 현장실습 2,2.0,"전체(1,2학기)",
51,전공선택,,,,FVE9303,미래자동차 현장실습 3,1.0,"전체(1,2학기)",
52,전공선택,,,,FVE9504,학부연구생실습 - 미래자동차 1,3.0,"전체(1,2학기)",
53,전공선택,,,,FVE9505,학부연구생실습 - 미래자동차 2,3.0,"전체(1,2학기)",
54,전공선택,,,,FVE9506,학부연구생실습 - 미래자동차 3,3.0,"전체(1,2학기)",
