,A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
0,교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(1학기),
1,교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
2,교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),
3,교양필수,대학교교양필수,,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(2학기),
4,교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
5,교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
6,교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
7,교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
8,교양필수,계열교양영역,계열교양,,BNF1001,경제학,3.0,1학년(2학기),
9,교양필수,계열교양영역,계열교양,,BNF1002,금융계량분석,3.0,2학년(1학기),
10,교양필수,계열교양영역,계열교양,,CBA1102,경영학원론,3.0,1학년(1학기),
11,교양필수,계열교양영역,계열교양,,CBA1104,통계학,3.0,2학년(1학기),
12,교양필수,계열교양영역,계열교양,,SIM1002,경영자료처리이론,3.0,1학년(1학기),
13,전공필수,,금융,전공기반,BNF2201,금융시장론,3.0,2학년(1학기),
14,전공필수,,기타,전공핵심,BNF4401,금융실무영어,3.0,2학년(2학기),
15,전공필수,,마케팅,전공기반,BNF2501,마케팅원론,3.0,2학년(2학기),
16,전공필수,,재무,전공기반,BNF1101,재무관리,3.0,1학년(2학기),
17,전공필수,,회계 및 세무,,BNF2303,회계원론,3.0,2학년(1학기),
18,전공선택,,공통,,BNF9005,다학년 연구프로젝트 1,3.0,3학년(1학기),
19,전공선택,,공통,,BNF9006,다학년 연구프로젝트 2,3.0,3학년(2학기),
20,전공선택,,공통,,BNF9007,다학년 연구프로젝트 3,3.0,4학년(1학기),
21,전공선택,,공통,,BNF9008,다학년 연구프로젝트 4,3.0,4학년(2학기),
22,전공선택,,금융,전공핵심,BNF3103,국제재무론,3.0,3학년(1학기),
23,전공선택,,금융,전공핵심,BNF3202,금융기관론,3.0,3학년(2학기),
24,전공선택,,금융,전공핵심,BNF4201,리스크관리,3.0,4학년(2학기),
25,전공선택,,금융,전공핵심,BNF4202,국제금융시장,3.0,4학년(1학기),
26,전공선택,,기타,전공핵심,BNF3201,보험론,3.0,4학년(2학기),
27,전공선택,,기타,전공핵심,BNF3401,부동산금융의이해,3.0,3학년(1학기),
28,전공선택,,기타,전공핵심,BNF4402,재테크설계,3.0,"4학년(1,2학기)",
29,전공선택,,마케팅,전공핵심,BNF4501,서비스마케팅,3.0,4학년(1학기),
30,전공선택,,재무,전공핵심,BNF2101,경영분석론,3.0,2학년(2학기),
31,전공선택,,재무,전공핵심,BNF3101,기업재무론,3.0,3학년(1학기),
32,전공선택,,재무,,BNF3104,20대를 위한 증권투자론,3.0,"3학년(1,2학기)",
33,전공선택,,재무,전공핵심,BNF4101,파생상품,3.0,4학년(1학기),
34,전공선택,,회계 및 세무,전공기반,BNF2302,재무회계,3.0,2학년(2학기),
35,전공선택,,회계 및 세무,,BNF3302,중급회계,3.0,3학년(1학기),
36,전공선택,,회계 및 세무,,BNF3303,원가회계,3.0,3학년(2학기),
37,전공선택,,회계 및 세무,,BNF3304,세법개론,3.0,3학년(2학기),
38,전공선택,,회계 및 세무,,BNF4303,세무회계,3.0,4학년(2학기),
39,전공선택,,회계 및 세무,,BNF4304,회계정보처리론,3.0,4학년(1학기),
