,A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
0,교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(1학기),
1,교양필수,대학교교양필수,,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,1학년(2학기),
2,교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
3,교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
4,교양필수,대학교교양필수,,,GEB1142,미래사회와 소프트웨어-이공계열,3.0,1학년(2학기),
5,교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
6,교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
7,교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
8,교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
9,교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
10,교양필수,학과(부)교양필수,,,,"핵심교양-3.문학, 예술, 상징",3.0,전체,교양교과과정참조
11,교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
12,교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
13,교양필수,학과(부)교양필수,,,,일반교양-7.SW�AI,3.0,전체,교양교과과정참조
14,교양필수,계열교양영역,계열교양영역,,EDC1106,AI의 이해와 교육적 활용,3.0,1학년(2학기),
15,교양필수,계열교양영역,계열교양영역,,EDC1111,사회 변화와 교사 역량,2.0,1학년(1학기),
16,교양필수,계열교양영역,계열교양영역,,EDC1112,교육봉사활동 1,1.0,전체(2학기),
17,교양필수,계열교양영역,계열교양영역,,EDC2107,특수교육학개론,2.0,"전체(1,2학기)",
18,교양필수,계열교양영역,계열교양영역,,EDC3120,디지털교육,1.0,"전체(1,2학기)",
19,교양필수,계열교양영역,계열교양영역,,EDC3311,학교폭력예방 및 학생의 이해,2.0,"전체(1,2학기)",
20,교양필수,계열교양영역,계열교양영역,,EDC4109,교육실습,2.0,4학년(1학기),
21,교양필수,계열교양영역,계열교양영역,,EDC4115,교직실무,1.0,4학년(1학기),
22,교양필수,계열교양영역,계열교양영역,,EDC9113,교육봉사활동 2,1.0,"전체(1,2학기)",
23,교양필수,계열교양영역,계열교양영역,,EDC1100,교육철학및교육사,2.0,"전체(1,2학기)",교직이론영역(최소 택6필수)(택 6과목)
24,교양필수,계열교양영역,계열교양영역,,EDC1101,교육학개론,2.0,"전체(1,2학기)",교직이론영역(최소 택6필수)(택 6과목)
25,교양필수,계열교양영역,계열교양영역,,EDC1104,교육심리,2.0,"전체(1,2학기)",교직이론영역(최소 택6필수)(택 6과목)
26,교양필수,계열교양영역,계열교양영역,,EDC1105,교육사회,2.0,"전체(1,2학기)",교직이론영역(최소 택6필수)(택 6과목)
27,교양필수,계열교양영역,계열교양영역,,EDC2101,교육과정,2.0,"전체(1,2학기)",교직이론영역(최소 택6필수)(택 6과목)
28,교양필수,계열교양영역,계열교양영역,,EDC2103,교육방법 및 교육공학,2.0,"전체(1,2학기)",교직이론영역(최소 택6필수)(택 6과목)
29,교양필수,계열교양영역,계열교양영역,,EDC3102,교육평가,2.0,"전체(1,2학기)",교직이론영역(최소 택6필수)(택 6과목)
30,교양필수,계열교양영역,계열교양영역,,EDC3106,교육행정 및 교육경영,2.0,"전체(1,2학기)",교직이론영역(최소 택6필수)(택 6과목)
31,교양필수,계열교양영역,계열교양영역,,EDC3118,학생 생활지도 및 상담,2.0,"전체(1,2학기)",교직이론영역(최소 택6필수)(택 6과목)
32,전공필수,,수학교육(필수),전공기반,EMT2213,수학교육론,3.0,2학년(2학기),
33,전공필수,,수학교육(필수),전공핵심,EMT2311,수학교재 연구 및 지도법,3.0,3학년(2학기),
34,전공필수,,수학교육(필수),,EMT3352,학교수학 평가 이론과 실제,3.0,3학년(1학기),
35,전공필수,,수학내용(필수),전공핵심,EMT1125,미분적분학1 및 연습,4.0,1학년(1학기),
36,전공필수,,수학내용(필수),전공기반,EMT2241,선형대수,3.0,2학년(1학기),
37,전공필수,,수학내용(필수),전공기반,EMT2243,해석학,3.0,2학년(1학기),
38,전공필수,,수학내용(필수),전공핵심,EMT2347,확률 및 통계,3.0,2학년(1학기),
39,전공필수,,수학내용(필수),전공핵심,EMT3341,현대대수학,3.0,3학년(1학기),
40,전공필수,,수학내용(필수),전공핵심,EMT3343,위상수학,3.0,3학년(1학기),
41,전공필수,,수학내용(필수),전공핵심,EMT3345,복소해석학,3.0,3학년(1학기),
42,전공필수,,수학내용(필수),전공핵심,EMT3349,미분기하학,3.0,3학년(1학기),
43,전공선택,,수학교육(선택),전공핵심,EMT1232,중등수학 창의활동 지도법,3.0,1학년(2학기),
44,전공선택,,수학교육(선택),,EMT1234,수학논리 및 논술,3.0,1학년(2학기),
45,전공선택,,수학교육(선택),,EMT1235,중등수업의 교과 융합적 설계,3.0,1학년(1학기),
46,전공선택,,수학교육(선택),,EMT3144,중등수학현장의 이해,3.0,4학년(1학기),
47,전공선택,,수학교육(선택),전공핵심,EMT3313,컴퓨터와 수학교육,3.0,3학년(2학기),
48,전공선택,,수학교육(선택),전공핵심,EMT3351,융합형 수학과 교육과정,3.0,2학년(1학기),
49,전공선택,,수학교육(선택),전공핵심,EMT4437,창의�융합 수학교육 문제해결,3.0,4학년(1학기),
50,전공선택,,수학내용(선택),전공핵심,EMT1126,미분적분학2 및 연습,4.0,1학년(2학기),
51,전공선택,,수학내용(선택),전공핵심,EMT1128,미분방정식,3.0,1학년(2학기),
52,전공선택,,수학내용(선택),전공기반,EMT1135,집합론,3.0,1학년(1학기),
53,전공선택,,수학내용(선택),전공핵심,EMT2228,정수론,3.0,2학년(2학기),
54,전공선택,,수학내용(선택),전공핵심,EMT2240,기하학일반,3.0,2학년(1학기),
55,전공선택,,수학내용(선택),전공핵심,EMT2242,고급선형대수 및 연습,3.0,2학년(2학기),
56,전공선택,,수학내용(선택),전공핵심,EMT2244,고급해석학 및 연습,3.0,2학년(2학기),
57,전공선택,,수학내용(선택),전공핵심,EMT2245,조합 및 그래프이론,3.0,2학년(2학기),
58,전공선택,,수학내용(선택),전공핵심,EMT2348,고급기초통계 및 연습,3.0,2학년(2학기),
59,전공선택,,수학내용(선택),전공집중,EMT3342,대수학특강 및 연습,3.0,3학년(2학기),
60,전공선택,,수학내용(선택),전공집중,EMT3344,위상수학특강 및 연습,3.0,3학년(2학기),
61,전공선택,,수학내용(선택),전공집중,EMT3346,응용복소함수론,3.0,3학년(2학기),
62,전공선택,,수학내용(선택),전공집중,EMT3350,미분기하학특강 및 연습,3.0,3학년(2학기),
63,전공선택,,수학내용(선택),전공핵심,EMT4427,수학사,3.0,4학년(2학기),
64,전공선택,,수학내용(선택),전공집중,EMT4434,현대수학의 이해,3.0,4학년(1학기),
65,전공선택,,수학내용(선택),전공핵심,EMT4435,현대수학특강,3.0,4학년(2학기),
