,A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
0,전공필수,,전공필수,,UMD1001,문제바탕 인체의 구조와 단면,10.0,1학년(1학기),
1,전공필수,,전공필수,,UMD1002,기초의학총론,6.0,1학년(1학기),
2,전공필수,,전공필수,,UMD1003,감염과 면역Ⅰ,8.0,1학년(1학기),
3,전공필수,,전공필수,,UMD1006,소화기계,6.0,1학년(2학기),
4,전공필수,,전공필수,,UMD1007,호흡기계,4.0,1학년(2학기),
5,전공필수,,전공필수,,UMD1008,순환기계,5.0,1학년(2학기),
6,전공필수,,전공필수,,UMD1009,혈액 및 종양학,5.0,1학년(2학기),
7,전공필수,,전공필수,,UMD1011,문제바탕학습Ⅰ,2.0,1학년(2학기),
8,전공필수,,전공필수,,UMD1012,역학,2.0,1학년(2학기),
9,전공필수,,전공필수,,UMD1025,종합평가 2,1.0,1학년(2학기),
10,전공필수,,전공필수,,UMD1026,의학연구 1,1.0,1학년(2학기),
11,전공필수,,전공필수,,UMD2002,내분비계,6.0,2학년(1학기),
12,전공필수,,전공필수,,UMD2003,근골격계,3.0,2학년(1학기),
13,전공필수,,전공필수,,UMD2004,생식기계,4.0,2학년(1학기),
14,전공필수,,전공필수,,UMD2005,신장 및 요로계,4.0,2학년(1학기),
15,전공필수,,전공필수,,UMD2006,정신계,4.0,2학년(1학기),
16,전공필수,,전공필수,,UMD2008,문제바탕학습Ⅱ,2.0,2학년(1학기),
17,전공필수,,전공필수,,UMD2009,보건관리학,2.0,2학년(1학기),
18,전공필수,,전공필수,,UMD2012,노화와 노인의학,2.0,2학년(2학기),
19,전공필수,,전공필수,,UMD2013,감염과 면역 II,3.0,2학년(2학기),
20,전공필수,,전공필수,,UMD2014,신경계,6.0,2학년(2학기),
21,전공필수,,전공필수,,UMD2015,감각계,4.0,2학년(2학기),
22,전공필수,,전공필수,,UMD2016,외과학 입문 및 응급의학,4.0,2학년(2학기),
23,전공필수,,전공필수,,UMD2018,임상의학입문,5.0,2학년(2학기),
24,전공필수,,전공필수,,UMD2019,환경의학,2.0,2학년(1학기),
25,전공필수,,전공필수,,UMD2024,출생과 성장,5.0,2학년(2학기),
26,전공필수,,전공필수,,UMD2025,종합평가 3,1.0,2학년(2학기),
27,전공필수,,전공필수,,UMD2026,메디컬 커뮤니케이션,2.0,2학년(1학기),
28,전공필수,,전공필수,,UMD2027,의학연구 2,1.0,2학년(1학기),
29,전공필수,,전공필수,,UMD3024,종합평가 4,1.0,3학년(2학기),
30,전공필수,,전공필수,,UMD3025,임상수행평가 1,1.0,3학년(2학기),
31,전공필수,,전공필수,,UMD3026,소화기내과학실습,2.0,3학년(1학기),
32,전공필수,,전공필수,,UMD3027,심장내과학실습,2.0,3학년(1학기),
33,전공필수,,전공필수,,UMD3028,호흡기내과학실습,2.0,3학년(1학기),
34,전공필수,,전공필수,,UMD3029,감염 및 류마티스내과학실습,2.0,3학년(1학기),
35,전공필수,,전공필수,,UMD3030,내분비 및 신장내과학실습,2.0,3학년(1학기),
36,전공필수,,전공필수,,UMD3031,혈액종양 및 알레르기내과학실습,2.0,3학년(1학기),
37,전공필수,,전공필수,,UMD3032,신경과학실습,2.0,3학년(1학기),
38,전공필수,,전공필수,,UMD3033,가정의학실습,2.0,3학년(1학기),
39,전공필수,,전공필수,,UMD3034,외과학실습,4.0,3학년(2학기),
40,전공필수,,전공필수,,UMD3035,산부인과학실습,4.0,3학년(2학기),
41,전공필수,,전공필수,,UMD3036,소아청소년과학실습,4.0,3학년(2학기),
42,전공필수,,전공필수,,UMD3037,정신건강의학실습,4.0,3학년(2학기),
43,전공필수,,전공필수,,UMD3038,영상의학실습,2.0,3학년(2학기),
44,전공필수,,전공필수,,UMD3039,사회 및 예방의학실습,2.0,3학년(2학기),
45,전공필수,,전공필수,,UMD4016,임상약리학,1.0,4학년(2학기),
46,전공필수,,전공필수,,UMD4031,종합평가 5,1.0,4학년(2학기),
47,전공필수,,전공필수,,UMD4032,의료윤리,2.0,4학년(2학기),
48,전공필수,,전공필수,,UMD4033,의사의 길,3.0,4학년(2학기),
49,전공필수,,전공필수,,UMD4036,응급의학실습,2.0,4학년(1학기),
50,전공필수,,전공필수,,UMD4037,진로탐색실습 1,2.0,4학년(1학기),
51,전공필수,,전공필수,,UMD4038,진로탐색실습 2,2.0,4학년(1학기),
52,전공필수,,전공필수,,UMD4053,보건의료법규,2.0,4학년(2학기),
53,전공필수,,전공필수,,UMD4054,임상수행평가 2,1.0,4학년(2학기),
54,전공선택,,전공선택,,UMD1022,인공지능 개론,2.0,1학년(1학기),선택과목1(택 1과목)
55,전공선택,,전공선택,,UMD1023,의학영어,2.0,1학년(1학기),선택과목1(택 1과목)
56,전공선택,,전공선택,,UMD4034,특성화선택실습,4.0,4학년(1학기),선택과목4(택 1과목)
57,전공선택,,전공선택,,UMD4035,의학연구 3,4.0,4학년(1학기),선택과목4(택 1과목)
58,전공선택,,전공선택,,UMD4039,마취통증의학실습,1.0,4학년(1학기),선택과목4-1(택 4과목)
59,전공선택,,전공선택,,UMD4040,방사선종양학실습,1.0,4학년(1학기),선택과목4-1(택 4과목)
60,전공선택,,전공선택,,UMD4041,입원의학실습,1.0,4학년(1학기),선택과목4-1(택 4과목)
61,전공선택,,전공선택,,UMD4042,재활의학실습,1.0,4학년(1학기),선택과목4-1(택 4과목)
62,전공선택,,전공선택,,UMD4043,진단검사의학실습,1.0,4학년(1학기),선택과목4-1(택 4과목)
63,전공선택,,전공선택,,UMD4044,핵의학실습,1.0,4학년(1학기),선택과목4-1(택 4과목)
64,전공선택,,전공선택,,UMD4045,비뇨의학실습,2.0,4학년(1학기),선택과목4-2(택 3과목)
65,전공선택,,전공선택,,UMD4046,성형외과학실습,2.0,4학년(1학기),선택과목4-2(택 3과목)
66,전공선택,,전공선택,,UMD4047,신경외과학실습,2.0,4학년(1학기),선택과목4-2(택 3과목)
67,전공선택,,전공선택,,UMD4048,안과학실습,2.0,4학년(1학기),선택과목4-2(택 3과목)
68,전공선택,,전공선택,,UMD4049,이비인후과학실습,2.0,4학년(1학기),선택과목4-2(택 3과목)
69,전공선택,,전공선택,,UMD4050,정형외과학실습,2.0,4학년(1학기),선택과목4-2(택 3과목)
70,전공선택,,전공선택,,UMD4051,피부과학실습,2.0,4학년(1학기),선택과목4-2(택 3과목)
71,전공선택,,전공선택,,UMD4052,심장혈관흉부외과학실습,2.0,4학년(1학기),선택과목4-2(택 3과목)
