,A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
0,교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(1학기),
1,교양필수,대학교교양필수,,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,"1학년(1,2학기)",
2,교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
3,교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
4,교양필수,대학교교양필수,,,GEB1143,미래사회와 소프트웨어-IT계열,3.0,1학년(2학기),
5,교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
6,교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
7,교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
8,교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
9,교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
10,교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
11,교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
12,교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
13,교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
14,교양필수,학과(부)교양필수,,,,SW�AI(탄소중립),3.0,전체,교양교과과정참조
15,교양필수,학과(부)교양필수,,,ACE2104,통계학,3.0,2학년(1학기),
16,교양필수,계열교양영역,,,MTH1001,일반수학 1,3.0,1학년(1학기),
17,교양필수,계열교양영역,,,MTH1002,일반수학 2,3.0,1학년(2학기),
18,교양선택,,인공지능,,GED6009,인공지능과 소프트웨어를 활용한 탄소중립,3.0,"전체(1,2학기)",
19,교양선택,,인공지능,,GEE7003,인공지능 개론 및 프로그래밍 기초,3.0,"전체(1,2학기)",
20,전공필수,,인공지능,,AIE1001,객체지향프로그래밍 1,3.0,1학년(1학기),
21,전공필수,,인공지능,,AIE1002,객체지향프로그래밍 2,3.0,1학년(2학기),
22,전공필수,,인공지능,,AIE1003,인공지능 입문,2.0,1학년(1학기),
23,전공필수,,인공지능,,AIE1005,이산구조,3.0,1학년(2학기),
24,전공필수,,인공지능,,AIE2001,자료구조,4.0,2학년(1학기),
25,전공필수,,인공지능,,AIE2002,인공지능프로그래밍,3.0,2학년(2학기),
26,전공필수,,인공지능,,AIE2003,선형대수,3.0,2학년(1학기),
27,전공필수,,인공지능,,AIE2004,인공지능확률론,3.0,2학년(2학기),
28,전공필수,,인공지능,,AIE3001,기계학습,3.0,3학년(1학기),
29,전공필수,,인공지능,,AIE3002,알고리즘,3.0,3학년(1학기),
30,전공필수,,인공지능,,AIE3003,인공신경망,3.0,3학년(2학기),
31,전공필수,,인공지능,,AIE4001,인공지능종합설계,3.0,"4학년(1,2학기)",
32,전공선택,,인공지능,,AIE1004,인공지능창의설계,3.0,1학년(2학기),
33,전공선택,,인공지능,,AIE2005,파이썬기반응용프로그래밍,3.0,2학년(1학기),
34,전공선택,,인공지능,,AIE2008,디지털 신호처리,3.0,2학년(2학기),
35,전공선택,,인공지능,,AIE2009,오픈소스SW개론,3.0,2학년(1학기),
36,전공선택,,인공지능,,AIE2010,논리회로,3.0,2학년(2학기),
37,전공선택,,인공지능,,AIE3004,자연어처리,3.0,3학년(2학기),
38,전공선택,,인공지능,,AIE3005,멀티미디어 컴퓨팅,3.0,3학년(1학기),
39,전공선택,,인공지능,,AIE3006,운영체제론,3.0,3학년(1학기),
40,전공선택,,인공지능,,AIE3007,데이터베이스,3.0,3학년(1학기),
41,전공선택,,인공지능,,AIE3008,컴퓨터 비전,3.0,3학년(2학기),
42,전공선택,,인공지능,,AIE3009,컴퓨터 네트워크,3.0,3학년(2학기),
43,전공선택,,인공지능,,AIE3010,컴퓨터구조론,3.0,3학년(1학기),
44,전공선택,,인공지능,,AIE3011,문제해결기법,4.0,3학년(2학기),
45,전공선택,,인공지능,,AIE4002,인공지능,3.0,4학년(1학기),
46,전공선택,,인공지능,,AIE4003,강화학습,3.0,4학년(1학기),
47,전공선택,,인공지능,,AIE4004,인공지능보안,3.0,4학년(1학기),
48,전공선택,,인공지능,,AIE4005,데이터마이닝,3.0,4학년(1학기),
49,전공선택,,인공지능,,AIE4006,인간-컴퓨터상호작용,3.0,4학년(2학기),
50,전공선택,,인공지능,,AIE4007,병렬컴퓨팅,3.0,4학년(2학기),
51,전공선택,,인공지능,,AIE4008,심화전공탐색,3.0,4학년(2학기),
