,A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
0,전공선택,,거버넌스,,CCA2002,기후문제와 국제정치,3.0,전체(1학기),
1,전공선택,,거버넌스,,CCA3003,기후위기와 지역사회,3.0,전체(1학기),
2,전공선택,,거버넌스,,CCA4004,국제개발협력과 환경ODA,3.0,전체(1학기),
3,전공선택,,거버넌스,전공핵심,INT2632,국제기구론,3.0,전체(2학기),
4,전공선택,,거버넌스,전공집중,PAD3113,환경정책론,3.0,전체(1학기),
5,전공선택,,거버넌스,전공핵심,POL2235,국제기구와 NGO,3.0,전체(2학기),
6,전공선택,,거버넌스,전공핵심,POL4233,개발협력과 국제정치학,3.0,전체(1학기),
7,전공선택,,기후인문학,,GEE2027,바다의 불편한 진실,3.0,"전체(1,2학기)",
8,전공선택,,넷제로,전공핵심,BUS2701,지속가능경영 사례,3.0,전체(2학기),
9,전공선택,,넷제로,,CCA2005,기후위기와 ESG경영,3.0,전체(1학기),
10,전공선택,,넷제로,,CCA3006,기후위기와 녹색금융,3.0,전체(1학기),
11,전공선택,,넷제로,전공핵심,ECO3352,자원환경경제학,3.0,전체(1학기),
12,전공선택,,넷제로,,ENR3206,에너지자원환경,3.0,전체(2학기),
13,전공선택,,넷제로,,GEE2022,"인류의 그림자, 에너지 바로 알기",3.0,"전체(1,2학기)",
14,전공선택,,넷제로,전공집중,INT4131,환경경제학,3.0,전체(2학기),
15,전공선택,,넷제로,전공집중,INT4132,자원경제학,3.0,전체(1학기),
16,전공선택,,데이터 분석,,CCA2001,빅데이터분석과 시각화,3.0,전체(1학기),
17,전공선택,,데이터 분석,,GED5001,환경과 인간,3.0,"전체(1,2학기)",
18,전공선택,,데이터 분석,,POL3139,데이터사이언스로서의 정치학 입문,3.0,전체(1학기),
