,A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
0,교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(2학기),
1,교양필수,대학교교양필수,,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,1학년(1학기),
2,교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
3,교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),
4,교양필수,대학교교양필수,,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(1학기),
5,교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
6,교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
7,교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
8,교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
9,교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
10,교양필수,학과(부)교양필수,,,,"핵심교양-3.문학, 예술, 상징",3.0,전체,교양교과과정참조
11,교양필수,학과(부)교양필수,,,,"핵심교양-5.자연, 생명, 환경",3.0,전체,교양교과과정참조
12,교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
13,교양필수,계열교양영역,계열교양,,EDC1106,AI의 이해와 교육적 활용,3.0,1학년(1학기),
14,교양필수,계열교양영역,계열교양,,EDC1111,사회 변화와 교사 역량,2.0,1학년(2학기),
15,교양필수,계열교양영역,계열교양,,EDC1100,교육철학및교육사,2.0,"전체(1,2학기)",교직이론영역(택6)(택 6과목)
16,교양필수,계열교양영역,계열교양,,EDC1101,교육학개론,2.0,"전체(1,2학기)",교직이론영역(택6)(택 6과목)
17,교양필수,계열교양영역,계열교양,,EDC1104,교육심리,2.0,"전체(1,2학기)",교직이론영역(택6)(택 6과목)
18,교양필수,계열교양영역,계열교양,,EDC1105,교육사회,2.0,"전체(1,2학기)",교직이론영역(택6)(택 6과목)
19,교양필수,계열교양영역,계열교양,,EDC2101,교육과정,2.0,"전체(1,2학기)",교직이론영역(택6)(택 6과목)
20,교양필수,계열교양영역,계열교양,,EDC2103,교육방법 및 교육공학,2.0,"전체(1,2학기)",교직이론영역(택6)(택 6과목)
21,교양필수,계열교양영역,계열교양,,EDC3102,교육평가,2.0,"전체(1,2학기)",교직이론영역(택6)(택 6과목)
22,교양필수,계열교양영역,계열교양,,EDC3106,교육행정 및 교육경영,2.0,"전체(1,2학기)",교직이론영역(택6)(택 6과목)
23,교양필수,계열교양영역,계열교양,,EDC3118,학생 생활지도 및 상담,2.0,"전체(1,2학기)",교직이론영역(택6)(택 6과목)
24,교양필수,계열교양영역,계열교양,,EDC2107,특수교육학개론,2.0,"전체(1,2학기)",교직소양영역(택 3과목)
25,교양필수,계열교양영역,계열교양,,EDC3120,디지털교육,1.0,"전체(1,2학기)",교직소양영역(택 3과목)
26,교양필수,계열교양영역,계열교양,,EDC3311,학교폭력예방 및 학생의 이해,2.0,"전체(1,2학기)",교직소양영역(택 3과목)
27,교양필수,계열교양영역,계열교양,,EDC4115,교직실무,1.0,4학년(1학기),교직소양영역(택 3과목)
28,교양필수,계열교양영역,계열교양,,EDC1112,교육봉사활동 1,1.0,"전체(1,2학기)",교육실습영역(택 3과목)
29,교양필수,계열교양영역,계열교양,,EDC4109,교육실습,2.0,4학년(1학기),교육실습영역(택 3과목)
30,교양필수,계열교양영역,계열교양,,EDC9113,교육봉사활동 2,1.0,"전체(1,2학기)",교육실습영역(택 3과목)
31,교양선택,학과(부)교양필수,,,,일반교양-7.SW�AI,3.0,전체,교양교과과정참조
32,전공필수,,교과교육,,PHE2522,체육교육과정과 평가,3.0,2학년(2학기),
33,전공필수,,교과교육,전공기반,PHE2564,체육교육론,3.0,2학년(1학기),
34,전공필수,,교과교육,전공핵심,PHE3152,체육논리및논술,2.0,3학년(1학기),
35,전공필수,,교과교육,전공핵심,PHE3563,체육교재연구및지도법,3.0,3학년(2학기),
36,전공필수,,신체활동교수법,,PHE1112,기계체조초급교수법,1.0,1학년(1학기),
37,전공필수,,신체활동교수법,전공기반,PHE1125,육상트랙필드교수법,2.0,1학년(2학기),
38,전공필수,,신체활동교수법,,PHE1205,기계체조중급교수법,1.0,1학년(2학기),
39,전공필수,,체육학,전공기반,PHE1244,체육학개론,3.0,1학년(2학기),
40,전공필수,,체육학,전공핵심,PHE2033,스포츠사회학,3.0,2학년(2학기),
41,전공필수,,체육학,전공핵심,PHE2163,운동학습및심리,3.0,2학년(1학기),
42,전공필수,,체육학,전공핵심,PHE2342,체육사철학,3.0,2학년(2학기),
43,전공필수,,체육학,,PHE2534,운동생리학,3.0,2학년(2학기),
44,전공필수,,체육학,전공핵심,PHE3253,체육측정평가,3.0,3학년(2학기),
45,전공필수,,체육학,전공핵심,PHE3263,운동역학,3.0,3학년(2학기),
46,전공선택,,교과교육,전공핵심,PHE3933,체육교수학습론,3.0,3학년(1학기),
47,전공선택,,신체활동교수법,,PHE1100,신체활동 리더십 1,1.0,1학년(1학기),
48,전공선택,,신체활동교수법,,PHE1113,수영초급교수법,1.0,1학년(1학기),
49,전공선택,,신체활동교수법,,PHE1114,수영중급교수법,1.0,1학년(2학기),
50,전공선택,,신체활동교수법,,PHE2100,신체활동 리더십 2,1.0,2학년(1학기),
51,전공선택,,신체활동교수법,,PHE2107,신체활동AI스마트기술론,2.0,2학년(1학기),
52,전공선택,,신체활동교수법,전공핵심,PHE2112,핸드볼교수법,1.0,2학년(1학기),
53,전공선택,,신체활동교수법,전공핵심,PHE2124,투기운동교수법,2.0,2학년(1학기),
54,전공선택,,신체활동교수법,,PHE2156,표현활동교수법,2.0,2학년(1학기),
55,전공선택,,신체활동교수법,전공핵심,PHE2212,축구교수법,1.0,2학년(2학기),
56,전공선택,,신체활동교수법,전공핵심,PHE2242,라켓경기교수법,2.0,2학년(2학기),
57,전공선택,,신체활동교수법,전공핵심,PHE3121,배구교수법,1.0,3학년(1학기),
58,전공선택,,신체활동교수법,전공핵심,PHE3131,농구교수법,1.0,3학년(1학기),
59,전공선택,,신체활동교수법,,PHE3206,운동과 정신건강,2.0,3학년(2학기),
60,전공선택,,신체활동교수법,전공핵심,PHE3254,육상종합교수법,1.0,3학년(2학기),
61,전공선택,,신체활동교수법,전공기반,PHE4119,운동종합실기,2.0,4학년(1학기),
62,전공선택,,신체활동교수법,전공핵심,PHE4244,체조종합교수법,2.0,4학년(2학기),
63,전공선택,,체육학,전공기반,PHE1119,스포츠이벤트,3.0,1학년(1학기),
64,전공선택,,체육학,,PHE1122,운동기능과 인체구조,2.0,1학년(1학기),
65,전공선택,,체육학,전공핵심,PHE2118,건강교육,2.0,2학년(1학기),
66,전공선택,,체육학,,PHE2165,중등수업의 교과융합적 설계,2.0,2학년(1학기),
67,전공선택,,체육학,전공핵심,PHE2663,스포츠경향분석,2.0,2학년(1학기),
68,전공선택,,체육학,전공핵심,PHE2943,체육심리학,3.0,2학년(2학기),
69,전공선택,,체육학,전공핵심,PHE3112,특수체육,2.0,3학년(1학기),
70,전공선택,,체육학,전공핵심,PHE3118,운동과 영양,2.0,3학년(1학기),
71,전공선택,,체육학,,PHE3245,AI와 창의적 체육활동 설계,2.0,3학년(2학기),
72,전공선택,,체육학,,PHE3731,학교현장 체육통계,2.0,3학년(1학기),
73,전공선택,,체육학,전공집중,PHE4161,체육교육현장 문제해결,2.0,4학년(1학기),
74,전공선택,,체육학,전공집중,PHE4171,운동검사처방,2.0,4학년(1학기),
75,전공선택,,체육학,전공집중,PHE4221,체육교육학내용학총론,3.0,4학년(2학기),
76,전공선택,,체육학,전공집중,PHE4282,체육경영,3.0,2학년(2학기),
77,전공선택,,체육학,전공집중,PHE4711,체육현장연구방법론,2.0,4학년(1학기),
78,전공선택,,평생체육,,PHE1212,초급동계스포츠,2.0,1학년(2학기),
79,전공선택,,평생체육,,PHE1213,중급동계스포츠,2.0,2학년(2학기),
80,전공선택,,평생체육,전공핵심,PHE3142,야영훈련,2.0,3학년(1학기),
81,전공선택,,평생체육,전공핵심,PHE3151,해양스포츠,2.0,3학년(1학기),
82,전공선택,,평생체육,전공기반,PHE3227,뉴스포츠,2.0,3학년(2학기),
83,전공선택,,평생체육,전공핵심,PHE3235,체력트레이닝,2.0,3학년(2학기),
