,A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
0,교양필수,대학교교양필수,기초교양영역,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
1,교양필수,대학교교양필수,기초교양영역,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),
2,교양필수,대학교교양필수,기초교양영역,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(1학기),
3,교양필수,대학교교양필수,기초교양영역,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
4,교양필수,대학교교양필수,기초교양영역,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
5,교양필수,대학교교양필수,기초교양영역,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
6,교양필수,대학교교양필수,기초교양영역,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
7,교양필수,대학교교양필수,중점교양영역,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(2학기),
8,교양필수,대학교교양필수,중점교양영역,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,"1학년(1,2학기)",
9,교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
10,교양필수,학과(부)교양필수,,,,"핵심교양-3.문학, 예술, 상징",3.0,전체,교양교과과정참조
11,교양필수,학과(부)교양필수,,,,"핵심교양-5.자연, 생명, 환경",3.0,전체,교양교과과정참조
12,교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
13,교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
14,교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
15,교양필수,학과(부)교양필수,계열교양영역,,HUM1001,언어의 이해,3.0,"1학년(1,2학기)",계열교양(택 3과목)
16,교양필수,학과(부)교양필수,계열교양영역,,HUM1002,문학의 이해,3.0,"1학년(1,2학기)",계열교양(택 3과목)
17,교양필수,학과(부)교양필수,계열교양영역,,HUM1003,문화사의 이해,3.0,"1학년(1,2학기)",계열교양(택 3과목)
18,교양필수,학과(부)교양필수,계열교양영역,,HUM1004,철학의 이해,3.0,"1학년(1,2학기)",계열교양(택 3과목)
19,교양필수,학과(부)교양필수,계열교양영역,,HUM1005,문화학의이해,3.0,"1학년(1,2학기)",계열교양(택 3과목)
20,교양필수,학과(부)교양필수,계열교양영역,,HUM1011,중국어 1,3.0,1학년(1학기),계열교양 외국어-1(택 1과목)
21,교양필수,학과(부)교양필수,계열교양영역,,HUM1021,일본어 1,3.0,1학년(1학기),계열교양 외국어-1(택 1과목)
22,교양필수,학과(부)교양필수,계열교양영역,,HUM1031,프랑스어 1,3.0,1학년(1학기),계열교양 외국어-1(택 1과목)
23,교양필수,학과(부)교양필수,계열교양영역,,HUM1041,한문 1,3.0,1학년(1학기),계열교양 외국어-1(택 1과목)
24,교양필수,학과(부)교양필수,계열교양영역,,HUM1012,중국어 2,3.0,1학년(2학기),계열교양 외국어-2(택 1과목)
25,교양필수,학과(부)교양필수,계열교양영역,,HUM1022,일본어 2,3.0,1학년(2학기),계열교양 외국어-2(택 1과목)
26,교양필수,학과(부)교양필수,계열교양영역,,HUM1032,프랑스어 2,3.0,1학년(2학기),계열교양 외국어-2(택 1과목)
27,교양필수,학과(부)교양필수,계열교양영역,,HUM1042,한문 2,3.0,1학년(2학기),계열교양 외국어-2(택 1과목)
28,전공필수,,문화영역,,FLL3034,프랑스 문명사 1,3.0,3학년(1학기),
29,전공필수,,문화영역,,FLL3035,프랑스 문명사 2,3.0,3학년(2학기),
30,전공필수,,언어영역,전공기반,FLL2010,프랑스어 문법 1,3.0,2학년(1학기),
31,전공필수,,언어영역,,FLL3031,DELF B1 듣기 � 말하기,3.0,3학년(1학기),
32,전공필수,,언어영역,,FLL4021,DELF B2 읽기 � 쓰기,3.0,4학년(2학기),
33,전공선택,,문학영역,전공핵심,FLL3019,프랑스 명작산책,3.0,2학년(2학기),
34,전공선택,,문화영역,,FLL2036,프랑스 문화권의 이해,3.0,2학년(1학기),
35,전공선택,,문화영역,전공핵심,FLL3014,프랑스 예술문화 토픽,3.0,3학년(1학기),
36,전공선택,,문화영역,전공집중,FLL3021,디지털 프랑스언어문화,3.0,3학년(2학기),
37,전공선택,,문화영역,,FLL3029,프랑스 시사 토픽,3.0,3학년(2학기),
38,전공선택,,문화영역,,FLL3030,프랑스 샹송의 세계,3.0,3학년(2학기),
39,전공선택,,문화영역,,FLL3037,프랑스 문학개관,3.0,3학년(1학기),
40,전공선택,,문화영역,,FLL4022,한국 인물사,3.0,"4학년(1,2학기)",
41,전공선택,,문화영역,,FLL4023,한불 교류사,3.0,"4학년(1,2학기)",
42,전공선택,,문화영역,,FLL4024,K-POP으로 읽는 한국사회 변모사,3.0,"4학년(1,2학기)",
43,전공선택,,언어영역,전공기반,FLL1001,기초 프랑스어 1,3.0,1학년(1학기),
