,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,ECO1101-001,ECO1101,1,경제원론 1,전체,3.0,전공필수,"월10,11,12,수10,11,12(6-520)",이상원,상대평가, 
1,ECO1101-002,ECO1101,2,경제원론 1,전체,3.0,전공필수,"월10,11,12,목10,11,12(6-426)",신일순,상대평가, 
2,ECO1101-003,ECO1101,3,경제원론 1,전체,3.0,전공필수,"화7,8,9,수7,8,9(6-425)",정세은,절대평가,"영어,English"
3,ECO2201-002,ECO2201,2,미시경제학,전체,3.0,전공필수,"월10,11,12,수10,11,12(6-425)",김진방,상대평가, 
4,ECO2201-003,ECO2201,3,미시경제학,전체,3.0,전공필수,"월4,5,6,목4,5,6(6-520)",신일순,상대평가, 
5,ECO2202-001,ECO2202,1,거시경제학,전체,3.0,전공필수,"월7,8,9,수7,8,9(6-520)",장원창,상대평가, 
6,ECO2211-001,ECO2211,1,경제정보분석,전체,3.0,전공선택,"월16,17,18(6-426) /수16,17,18(6-326)",이상원,상대평가, 
7,ECO2222-001,ECO2222,1,경제사,전체,3.0,전공선택,"금10,11,12,13,14,15(6-425)",전보강,상대평가, 
8,ECO3212-001,ECO3212,1,응용계량경제학,전체,3.0,전공선택,"화7,8,9(6-520) /화13,14(6-326) /목7,8,9(6-520)",천소라,절대평가, 
9,ECO3243-001,ECO3243,1,경제학을 위한 프로그래밍,전체,3.0,전공선택,"월4,5,6(6-425) /월19,20(6-326) /수4,5,6(6-425)",윤영진,절대평가, 
10,ECO3271-001,ECO3271,1,후생경제학,전체,3.0,전공선택,"화13,14,15,목13,14,15(6-425)",강병구,상대평가, 
11,ECO3305-001,ECO3305,1,현대경제학,전체,3.0,전공선택,"월1,2,3,수1,2,3(6-426)",매츠,절대평가,"영어,English"
12,ECO3305-002,ECO3305,2,현대경제학,전체,3.0,전공선택,"화1,2,3,목1,2,3(6-426)",매츠,절대평가,"영어,English"
13,ECO3337-001,ECO3337,1,국제무역론,전체,3.0,전공선택,"화10,11,12,목10,11,12(6-520)",윤명수,절대평가,"영어,English"
14,ECO3343-001,ECO3343,1,노동경제학,전체,3.0,전공선택,"화13,14,15,목13,14,15(6-520)",윤명수,절대평가,"영어,English"
15,ECO3344-001,ECO3344,1,기술경제론,전체,3.0,전공선택,"월7,8,9,수7,8,9(6-426)",오준병,상대평가, 
16,ECO3347-001,ECO3347,1,게임이론,전체,3.0,전공선택,"월10,11,12,수10,11,12(6-427)",오준병,상대평가, 
17,ECO3352-001,ECO3352,1,자원환경경제학,전체,3.0,전공선택,"월4,5,6(6-426) /수1,2,3(6-520)",서현덕,상대평가, 
18,ECO3361-001,ECO3361,1,화폐금융론,전체,3.0,전공선택,"월1,2,3,수4,5,6(6-520)",서현덕,상대평가, 
19,ECO3362-001,ECO3362,1,금융투자론,전체,3.0,전공선택,"월13,14,15,수13,14,15(6-520)",장원창,상대평가, 
20,ECO3374-001,ECO3374,1,조세론,전체,3.0,전공선택,"화10,11,12,목10,11,12(6-425)",강병구,상대평가, 
21,ECO3382-001,ECO3382,1,한국경제론,전체,3.0,전공선택,"월7,8,9,수7,8,9(9-317)",유만식,상대평가, 
22,ECO3383-001,ECO3383,1,경제체제론,전체,3.0,전공선택,"월13,14,15,수13,14,15(6-425)",김진방,상대평가, 
23,ECO3387-001,ECO3387,1,경제성장론,전체,3.0,전공선택,"목4,5,6,금4,5,6(6-425)",전보강,상대평가, 
24,SOS1105-001,SOS1105,1,경제수학,전체,3.0,교양필수,"화4,5,6,수4,5,6(6-426)",정세은,상대평가, 
25,SOS1105-002,SOS1105,2,경제수학,전체,3.0,교양필수,"월4,5,6,수4,5,6(9-317)",유만식,상대평가, 
