,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,CHM1023-008,CHM1023,8,일반화학,1,3.0,교양필수,"월13,14,15,수13,14,15(5동505)",오세영,상대평가, 
1,GEO1011-001,GEO1011,1,공간정보공학개론,1,3.0,전공필수,"금10,11,12,13,14,15(4-320)","박수홍,김태정,박관동,홍성철,최강혁,최광열",상대평가, 
2,MTH1001-020,MTH1001,20,일반수학 1,1,3.0,교양필수,"화4,5,6,목7,8,9(5동106B)",김기태,상대평가, 
3,PHY1005-001,PHY1005,1,일반물리학,1,3.0,교양필수,"화13,14,15,목13,14,15(5동408)",류한열,상대평가, 
4,GEO2003-001,GEO2003,1,공간위치결정,2,3.0,전공필수,"월4,5,6,7,수4,5,6,7(4-320)",최강혁,절대평가, 
5,GEO2010-001,GEO2010,1,객체지향프로그램,2,3.0,전공필수,"월16,17,18,19,수16,17,18,19(4-336)",홍성철,절대평가, 
6,GEO2011-001,GEO2011,1,공간정보 수치해석,2,3.0,교양필수,"월10,11,12(4-336) /수10,11,12(4-320)",최강혁,상대평가, 
7,GEO2012-001,GEO2012,1,공간정보 기초 통계학,2,3.0,교양필수,"화13,14,15,16,17,18(4-336)",홍명덕,상대평가, 
8,GEO2121-001,GEO2121,1,도시공간구조,2,3.0,전공선택,"화4,5,6,목4,5,6(4-320)",최광열,상대평가, 
9,GEO3001-001,GEO3001,1,공간정보 진로세미나,3,1.0,전공필수,"월13,14(4-320)","박수홍,김태정,박관동,홍성철,최강혁,최광열",상대평가, 
10,GEO3101-001,GEO3101,1,위성영상처리,3,3.0,전공선택,"금1,2,3,4,5,6,7,8(4-336)",김선화,절대평가,선수
11,GEO3102-001,GEO3102,1,공간분석,3,3.0,전공선택,"화4,5,6,7,수9,10,11,12(4-336)",홍성철,절대평가,선수
12,GEO3105-001,GEO3105,1,사진측량학,3,3.0,전공필수,"월9,10,11,12,목9,10,11,12(4-320)",김태정,절대평가, 
13,GEO3131-001,GEO3131,1,교통체계분석 및 계획,3,3.0,전공선택,"수17,18,19,20(4-320) /목17,18,19,20(4-336)",최광열,절대평가, 
14,GEO3206-001,GEO3206,1,GPS응용,3,3.0,전공선택,"월16,17,18,19,화16,17,18,19(4-320)",박관동,절대평가,선수
15,GEO3307-001,GEO3307,1,위치기반 앱 프로그래밍,3,3.0,전공선택,"월4,5,6,7,목4,5,6,7(4-336)",김태정,절대평가,선수
16,GEO3320-001,GEO3320,1,공간자료구조,3,3.0,전공선택,"수13,14,15,16(4-320) /목13,14,15,16(4-336)",박수홍,절대평가, 
17,GEO3380-001,GEO3380,1,데이터베이스,3,3.0,전공선택,"화9,10,11,12,수4,5,6,7(4-336)",박수홍,절대평가, 
18,GEO4010-001,GEO4010,1,공간정보종합설계,4,3.0,전공필수,"화13,14,15,16,17,18(4-335)",최광열,절대평가,선수
19,GEO4212-001,GEO4212,1,지적측량,4,3.0,전공선택,"금1,2,3,4,5,6(4-320)",이정빈,상대평가, 
