,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,ACE9501-004,ACE9501,4,다학년 연구프로젝트 1,전체,1.0,전공선택,"화19,20(7-601)",김학일,절대평가,"영어,English"
1,ACE9501-005,ACE9501,5,다학년 연구프로젝트 1,전체,1.0,전공선택,"화19,20(60주년-612)","정대용,이선곤",Pass/Fail, 
2,ACE9503-004,ACE9503,4,다학년 연구프로젝트 3,전체,1.0,전공선택,"화19,20(7-601)",김학일,절대평가,"영어,English"
3,ACE9503-005,ACE9503,5,다학년 연구프로젝트 3,전체,1.0,전공선택,"화19,20(60주년-612)","정대용,이선곤",Pass/Fail, 
4,FVE2005-001,FVE2005,1,친환경차시스템공학개론,전체,3.0,전공선택,"화4,5,6,목4,5,6(60주년-710)",남찬진,상대평가, 
5,FVE2007-001,FVE2007,1,Python프로그래밍,전체,3.0,전공선택,"월1,2,3,4,수1,2,3,4(5남240)",류춘우,절대평가, 
6,FVE2010-001,FVE2010,1,미래자동차 디자인,전체,3.0,전공선택,"화16,17,18,19,20,21(60주년-507)",최지은,절대평가, 
7,FVE3002-001,FVE3002,1,자동제어,전체,3.0,전공선택,"월4,5,6,화1,2,3(하-224)",김광기,상대평가,"영어,English"
8,FVE3004-001,FVE3004,1,전자회로,전체,3.0,전공선택,"목13,14,15(하-224) /금1,2,3(하-132)",전재훈,상대평가, 
9,FVE3010-001,FVE3010,1,객체지향프로그래밍,전체,3.0,전공선택,"화13,14,15,16(하-228) /금4,5,6,7(6-326)",허혜선,절대평가, 
10,FVE3010-003,FVE3010,3,객체지향프로그래밍,전체,3.0,전공선택,"월5,6,7,8,수5,6,7,8(5남240)",류춘우,절대평가, 
11,FVE3011-001,FVE3011,1,자동차인공지능,전체,3.0,전공선택,"목1,2,3,4,5,6,7,8(5남240)",최학남,절대평가, 
12,FVE3015-001,FVE3015,1,마이크로프로세서응용,전체,3.0,전공선택,"목10,11,12,13,14,15(7-601)",류춘우,절대평가, 
13,FVE3016-001,FVE3016,1,자동차 배터리,전체,3.0,전공선택,"목13,14,15,16,17,18(60주년-710)",정도양,상대평가, 
14,FVE4002-006,FVE4002,6,캡스톤 디자인 1,전체,3.0,전공선택,"월23,24,25,26,27,28(하-632)",원종훈,Pass/Fail, 
15,FVE4014-001,FVE4014,1,모터이론및제어,전체,3.0,전공선택,"월13,14,15,16,17,18,19,20(60주년-610)",유지원,절대평가, 
16,FVE4018-001,FVE4018,1,자율주행PG응용,전체,3.0,전공선택,"화13,14,15,16,17,18(하-210)",원종훈,절대평가, 
17,FVE4027-001,FVE4027,1,자동차 사이버보안,전체,3.0,전공선택,"월17,18,19,20,21,22(7-601)",윤세욱,상대평가, 
18,FVE9001-001,FVE9001,1,알파프로젝트 1,전체,1.0,전공선택,"화19,20(7-601)",김학일,절대평가,"영어,English"
19,FVE9001-002,FVE9001,2,알파프로젝트 1,전체,1.0,전공선택,"화19,20(60주년-711)",권장우,절대평가,"영어,English"
20,FVE9001-003,FVE9001,3,알파프로젝트 1,전체,1.0,전공선택,"화19,20(60주년-712)",원종훈,Pass/Fail, 
21,FVE9001-004,FVE9001,4,알파프로젝트 1,전체,1.0,전공선택,"화19,20(60주년-107)",김광기,Pass/Fail, 
22,FVE9001-005,FVE9001,5,알파프로젝트 1,전체,1.0,전공선택,"화19,20(60주년-611)",심인욱,절대평가,"영어,English"
23,FVE9001-006,FVE9001,6,알파프로젝트 1,전체,1.0,전공선택,"화19,20(60주년-612)","정대용,이선곤",Pass/Fail, 
24,FVE9002-001,FVE9002,1,알파프로젝트 2,전체,1.0,전공선택,"화19,20(7-601)",김학일,절대평가,"영어,English"
25,FVE9002-002,FVE9002,2,알파프로젝트 2,전체,1.0,전공선택,"화19,20(60주년-711)",권장우,절대평가,"영어,English"
26,FVE9002-003,FVE9002,3,알파프로젝트 2,전체,1.0,전공선택,"화19,20(60주년-712)",원종훈,Pass/Fail, 
27,FVE9002-004,FVE9002,4,알파프로젝트 2,전체,1.0,전공선택,"화19,20(60주년-107)",김광기,Pass/Fail, 
28,FVE9002-006,FVE9002,6,알파프로젝트 2,전체,1.0,전공선택,"화19,20(60주년-612)","정대용,이선곤",Pass/Fail, 
29,FVE9003-003,FVE9003,3,알파프로젝트 3,전체,1.0,전공선택,"화19,20(60주년-712)",원종훈,Pass/Fail, 
30,FVE9003-004,FVE9003,4,알파프로젝트 3,전체,1.0,전공선택,"화19,20(60주년-107)",김광기,Pass/Fail, 
31,FVE9003-006,FVE9003,6,알파프로젝트 3,전체,1.0,전공선택,"화19,20(60주년-612)","정대용,이선곤",Pass/Fail, 
32,FVE4002-002,FVE4002,2,캡스톤 디자인 1,4,3.0,전공선택,"수23,24,25,26,27,28(하-631)",김대유,Pass/Fail, 
33,FVE4002-003,FVE4002,3,캡스톤 디자인 1,4,3.0,전공선택,"수23,24,25,26,27,28(하-616)",김광기,Pass/Fail, 
34,FVE4002-004,FVE4002,4,캡스톤 디자인 1,4,3.0,전공선택,"월23,24,25,26,27,28(하-630)",최길수,Pass/Fail, 
35,FVE4002-005,FVE4002,5,캡스톤 디자인 1,4,3.0,전공선택,"화23,24,25,26,27,28(송-121)",유지원,Pass/Fail, 
36,FVE4009-001,FVE4009,1,전동화파워트레인,4,3.0,전공선택,"화10,11,12,목10,11,12(60주년-710)",남찬진,상대평가, 
37,FVE4012-001,FVE4012,1,차량신호처리,4,3.0,전공선택,"수13,14,15,16,17,18(60주년-712)",심인욱,절대평가, 
