,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,BNF3104-001,BNF3104,1,20대를 위한 증권투자론,전체,3.0,전공선택,셀0(웹강의),이기환,상대평가, 
1,BNF4402-001,BNF4402,1,재테크설계,전체,3.0,전공선택,셀0(웹강의),이기환,상대평가, 
2,CBA1102-009,CBA1102,9,경영학원론,1,3.0,교양필수,"토1,2,3,4,5,6(60주년-710)",이재환,상대평가, 
3,CBA1102-010,CBA1102,10,경영학원론,1,3.0,교양필수,"토9,10,11,12,13,14(60주년-710)",양성문,상대평가, 
4,SIM1002-003,SIM1002,3,경영자료처리이론,1,3.0,교양필수,"토15,16,17,18,19,20(60주년-808)",김성희,절대평가, 
5,BNF1002-001,BNF1002,1,금융계량분석,2,3.0,교양필수,"수21,22,23,24,25,26(9-203)",손규현,절대평가, 
6,BNF2201-001,BNF2201,1,금융시장론,2,3.0,전공필수,"토15,16,17,18,19,20(60주년-101)",이기환,상대평가, 
7,BNF2303-001,BNF2303,1,회계원론,2,3.0,전공필수,"토9,10,11,12,13,14(60주년-808)",강경이,절대평가, 
8,BNF2303-002,BNF2303,2,회계원론,2,3.0,전공필수,"목21,22,23,24,25,26(5동116A)",강경이,절대평가, 
9,CBA1104-008,CBA1104,8,통계학,2,3.0,교양필수,"토1,2,3,4,5,6(6-326)",윤상진,상대평가, 
10,BNF3101-001,BNF3101,1,기업재무론,3,3.0,전공선택,"목21,22,23,24,25,26(M-306)",강재택,상대평가, 
11,BNF3103-001,BNF3103,1,국제재무론,3,3.0,전공선택,"토9,10,11,12,13,14(60주년-207)",이기환,상대평가, 
12,BNF3302-001,BNF3302,1,중급회계,3,3.0,전공선택,"토15,16,17,18,19,20(60주년-207)",강경이,상대평가, 
13,BNF3401-001,BNF3401,1,부동산금융의이해,3,3.0,전공선택,"토1,2,3,4,5,6(9-217)",강상선,상대평가, 
14,BNF9005-001,BNF9005,1,다학년 연구프로젝트 1,3,3.0,전공선택,"토21,22,23,24,25,26(M-303)",이기환,Pass/Fail, 
15,BNF9005-002,BNF9005,2,다학년 연구프로젝트 1,3,3.0,전공선택,"토21,22,23,24,25,26(M-322)",강재택,Pass/Fail, 
16,BNF4101-001,BNF4101,1,파생상품,4,3.0,전공선택,"화21,22,23,24,25,26(M-301)",이기환,상대평가, 
17,BNF4202-001,BNF4202,1,국제금융시장,4,3.0,전공선택,"토9,10,11,12,13,14(M-306)",강재택,상대평가, 
18,BNF4304-001,BNF4304,1,회계정보처리론,4,3.0,전공선택,"토1,2,3,4,5,6(M-203)",강경이,절대평가, 
19,BNF4501-001,BNF4501,1,서비스마케팅,4,3.0,전공선택,"토15,16,17,18,19,20(M-206)",성준현,상대평가, 
20,BNF9007-001,BNF9007,1,다학년 연구프로젝트 3,4,3.0,전공선택,"금21,22,23,24,25,26(M-306)",이기환,Pass/Fail, 
21,BNF9007-002,BNF9007,2,다학년 연구프로젝트 3,4,3.0,전공선택,"토21,22,23,24,25,26(9-203)",강경이,Pass/Fail, 
