,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,GEB1126-001,GEB1126,1,문제해결을 위한 글쓰기,1,3.0,교양필수,셀0(웹강의),류수연,상대평가, 
1,GEB1126-002,GEB1126,2,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월5,6,7,8(60주년-227)","강동호,이승희",상대평가, 
2,GEB1126-003,GEB1126,3,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월9,10,11,12(60주년-227)","강동호,이병국",상대평가, 
3,GEB1126-004,GEB1126,4,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월1,2,3,4(60주년-228)","강동호,이영수",상대평가, 
4,GEB1126-005,GEB1126,5,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월5,6,7,8(60주년-228)","강동호,이영수",상대평가, 
5,GEB1126-006,GEB1126,6,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월9,10,11,12(60주년-228)","강동호,김명임",상대평가, 
6,GEB1126-007,GEB1126,7,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월13,14,15,16(60주년-228)","강동호,김명임",상대평가, 
7,GEB1126-008,GEB1126,8,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월5,6,7,8(60주년-229)","윤인현,강동호",상대평가, 
8,GEB1126-009,GEB1126,9,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월9,10,11,12(60주년-229)","윤인현,강동호",상대평가, 
9,GEB1126-010,GEB1126,10,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월9,10,11,12(60주년-230)","강동호,김명인",상대평가, 
10,GEB1126-011,GEB1126,11,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월13,14,15,16(60주년-230)","강동호,김명인",상대평가, 
11,GEB1126-012,GEB1126,12,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월5,6,7,8(60주년-804)","도윤정,강동호",상대평가, 
