,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,GEE2008-001,GEE2008,1,영화 속의 법이야기,전체,3.0,교양선택,"화13,14,15,16,17,18(법전105)",이경규,상대평가,법학과목
1,GEE2023-001,GEE2023,1,뉴스 속의 법이야기,전체,3.0,교양선택,"화7,8,9,수7,8,9(법전126)",심영주,상대평가,법학과목
2,ILS1010-001,ILS1010,1,형법총론,전체,3.0,전공선택,"화7,8,9,금4,5,6(법전025)",최준혁,상대평가, 
3,ILS1012-001,ILS1012,1,상법개론,전체,3.0,전공선택,"화13,14,15,16,17,18(법전126)",박민우,상대평가, 
4,ILS1014-001,ILS1014,1,민사소송법,전체,3.0,전공선택,"월13,14,15,16,17,18(법전201)",김의석,상대평가, 
5,ILS1015-001,ILS1015,1,형사소송법,전체,3.0,전공선택,"수13,14,15,16,17,18(법전105)",심영주,상대평가, 
6,ILS1016-001,ILS1016,1,노동법,전체,3.0,전공선택,"월13,14,15,16,17,18(법전105)",김인재,상대평가, 
7,ILS1021-001,ILS1021,1,공공인재론,전체,3.0,전공필수,"목16,17,18,19,20,21(법전105)",정태욱,상대평가, 
8,ILS1025-001,ILS1025,1,헌법과 인권,전체,3.0,전공선택,"금4,5,6,7,8,9(법전126)",조창훈,상대평가, 
9,ILS1031-001,ILS1031,1,민법1(총칙 및 물권),전체,3.0,전공선택,"화13,14,15,목13,14,15(법전205)",임성권,상대평가, 
10,ILS1034-001,ILS1034,1,행정구제법,전체,3.0,전공선택,"화13,14,15,16,17,18(법전216)",김민배,상대평가, 
