,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,DET3021-002,DET3021,2,스마트웰니스디자인,전체,3.0,전공선택,"화16,17,18,19,20,21(60주년-904)",송지희,절대평가, 
1,DET1001-001,DET1001,1,그래픽디자인스튜디오,1,3.0,전공선택,"수1,2,3,4,5,6(60주년-904)",정하영,절대평가, 
2,DET1001-002,DET1001,2,그래픽디자인스튜디오,1,3.0,전공선택,"수10,11,12,13,14,15(60주년-904)",정하영,절대평가, 
3,DET1002-001,DET1002,1,디지털영상스튜디오,1,3.0,전공선택,"목4,5,6,7,8,9(5남137)",권인영,절대평가, 
4,DET1002-002,DET1002,2,디지털영상스튜디오,1,3.0,전공선택,"목13,14,15,16,17,18(5남137)",권인영,절대평가, 
5,DET1005-001,DET1005,1,기초선형대수,1,3.0,전공필수,"월19,20,21,22,23,24(60주년-908)",김종현,절대평가, 
6,DET1005-002,DET1005,2,기초선형대수,1,3.0,전공필수,"화1,2,3,4,5,6(60주년-908)",김종현,절대평가, 
7,DET1005-003,DET1005,3,기초선형대수,1,3.0,전공필수,"화10,11,12,13,14,15(60주년-908)",김종현,절대평가, 
8,DET1006-001,DET1006,1,H.O.S.T. 미디어 랩 1,1,1.0,전공선택,"화11,12(5남137)",성보경,Pass/Fail, 
9,DET1008-001,DET1008,1,H.O.S.T. 미디어 랩 3,1,1.0,전공선택,"화17,18(60주년-908)",김종현,Pass/Fail, 
10,CDN2111-001,CDN2111,1,스마트Eco디자인,2,3.0,전공선택,"목10,11,12,13,14,15(60주년-908)",김후석,절대평가, 
11,CDN2220-003,CDN2220,3,캐릭터디자인,2,3.0,전공선택,"금1,2,3,4,5,6(60주년-904)",박재옥,절대평가, 
12,CDN2220-004,CDN2220,4,캐릭터디자인,2,3.0,전공선택,"금10,11,12,13,14,15(60주년-904)",박재옥,절대평가, 
13,DET2001-001,DET2001,1,기초3D애니메이션,2,3.0,전공필수,"수1,2,3,4,5,6(60주년-908)",김윤정,절대평가, 
14,DET2001-002,DET2001,2,기초3D애니메이션,2,3.0,전공필수,"수10,11,12,13,14,15(60주년-908)",이완구,절대평가, 
15,DET2001-003,DET2001,3,기초3D애니메이션,2,3.0,전공필수,"수16,17,18,19,20,21(60주년-908)",이완구,절대평가, 
16,DET2003-001,DET2003,1,기술과 창의,2,3.0,전공선택,"월10,11,12,13,14,15(5남132)",한수지,절대평가, 
17,DET2006-001,DET2006,1,AR/VR 영상제작,2,3.0,전공선택,"월4,5,6,7,8,9(5남137)",김윤정,절대평가, 
18,DET2006-002,DET2006,2,AR/VR 영상제작,2,3.0,전공선택,"수1,2,3,4,5,6(5남137)",이완구,절대평가, 
19,DET2016-001,DET2016,1,IoT UX디자인,2,3.0,전공필수,"수10,11,12,13,14,15(5남132)",이덕찬,절대평가, 
20,DET2016-002,DET2016,2,IoT UX디자인,2,3.0,전공필수,"수16,17,18,19,20,21(5남132)",이덕찬,절대평가, 
21,DET2016-003,DET2016,3,IoT UX디자인,2,3.0,전공필수,"목19,20,21,22,23,24(5남132)",이덕찬,절대평가, 
22,DET3021-001,DET3021,1,스마트웰니스디자인,2,3.0,전공선택,"화10,11,12,13,14,15(60주년-904)",송지희,절대평가, 
23,DET3002-001,DET3002,1,게임 콘텐츠 기획,3,3.0,전공필수,"화4,5,6,7,8,9(5남137)",성보경,절대평가, 
24,DET3002-002,DET3002,2,게임 콘텐츠 기획,3,3.0,전공필수,"금1,2,3,4,5,6(5남137)",성보경,절대평가, 
25,DET3003-001,DET3003,1,디자인테크놀로지세미나,3,3.0,전공선택,"목16,17,18,19,20,21(60주년-908)",김후석,절대평가, 
26,DET3004-001,DET3004,1,디지털사운드디자인,3,3.0,전공선택,"목4,5,6,7,8,9(60주년-904)",이성훈,절대평가, 
27,DET3007-001,DET3007,1,3D 캐릭터 애니메이션,3,3.0,전공선택,"화16,17,18,19,20,21(5남137)",성보경,절대평가, 
28,DET3019-001,DET3019,1,게임프로그래밍,3,3.0,전공선택,"금13,14,15,16,17,18(5남137)",김종현,절대평가, 
29,DET3020-001,DET3020,1,컴퓨터그래픽스,3,3.0,전공선택,"월10,11,12,13,14,15(5남137)",김종현,절대평가, 
30,DET4001-001,DET4001,1,인터랙티브 게임디자인,4,3.0,전공선택,"수10,11,12,13,14,15(5남137)","김윤정,김종현",Pass/Fail, 
31,DET4003-001,DET4003,1,퓨처프러덕트 디자인,4,3.0,전공선택,"금13,14,15,16,17,18(60주년-908)","성보경,이덕찬",Pass/Fail, 
