,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,COM1100-001,COM1100,1,커뮤니케이션학개론,전체,3.0,전공필수,"금7,8,9,10,11,12(9-306)",성지연,상대평가, 
1,COM1100-002,COM1100,2,커뮤니케이션학개론,전체,3.0,전공필수,"수13,14,15,16,17,18(9-303)",김수연,상대평가, 
2,COM2200-001,COM2200,1,저널리즘개론,전체,3.0,전공필수,"금13,14,15,16,17,18(9-306)",성지연,상대평가, 
3,COM2300-001,COM2300,1,방송학개론,전체,3.0,전공필수,"금1,2,3,4,5,6(9-303)",김승월,상대평가, 
4,COM2300-002,COM2300,2,방송학개론,전체,3.0,전공필수,"금13,14,15,16,17,18(9-303)",심용운,상대평가, 
5,COM2400-001,COM2400,1,광고학개론,전체,3.0,전공필수,"목10,11,12(9-303) /금1,2,3(9-317)",문성준,상대평가, 
6,COM2400-002,COM2400,2,광고학개론,전체,3.0,전공필수,"화1,2,3,4,5,6(9-306)",박재항,상대평가, 
7,COM2432-001,COM2432,1,PR론,전체,3.0,전공선택,"목1,2,3,4,5,6(9-306)",홍순언,상대평가, 
8,COM2432-002,COM2432,2,PR론,전체,3.0,전공선택,"목13,14,15,16,17,18(9-306)",홍순언,상대평가, 
9,COM3104-001,COM3104,1,디지털저널리즘제작,전체,3.0,전공선택,"화7,8,9,10,11,12(9-303)",김수연,절대평가, 
10,COM3222-001,COM3222,1,미디어와 문화정책,전체,3.0,전공선택,"금7,8,9,10,11,12(9-303)",김지연,상대평가, 
11,COM3233-001,COM3233,1,글로벌 리더십 커뮤니케이션,전체,3.0,전공선택,"금1,2,3,4,5,6(9-306)",심민선,절대평가,"영어, English"
12,COM3323-001,COM3323,1,디지털콘텐츠제작,전체,3.0,전공선택,"수7,8,9,10,11,12(9-306)",최희진,절대평가, 
13,COM3331-001,COM3331,1,Media Narratives,전체,3.0,전공선택,"화7,8,9,목7,8,9(9-306)",호세다비드,절대평가,English
14,COM3341-001,COM3341,1,탐사저널리즘,전체,3.0,전공선택,"화4,5,6,목4,5,6(9-303)",박인규,상대평가, 
15,COM3414-001,COM3414,1,광고홍보전략론,전체,3.0,전공선택,"화13,14,15,16,17,18(9-303)",박재항,상대평가, 
16,COM3433-002,COM3433,2,판매촉진전략,전체,3.0,전공선택,"목7,8,9(9-303) /금4,5,6(9-317)",문성준,상대평가, 
17,COM4221-001,COM4221,1,언론정보법제론,전체,3.0,전공선택,"월4,5,6,수4,5,6(9-303)",하주용,상대평가, 
18,COM4231-001,COM4231,1,설득커뮤니케이션,전체,3.0,전공선택,"월13,14,15,16,17,18(9-317)",채정화,상대평가, 
19,COM4313-001,COM4313,1,방송뉴스시사심화실습,전체,3.0,전공선택,"수1,2,3,4,5,6(9-319)",최삼호,절대평가, 
20,COM4321-001,COM4321,1,Orientalism in Media & Culture,전체,3.0,전공선택,"화10,11,12,목10,11,12(9-306)",호세다비드,상대평가, 
21,SOS1103-001,SOS1103,1,미디어와 현대사회,전체,3.0,교양필수,"월7,8,9,수7,8,9(9-303)",하주용,상대평가, 
22,SOS1103-002,SOS1103,2,미디어와 현대사회,전체,3.0,교양필수,"수13,14,15,16,17,18(9-306)",김영환,상대평가, 
23,SOS1103-003,SOS1103,3,미디어와 현대사회,전체,3.0,교양필수,"목13,14,15,16,17,18(9-303)",김영환,상대평가, 
24,COM2351-001,COM2351,1,영상기획,2,3.0,전공선택,"화10,11,12,목10,11,12(9-319)",박인규,절대평가, 
25,COM4211-001,COM4211,1,미디어경영론,3,3.0,전공선택,"금7,8,9,10,11,12(9-504)",김대호,상대평가, 
26,COM4411-001,COM4411,1,소비자행동론,3,3.0,전공선택,"월13,14,15,16,17,18(9-303)",김상훈,상대평가, 
