,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,SOS1111-001,SOS1111,1,사회복지학개론,1,3.0,교양필수,"월4,5,6,목4,5,6(9-505)",윤홍식,상대평가, 
1,SWE1102-001,SWE1102,1,인간행동과 사회환경,1,3.0,전공필수,"월13,14,15,16,17,18(9-306)",김용진,상대평가, 
2,SWE2105-001,SWE2105,1,사회복지법제와 실천,2,3.0,전공필수,"월4,5,6,목4,5,6(9-504)",이재원,상대평가, 
3,SWE2106-001,SWE2106,1,지역사회복지론,2,3.0,전공필수,"수1,2,3,4,5,6,7,8(60주년-507)",김승수,절대평가, 
4,SWE2207-001,SWE2207,1,사회복지와 인권,2,3.0,전공선택,"화1,2,3,4,5,6(6-427)",황순찬,상대평가, 
5,SWE3101-001,SWE3101,1,사회복지실천기술론,3,3.0,전공필수,"월1,2,3,목1,2,3(9-504)",유창민,절대평가,선수
6,SWE3102-001,SWE3102,1,사회복지현장실습,3,3.0,전공필수,"목13,14,15,16,17,18(9-504)",유창민,절대평가, 
7,SWE3103-001,SWE3103,1,사회복지행정론,3,3.0,전공필수,"월10,11,12,목10,11,12(9-504)",이재원,상대평가, 
8,SWE3202-001,SWE3202,1,아동복지론,3,3.0,전공선택,"월13,14,15,16,17,18(9-504)",이충권,상대평가, 
9,SWE3205-001,SWE3205,1,노인복지론,3,3.0,전공선택,"수13,14,15,16,17,18(M-301)",정락여,상대평가, 
10,SWE3206-001,SWE3206,1,의료사회복지론,3,3.0,전공선택,"화13,14,15,16,17,18(9-504)",김현희,상대평가, 
11,SWE3207-001,SWE3207,1,프로그램 개발과 평가,3,3.0,전공선택,"월4,5,6,7,목4,5,6,7(6-427)","이충권,이재원",절대평가, 
12,SWE4103-001,SWE4103,1,사회복지역사,4,3.0,전공필수,"월10,11,12,목10,11,12(9-505)",윤홍식,상대평가, 
13,SWE4201-001,SWE4201,1,자원봉사론,4,3.0,전공선택,"수13,14,15,16,17,18(M-206)",김승수,절대평가, 
14,SWE4206-001,SWE4206,1,정신건강사회복지론,4,3.0,전공선택,"화13,14,15,16,17,18(60주년-606)",황순찬,상대평가, 
