,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,BTE1101-001,BTE1101,1,생명공학도를 위한 일반생물학,1,3.0,교양필수,"화10,11,12(60주년-108) /목13,14,15(2동256)",김현진,상대평가, 
1,BTE1101-002,BTE1101,2,생명공학도를 위한 일반생물학,1,3.0,교양필수,"화16,17,18(2동256) /목16,17,18(60주년-207)",김현진,상대평가, 
2,CHM1021-004,CHM1021,4,화학 1,1,3.0,교양필수,"월1,2,3,수4,5,6(5동507)",조경철,상대평가, 
3,CHM1028-004,CHM1028,4,화학실험 1,1,1.0,교양필수,"수13,14,15,16(5동510)",최영식,절대평가, 
4,MTH1001-012,MTH1001,12,일반수학 1,1,3.0,교양필수,"화7,8,9,목7,8,9(5동107B)",유자도,상대평가, 
5,PHY1001-012,PHY1001,12,물리학 1,1,3.0,교양필수,"월4,5,6,수1,2,3(5동406)",김민수,상대평가, 
6,PHY1003-012,PHY1003,12,물리학실험 1,1,1.0,교양필수,"목1,2,3,4(5동315)",정종훈,절대평가, 
7,ACE2101-009,ACE2101,9,공업수학 1,2,3.0,교양필수,"월1,2,3,수1,2,3(2동256)",허윤석,상대평가,선수
8,ACE2101-010,ACE2101,10,공업수학 1,2,3.0,교양필수,"수7,8,9(2동252) /목10,11,12(2동256)",김민식,상대평가,선수
9,BTE1201-001,BTE1201,1,창의적생명공학설계,2,3.0,전공필수,"화1,2,3,4,5,6(2동252)",양윤정,Pass/Fail, 
10,BTE1201-002,BTE1201,2,창의적생명공학설계,2,3.0,전공필수,"목1,2,3,4,5,6(2동256)",김민식,Pass/Fail, 
11,BTE2101-001,BTE2101,1,유기화학 1,2,3.0,전공필수,"수16,17,18,목7,8,9(2동256)",임현규,절대평가,"영어,English,선수"
12,BTE2102-001,BTE2102,1,물리화학,2,3.0,전공필수,"화7,8,9,금7,8,9(2동256)",부지윤,상대평가, 
13,BTE2102-002,BTE2102,2,물리화학,2,3.0,전공필수,"화13,14,15,금13,14,15(2동256)",부지윤,상대평가, 
14,BTE2105-001,BTE2105,1,미생물학,2,3.0,전공필수,"월4,5,6,수4,5,6(2동252)","김응수,임현규",상대평가,선수
15,BTE2105-002,BTE2105,2,미생물학,2,3.0,전공필수,"월10,11,12,수10,11,12(2동252)","김응수,임현규",상대평가,선수
16,BTE3101-001,BTE3101,1,생물화학공학,3,3.0,전공필수,"월16,17,18(2동252) /화4,5,6(2동256)",신화성,상대평가,선수
17,BTE3101-002,BTE3101,2,생물화학공학,3,3.0,전공필수,"월10,11,12,화1,2,3(2동256)",백영빈,절대평가,"영어,English,선수"
18,BTE3110-001,BTE3110,1,생물공학실험 1,3,2.0,전공필수,"화13,14,15,16(4-111) /화17,18(C-104) /화19,20(C-106)",백종윤,절대평가,선수
19,BTE3110-002,BTE3110,2,생물공학실험 1,3,2.0,전공필수,"목13,14,15,16(4-111) /목17,18(C-104) /목19,20(C-106)",백종윤,절대평가,선수
20,BTE3110-003,BTE3110,3,생물공학실험 1,3,2.0,전공필수,"금1,2,3,4(4-111) /금5,6(C-104) /금7,8(C-106)",임현규,절대평가,선수
21,BTE3112-001,BTE3112,1,생물반응공학,3,3.0,전공선택,"화10,11,12,수16,17,18(2동252)",권순조,절대평가,"영어,English"
22,BTE3113-001,BTE3113,1,단백질공학,3,3.0,전공선택,"화13,14,15,16,17,18(2북465)",양윤정,절대평가,"영어,English"
23,BTE3205-001,BTE3205,1,유전공학,3,3.0,전공선택,"월13,14,15,수13,14,15(2동256)",김응수,상대평가, 
24,BTE4101-001,BTE4101,1,생물정보학 및 실습,3,3.0,전공선택,"월4,5,6,7(2동256) /수1,2,3,4(6-326)",홍성주,절대평가,선수
25,BTE4101-002,BTE4101,2,생물정보학 및 실습,3,3.0,전공선택,"월4,5,6,7(2동256) /수7,8,9,10(6-326)",홍성주,절대평가,선수
26,ACE1301-009,ACE1301,9,정보사회와컴퓨터,4,3.0,교양필수,"금10,11(2동256) /금12,13,14,15(2북465)",이윤정,절대평가, 
27,BTE3109-001,BTE3109,1,세포배양공학,4,3.0,전공선택,"월16,17,18,수4,5,6(2동256)",백종윤,절대평가,"영어,English"
28,BTE4103-001,BTE4103,1,세포생물학,4,3.0,전공선택,"화13,14,15,16,17,18(2동252)",김동일,상대평가, 
29,BTE4201-001,BTE4201,1,생명공학종합설계,4,3.0,전공필수,"목19,20,21,22,23,24(2동252)",정우진,Pass/Fail,선수
30,BTE4205-001,BTE4205,1,생체재료공학,4,3.0,전공선택,"목10,11,12,금7,8,9(2동252)",정우진,상대평가, 
31,BTE4206-001,BTE4206,1,바이오산업현장개론,4,2.0,전공선택,"수9,10,11,12(2동256)",허윤석,Pass/Fail, 
32,BTE4209-001,BTE4209,1,조직공학,4,3.0,전공선택,"월13,14,15,수13,14,15(2동252)",권순조,절대평가,"영어,English"
