,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,CON1001-001,CON1001,1,소비자와 시장경제,1,3.0,전공필수,"화7,8,9,수7,8,9(9-505)",이종희,상대평가, 
1,CON1301-001,CON1301,1,미래테크놀로지와소비생활,1,3.0,전공선택,"월1,2,3(9-505) /수4,5,6(9-504)",여정희,상대평가, 
2,CON2202-001,CON2202,1,가계위험관리와 보험,2,3.0,전공선택,"수13,14,15,목13,14,15(9-505)",정용주,상대평가, 
3,CON2203-001,CON2203,1,소비자재무설계,2,3.0,전공선택,"화4,5,6,수4,5,6(9-505)",이종희,상대평가, 
4,CON2403-001,CON2403,1,소비자의사결정,2,3.0,전공선택,"월10,11,12(9-203) /수10,11,12(9-217)",이은희,상대평가, 
5,CON2407-001,CON2407,1,소비콘텐츠 영상제작,2,3.0,전공선택,"금7,8,9,10,11,12,13,14(6-426)",김지혜,절대평가, 
6,CON2602-001,CON2602,1,소비트렌드분석,2,3.0,전공선택,"목1,2,3,4,5,6(9-602)",여정희,상대평가, 
7,SOS1110-001,SOS1110,1,커리어와창업설계,2,3.0,교양필수,"목10,11,12(9-203) /금4,5,6(6-426)",김지혜,상대평가, 
8,CON3103-001,CON3103,1,소비자 데이터베이스의 이해와 실무,3,3.0,전공선택,"수7,8,9(9-406) /목7,8,9(9-504)",정용주,상대평가, 
9,CON3402-001,CON3402,1,소비자교육,3,3.0,전공선택,"수13,14,15,16,17,18(7-614)",조홍제,상대평가, 
10,CON3501-001,CON3501,1,소비자분쟁해결 기초,3,3.0,전공선택,"목13,14,15,16,17,18(7-614)",이호규,상대평가, 
11,CON3605-001,CON3605,1,소비자와 상품기획 및 관리,3,3.0,전공선택,"화13,14,15,16,17,18(7-614)",황진주,상대평가, 
12,CON3607-001,CON3607,1,소비자정량분석 및 실습,3,3.0,전공필수,"금13,14,15,16,17,18,19,20(9-501)",조향숙,절대평가, 
13,CON4004-001,CON4004,1,소비자학 논문설계 및 작성,4,3.0,전공선택,"수1,2,3,4,5,6(9-501)",조향숙,상대평가, 
14,CON4004-002,CON4004,2,소비자학 논문설계 및 작성,4,3.0,전공선택,"금1,2,3,4,5,6(9-501)",조향숙,상대평가, 
15,CON4111-001,CON4111,1,행동재무학,4,3.0,전공선택,"금13,14,15,16,17,18(9-504)",장경영,상대평가, 
16,CON4201-001,CON4201,1,세금설계,4,3.0,전공선택,"화1,2,3,4,5,6(9-317)",양재영,상대평가, 
17,CON4301-001,CON4301,1,소비자와 미디어,4,3.0,전공선택,"목13,14,15,16,17,18(60주년-610)",황진주,상대평가, 
18,CON4302-001,CON4302,1,소비자빅데이터분석,4,3.0,전공선택,"금7,8,9,10,11,12(9-501)",정지영,상대평가, 
19,CON4304-001,CON4304,1,소비자만족과 소비자중심경영,4,3.0,전공선택,"월13,14,15,수13,14,15(9-217)",심상훈,상대평가, 
20,CON4604-001,CON4604,1,공유경제와 소비자,4,3.0,전공선택,"월7,8,9,수7,8,9(9-504)",여정희,상대평가, 
