,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,ITC2203-001,ITC2203,1,인터넷프로그래밍,전체,3.0,전공선택,"월21,22,23(9-203) /토9,10,11(5남238)",차상진,절대평가, 
1,ITC2203-002,ITC2203,2,인터넷프로그래밍,전체,3.0,전공선택,"월24,25,26(9-203) /토12,13,14(5남238)",차상진,절대평가, 
2,ITC1201-001,ITC1201,1,컴퓨터공학기초,1,3.0,전공필수,"월21,22,23(M-303) /토1,2,3(60주년-809)",남춘성,절대평가, 
3,ITC1201-002,ITC1201,2,컴퓨터공학기초,1,3.0,전공필수,"월24,25,26(M-303) /토4,5,6(60주년-809)",남춘성,절대평가, 
4,ITC1207-001,ITC1207,1,프로그래밍 기초,1,3.0,전공선택,"월21,22,23(M-206) /토1,2,3(60주년-808)",김종훈,절대평가, 
5,ITC1207-002,ITC1207,2,프로그래밍 기초,1,3.0,전공선택,"월24,25,26(M-206) /토4,5,6(60주년-808)",김종훈,절대평가, 
6,MTH1001-038,MTH1001,38,일반수학 1,1,3.0,교양필수,"토9,10,11,12,13,14(M-322)",박승보,상대평가, 
7,ACE1312-001,ACE1312,1,이산수학,2,3.0,교양필수,"화21,22,23,24,25,26(9-203)",최성용,상대평가, 
8,ITC1206-001,ITC1206,1,객체지향프로그래밍 2,2,3.0,전공선택,"금18,19,20(M-301) /토12,13,14(5남240)",김종훈,절대평가, 
9,ITC2207-001,ITC2207,1,C언어응용,2,3.0,전공필수,"월21,22,23(M-306) /토15,16,17(5동116A)",김태간,절대평가, 
10,ITC2207-002,ITC2207,2,C언어응용,2,3.0,전공필수,"월24,25,26(M-306) /토18,19,20(5동116A)",김태간,절대평가, 
11,ITC3407-001,ITC3407,1,데이터베이스,2,3.0,전공선택,"수21,22,23(M-206) /토15,16,17(5남240)",김종훈,상대평가, 
12,ITC3407-002,ITC3407,2,데이터베이스,2,3.0,전공선택,"수24,25,26(M-206) /토18,19,20(5남240)",김종훈,상대평가, 
13,ITC4402-001,ITC4402,1,컴퓨터 그래픽스 활용,2,3.0,전공선택,"토1,2,3,4,5,6(M-322)",박승보,절대평가, 
14,ACE2104-002,ACE2104,2,통계학,3,3.0,교양필수,"토1,2,3,4,5,6(9-203)",최성용,상대평가, 
15,ITC3211-001,ITC3211,1,IoT프로그래밍,3,3.0,전공선택,"토15,16,17,18,19,20(M-203)",박승보,절대평가, 
16,ITC3402-001,ITC3402,1,오퍼레이팅시스템,3,3.0,전공선택,"토15,16,17,18,19,20(9-403)",성낙현,상대평가, 
17,ITC3601-001,ITC3601,1,소프트웨어공학,3,3.0,전공선택,"토9,10,11,12,13,14(5동116A)",김태간,상대평가, 
18,ITC4611-001,ITC4611,1,인공지능,3,3.0,전공선택,"목21,22,23,24,25,26(M-303)",박승보,절대평가, 
19,ITC9005-001,ITC9005,1,SW융합프로젝트1,3,3.0,전공선택,"토21,22,23,24,25,26(M-205)",김종훈,Pass/Fail, 
20,ITC9005-002,ITC9005,2,SW융합프로젝트1,3,3.0,전공선택,"토21,22,23,24,25,26(M-206)",남춘성,Pass/Fail, 
21,ITC9005-003,ITC9005,3,SW융합프로젝트1,3,3.0,전공선택,"토21,22,23,24,25,26(9-217)",최성용,Pass/Fail, 
22,ITC4056-001,ITC4056,1,클라이언트프로그래밍,4,3.0,전공선택,"토1,2,3,4,5,6(2북465)",조향덕,절대평가, 
23,ITC4604-001,ITC4604,1,HCI,4,3.0,전공선택,"토9,10,11,12,13,14(6-326)",남춘성,절대평가, 
24,ITC4604-002,ITC4604,2,HCI,4,3.0,전공선택,"목21,22,23,24,25,26(60주년-809)",남춘성,절대평가, 
25,ITC4616-001,ITC4616,1,AI임베디드컴퓨팅,4,3.0,전공선택,"토9,10,11,12,13,14(9-217)",성낙현,절대평가, 
26,ITC4618-001,ITC4618,1,기계학습,4,3.0,전공선택,"토15,16,17,18,19,20(M-303)",최성용,절대평가, 
27,ITC9003-001,ITC9003,1,SW융합프로젝트3,4,3.0,전공선택,"금21,22,23,24,25,26(M-205)",박승보,Pass/Fail, 
28,ITC9003-002,ITC9003,2,SW융합프로젝트3,4,3.0,전공선택,"금21,22,23,24,25,26(M-206)",김종훈,Pass/Fail, 
29,ITC9003-003,ITC9003,3,SW융합프로젝트3,4,3.0,전공선택,"금21,22,23,24,25,26(M-301)",남춘성,Pass/Fail, 
