,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,ARS1104-001,ARS1104,1,파워바디플랜,전체,3.0,교양필수,"수1,2,3,4,5,6(5동111)",송정란,절대평가, 
1,KIN1014-001,KIN1014,1,스포츠산업론,전체,3.0,전공선택,"화13,14,15,16,17,18(5서560B)",고은하,상대평가, 
2,KIN3208-001,KIN3208,1,스포츠마케팅,전체,3.0,전공선택,"목1,2,3,4,5,6(5서556)",박찬민,상대평가, 
3,KIN1001-001,KIN1001,1,스포츠과학개론,1,3.0,전공필수,"화1,2,3,4,5,6(5남333)","김민규,성종훈",상대평가, 
4,KIN1017-001,KIN1017,1,인체기능해부학,1,3.0,전공필수,"수1,2,3,4,5,6(5서556)",성종훈,절대평가,"영어, English"
5,KIN1018-001,KIN1018,1,수영,1,1.0,전공선택,"금9,10,11,12(5남225A)",서정은,절대평가, 
6,KIN1002-001,KIN1002,1,여가학,2,3.0,전공필수,"목4,5,6,7,8,9(5동116A)",박수정,상대평가, 
7,KIN1002-002,KIN1002,2,여가학,2,3.0,전공필수,"목13,14,15,16,17,18(5동116A)","박수정,윤채빈",상대평가, 
8,KIN2020-001,KIN2020,1,하계스포츠세미나,2,2.0,전공선택,"월19,20,21,22,23,24(5서556)",박동호,절대평가, 
9,KIN2020-002,KIN2020,2,하계스포츠세미나,2,2.0,전공선택,"화19,20,21,22,23,24(5서556)",박수정,절대평가, 
10,KIN2020-003,KIN2020,3,하계스포츠세미나,2,2.0,전공선택,"수19,20,21,22,23,24(5서556)",곽효범,절대평가, 
11,KIN2020-004,KIN2020,4,하계스포츠세미나,2,2.0,전공선택,"목19,20,21,22,23,24(5서560B)",박찬민,절대평가, 
12,KIN2103-001,KIN2103,1,운동생리학,2,3.0,전공필수,"화1,2,3,4,5,6(5서556)",곽효범,절대평가,"영어, English"
13,KIN3001-001,KIN3001,1,스포츠사회학,2,3.0,전공필수,"월13,14,15,16,17,18(5서556)",김우성,상대평가, 
14,KIN1101-001,KIN1101,1,발육발달및노화,3,3.0,전공선택,"수1,2,3,4,5,6(5서560B)",곽효범,절대평가,"영어, English"
15,KIN3007-001,KIN3007,1,웨이트트레이닝,3,1.0,전공선택,"목17,18,19,20(5서160)",노성환,절대평가, 
16,KIN3019-001,KIN3019,1,골프,3,1.0,전공선택,"화3,4,5,6(5남225A)",박동호,절대평가, 
17,KIN3019-002,KIN3019,2,골프,3,1.0,전공선택,"월13,14,15,16(5남225A)",박찬민,절대평가, 
18,KIN3019-003,KIN3019,3,골프,3,1.0,전공선택,"화3,4,5,6(5서560B)","박수정,서호정",상대평가, 
19,KIN3101-001,KIN3101,1,트레이닝방법론,3,3.0,전공선택,"화13,14,15,16,17,18(5서556)",박동호,상대평가, 
20,KIN3107-001,KIN3107,1,운동상해및테이핑,3,3.0,전공선택,"금13,14,15,16,17,18(5남225A)",김형철,절대평가, 
21,KIN3115-001,KIN3115,1,운동손상학,3,3.0,전공선택,"수10,11,12,13,14,15,16,17(5서556)",성종훈,절대평가,"영어, English"
22,KIN3216-001,KIN3216,1,실버스포츠지도론,3,3.0,전공선택,"월1,2,3,4,5,6,7,8(5서560B)",서정은,절대평가, 
23,KIN3016-001,KIN3016,1,스포츠전문영어,4,2.0,전공선택,"금10,11,12,13(5서556)",크리스틀,절대평가,English
24,KIN3212-001,KIN3212,1,해양레저관광론,4,3.0,전공선택,"수1,2,3,4,5,6(5남333)",김민규,상대평가, 
25,KIN4104-001,KIN4104,1,운동치료방법론,4,3.0,전공선택,"화13,14,15,16,17,18(5남333)",성종훈,상대평가, 
26,KIN4208-001,KIN4208,1,스포츠판례연구,4,3.0,전공선택,"월1,2,3,4,5,6(5서556)",박찬민,상대평가, 
27,KIN4209-001,KIN4209,1,융합스포츠정책론,4,2.0,전공선택,"목1,2,3,4(5서560B)",김민규,절대평가, 
28,KIN4210-001,KIN4210,1,스포츠와IoT,4,3.0,전공선택,"수9,10,11,12,13,14,15,16(5서560B)",김민규,절대평가, 
