,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,APL2101-001,APL2101,1,물류관리론,전체,3.0,전공필수,"화4,5,6,목4,5,6(9-006)",김화중,상대평가, 
1,APL2101-002,APL2101,2,물류관리론,전체,3.0,전공필수,"화13,14,15,목13,14,15(9-101)",정호상,상대평가, 
2,APL2103-001,APL2103,1,국제물류론,전체,3.0,전공필수,"월10,11,12,수10,11,12(6-624)",정해영,상대평가, 
3,APL2103-002,APL2103,2,국제물류론,전체,3.0,전공필수,"월13,14,15,16,17,18(9-101)",장영태,절대평가,"영어,English"
4,APL2105-001,APL2105,1,Business English 1,전체,3.0,전공필수,"월1,2,3,수1,2,3(9-003)",제임스패턴,상대평가,English
5,APL2105-002,APL2105,2,Business English 1,전체,3.0,전공필수,"월4,5,6,수4,5,6(9-003)",제임스패턴,상대평가,English
6,APL2106-001,APL2106,1,Business English 2,전체,3.0,전공필수,"화1,2,3,목1,2,3(9-003)",제임스패턴,상대평가,English
7,APL2106-002,APL2106,2,Business English 2,전체,3.0,전공필수,"화4,5,6,목4,5,6(9-003)",제임스패턴,상대평가,English
8,APL2207-001,APL2207,1,물류회계,전체,3.0,전공선택,"화10,11,12,목10,11,12(9-003)",이재형,절대평가,"영어,English"
9,APL2207-002,APL2207,2,물류회계,전체,3.0,전공선택,"화7,8,9,목7,8,9(9-003)",이재형,절대평가,"영어, English"
10,APL2301-001,APL2301,1,화물운송론,전체,3.0,전공선택,"화4,5,6,목4,5,6(9-101)",박민영,상대평가, 
11,APL2302-001,APL2302,1,물류의사결정론,전체,3.0,전공선택,"월4,5,6,수4,5,6(9-101)",김용진,절대평가,"영어,English"
12,APL2404-001,APL2404,1,해상운송론,전체,3.0,전공선택,"화16,17,18,목16,17,18(9-101)",이상윤,상대평가, 
13,APL2406-001,APL2406,1,항공물류론,전체,3.0,전공선택,"월10,11,12,수10,11,12(9-101)",박용화,상대평가, 
14,APL2501-001,APL2501,1,물류계량분석,전체,3.0,전공선택,"월10,11,12,수10,11,12(9-206)",김태승,절대평가, 
15,APL2502-001,APL2502,1,물류법의 이해,전체,3.0,전공선택,"월16,17,18,19,20,21(9-206)",김린,상대평가, 
16,APL3307-001,APL3307,1,보관하역론,전체,3.0,전공선택,"화10,11,12,목10,11,12(9-006)",임현우,절대평가,"영어,English"
17,APL3413-001,APL3413,1,공항경영론,전체,3.0,전공선택,"월4,5,6,수4,5,6(9-602)",박용화,절대평가, 
18,APL4226-001,APL4226,1,물류AI프로그래밍,전체,3.0,전공선택,"화4,5,6,7,목4,5,6,7(9-012)",남대식,절대평가, 
19,APL4418-001,APL4418,1,국제복합운송,전체,3.0,전공선택,"목1,2,3,4,5,6(9-206)",김종철,절대평가,"영어,English GLOBA전용"
20,APL4517-001,APL4517,1,수요예측,전체,3.0,전공선택,"화10,11,12,13,14,15(9-012)",유성용,절대평가,"영어,English"
21,BUS3203-002,BUS3203,2,경영전략,전체,3.0,전공선택,"화13,14,15,16,17,18(9-208)",박기찬,상대평가, 
22,APL1101-001,APL1101,1,물류학의 이해,1,3.0,교양필수,"화10,11,12,목10,11,12(9-101)",권오경,상대평가, 
23,APL1101-002,APL1101,2,물류학의 이해,1,3.0,교양필수,"월13,14,15,수13,14,15(9-003)",김대진,상대평가, 
24,APL1104-001,APL1104,1,통계학의 이해 1,1,3.0,교양필수,"월4,5,6,수4,5,6(9-006)",황태성,상대평가, 
25,APL1104-002,APL1104,2,통계학의 이해 1,1,3.0,교양필수,"금13,14,15,16,17,18(9-101)",현기순,상대평가, 
26,APL1106-001,APL1106,1,물류수학,1,3.0,교양필수,"월10,11,12,수10,11,12(9-006)",임현우,상대평가, 
27,APL1106-002,APL1106,2,물류수학,1,3.0,교양필수,"월10,11,12,수10,11,12(9-003)",김대진,상대평가, 
28,CBA1102-007,CBA1102,7,경영학원론,1,3.0,교양필수,"금1,2,3,4,5,6(9-101)",김칭우,상대평가, 
29,APL4003-001,APL4003,1,GLOBA 논문 연구 2,4,3.0,전공선택,"화1,2,3,4,5,6(9-208)","하헌구,김종철",절대평가,"영어,English GLOBA전용"
30,APL4321-001,APL4321,1,물류비즈니스모델링,4,3.0,전공선택,"수1,2,3,4,5,6(9-010)",김종철,절대평가,"영어, English"
