,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,ENG2304-001,ENG2304,1,영어발음클리닉,전체,3.0,전공선택,"화10,11,12,수10,11,12(5남515)",홍순현,상대평가, 
1,HUM1001-004,HUM1001,4,언어의 이해,전체,3.0,교양필수,"화4,5,6,목4,5,6(5남515)",한승훈,상대평가, 
2,HUM1002-003,HUM1002,3,문학의 이해,전체,3.0,교양필수,"화13,14,15,목10,11,12(5남515)",엄재덕,상대평가, 
3,ENG1401-001,ENG1401,1,영어토론과프레젠테이션,1,3.0,전공필수,"월7,8,9,수7,8,9(5남403)",홍성산,절대평가,English
4,ENG1401-002,ENG1401,2,영어토론과프레젠테이션,1,3.0,전공필수,"월10,11,12,수10,11,12(5남403)",홍성산,절대평가,English
5,ENG1401-003,ENG1401,3,영어토론과프레젠테이션,1,3.0,전공필수,"월7,8,9(5남515) /화7,8,9(5남403)",조던,절대평가,English
6,ENG1401-004,ENG1401,4,영어토론과프레젠테이션,1,3.0,전공필수,"월13,14,15(5남515) /화13,14,15(5남403)",조던,절대평가,English
7,ENG1402-001,ENG1402,1,영문학개론,1,3.0,전공필수,"월4,5,6(5남515) /수4,5,6(5남451)",김의영,절대평가, 
8,ENG2201-001,ENG2201,1,영어학개론,2,3.0,전공필수,"화16,17,18,목16,17,18(5남451)",홍순현,상대평가, 
9,ENG2201-002,ENG2201,2,영어학개론,2,3.0,전공필수,"수16,17,18(5남403) /목13,14,15(5남451)",홍순현,절대평가,"영어,English"
10,ENG2203-001,ENG2203,1,영문법,2,3.0,전공선택,"월4,5,6(5남451) /화7,8,9(5남515)",한승훈,상대평가, 
11,ENG2204-001,ENG2204,1,영어독해의 이론과 실제,2,3.0,전공선택,"월13,14,15,16,17,18(5남451)",한승훈,상대평가, 
12,ENG2303-001,ENG2303,1,기술영어글쓰기,2,3.0,전공필수,"월13,14,15(5남532) /수13,14,15(5남451)",맥키,절대평가,English
13,ENG2303-002,ENG2303,2,기술영어글쓰기,2,3.0,전공필수,"월10,11,12(5남515) /화10,11,12(5남403)",조던,절대평가,English
14,ENG2305-001,ENG2305,1,문화연구개론,2,3.0,전공선택,"화1,2,3,목1,2,3(5남451)",유영종,상대평가, 
15,ENG2401-001,ENG2401,1,표현영어글쓰기,2,3.0,전공선택,"월13,14,15,수13,14,15(5남403)",홍성산,절대평가,English
16,ENG2401-002,ENG2401,2,표현영어글쓰기,2,3.0,전공선택,"화7,8,9,목7,8,9(5남451)",맥키,절대평가,English
17,ENG2402-001,ENG2402,1,영문학고전읽기,2,3.0,전공선택,"수13,14,15,목13,14,15(5남515)",김종석,상대평가, 
18,ENG3009-001,ENG3009,1,번역의 이론과 실제,3,3.0,전공선택,"금10,11,12,13,14,15(5남515)",정회성,상대평가, 
19,ENG3106-001,ENG3106,1,영국문학개관 1,3,3.0,전공선택,"화10,11,12,수10,11,12(5남451)",강지수,상대평가, 
20,ENG3108-001,ENG3108,1,미국문학개관 1,3,3.0,전공선택,"화4,5,6,목4,5,6(5남451)",유영종,상대평가, 
21,ENG3314-001,ENG3314,1,영미소설,3,3.0,전공선택,"월10,11,12(5남451) /목4,5,6(5남403)",김종석,상대평가, 
22,ENG3401-001,ENG3401,1,영미공연예술과 미디어,3,3.0,전공선택,"화4,5,6,목4,5,6(5동102)",김의영,상대평가, 
23,ENG3404-001,ENG3404,1,고급영어토론과프레젠테이션,3,3.0,전공선택,"화13,14,15(5남451) /목13,14,15(5남403)",맥키,절대평가,English
24,ENG3405-001,ENG3405,1,영국역사와문화,3,3.0,전공선택,"월4,5,6(5남403) /수4,5,6(5남515)",김종석,상대평가, 
25,ENG3407-001,ENG3407,1,숏폼스토리텔링,3,3.0,전공선택,"수10,11,12(5동102) /목13,14,15(5남532)",조성경,절대평가, 
26,ENG4304-001,ENG4304,1,미국다문화의 이해,4,3.0,전공선택,"화1,2,3,목1,2,3(5남515)",김의영,상대평가, 
27,ENG4305-001,ENG4305,1,영미시,4,3.0,전공선택,"화16,17,18,목7,8,9(5남515)",엄재덕,상대평가, 
28,ENG4402-001,ENG4402,1,글로벌 셰익스피어,4,3.0,전공선택,"화4,5,6,수4,5,6(5남403)",강지수,절대평가,"영어,English"
29,ENG4403-001,ENG4403,1,디지털미디어서사연구,4,3.0,전공선택,"수16,17,18(5남451) /목16,17,18(5남517)",조성경,절대평가,"영어,English"
