,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,EEE1001-001,EEE1001,1,창의적 전기공학설계,전체,3.0,전공필수,"화10,11,12,수10,11,12(하-601)",이천,상대평가, 
1,EEE1001-002,EEE1001,2,창의적 전기공학설계,전체,3.0,전공필수,"금4,5,6,7,8,9(하-601)",신영균,상대평가, 
2,EEE3113-001,EEE3113,1,모터제어,전체,3.0,전공선택,"금13,14,15,16,17,18(하-132)",신영균,상대평가,바쿠대학 학생만 수강
3,ACE1302-001,ACE1302,1,컴퓨터프로그래밍,1,3.0,교양필수,"금1,2,3,4,5,6,7,8(60주년-809)",윤정희,절대평가, 
4,ACE1302-002,ACE1302,2,컴퓨터프로그래밍,1,3.0,교양필수,"목1,2,3,4,5,6,7,8(60주년-809)",김영호,절대평가, 
5,ACE1302-003,ACE1302,3,컴퓨터프로그래밍,1,3.0,교양필수,"목10,11,12,13,14,15,16,17(60주년-809)",김영호,절대평가, 
6,MTH1001-024,MTH1001,24,일반수학 1,1,3.0,교양필수,"화7,8,9,금4,5,6(5동105A)",김태길,상대평가, 
7,MTH1001-025,MTH1001,25,일반수학 1,1,3.0,교양필수,"월4,5,6,수1,2,3(5동105B)",전용운,상대평가, 
8,PHY1001-021,PHY1001,21,물리학 1,1,3.0,교양필수,"월13,14,15,수13,14,15(5동407)",우정석,상대평가, 
9,PHY1001-022,PHY1001,22,물리학 1,1,3.0,교양필수,"화4,5,6,목7,8,9(60주년-012)",노재우,상대평가, 
10,PHY1003-022,PHY1003,22,물리학실험 1,1,1.0,교양필수,"월5,6,7,8(5동313)",노재우,절대평가, 
11,PHY1003-023,PHY1003,23,물리학실험 1,1,1.0,교양필수,"수5,6,7,8(5동315)",정종훈,절대평가, 
12,ACE1307-001,ACE1307,1,객체지향프로그래밍,2,3.0,교양필수,"목13,14,15,16,17,18(하-121)",장인주,상대평가,선수
13,ACE2101-019,ACE2101,19,공업수학 1,2,3.0,교양필수,"화10,11,12,금16,17,18(5동115)",정찬석,상대평가,선수
14,ACE2101-020,ACE2101,20,공업수학 1,2,3.0,교양필수,"월1,2,3,수7,8,9(5동115)",이은경,상대평가,선수
15,ACE2105-001,ACE2105,1,선형대수,2,3.0,교양필수,"월1,2,3,화1,2,3(하-강당)",원종훈,상대평가, 
16,EEE2001-001,EEE2001,1,회로이론 1,2,3.0,전공필수,"월10,11,12,화10,11,12(하-224)",김태인,절대평가,"영어,English"
17,EEE2001-002,EEE2001,2,회로이론 1,2,3.0,전공필수,"화1,2,3,목1,2,3(하-132)",전재훈,상대평가, 
18,EEE2001-003,EEE2001,3,회로이론 1,2,3.0,전공필수,"화10,11,12,금10,11,12(하-132)",전재훈,상대평가, 
19,EEE2003-001,EEE2003,1,전기자기학 1,2,3.0,전공필수,"수4,5,6,목4,5,6(하-132)",신백균,상대평가, 
20,EEE2003-002,EEE2003,2,전기자기학 1,2,3.0,전공필수,"수16,17,18,목16,17,18(하-132)",신백균,상대평가, 
21,EEE2006-001,EEE2006,1,기초실험 1,2,1.0,전공필수,"월19,20,21,22(하-332)",김대유,절대평가, 
22,EEE2006-002,EEE2006,2,기초실험 1,2,1.0,전공필수,"화19,20,21,22(하-332)",최길수,절대평가, 
23,EEE2006-003,EEE2006,3,기초실험 1,2,1.0,전공필수,"수19,20,21,22(하-332)",원종훈,절대평가, 
24,EEE2006-004,EEE2006,4,기초실험 1,2,1.0,전공필수,"목19,20,21,22(하-332)",이천,절대평가, 
25,EEE2006-005,EEE2006,5,기초실험 1,2,1.0,전공필수,"금1,2,3,4(하-332)",신백균,절대평가, 
26,EEE2006-006,EEE2006,6,기초실험 1,2,1.0,전공필수,"금5,6,7,8(하-332)",조영근,절대평가, 
27,EEE2201-001,EEE2201,1,전기전자물성,2,3.0,전공필수,"월4,5,6,화16,17,18(하-132)",이천,상대평가, 
28,EEE2201-002,EEE2201,2,전기전자물성,2,3.0,전공필수,"월16,17,18,화4,5,6(하-132)",이천,상대평가, 
29,EEE2008-001,EEE2008,1,전자회로 1,3,3.0,전공필수,"월16,17,18,화16,17,18(하-강당)",김태인,상대평가, 
30,EEE2008-002,EEE2008,2,전자회로 1,3,3.0,전공필수,"목13,14,15(하-224) /금1,2,3(하-132)",전재훈,상대평가, 
31,EEE3002-001,EEE3002,1,전기회로실험,3,1.0,전공필수,"금4,5,6,7(하-005)",김광기,절대평가, 
32,EEE3002-002,EEE3002,2,전기회로실험,3,1.0,전공필수,"금9,10,11,12(하-005)",김광기,절대평가, 
33,EEE3002-003,EEE3002,3,전기회로실험,3,1.0,전공필수,"금13,14,15,16(하-005)",김광기,절대평가, 
34,EEE3002-004,EEE3002,4,전기회로실험,3,1.0,전공필수,"금4,5,6,7(하-006)",김재국,절대평가, 
35,EEE3002-005,EEE3002,5,전기회로실험,3,1.0,전공필수,"금9,10,11,12(하-006)",김재국,절대평가, 
36,EEE3002-006,EEE3002,6,전기회로실험,3,1.0,전공필수,"금13,14,15,16(하-006)",김재국,절대평가, 
37,EEE3104-001,EEE3104,1,신호 및 시스템,3,3.0,전공선택,"화13,14,15,16,17,18(하-121)",김진걸,상대평가, 
38,EEE3106-001,EEE3106,1,컴퓨터구조론,3,3.0,전공선택,"목19,20,21,22,23,24(하-132)",신영균,상대평가, 
39,EEE3110-001,EEE3110,1,자료구조 및 알고리즘,3,3.0,전공선택,"목10,11,12,금19,20,21(하-224)",조영근,상대평가, 
40,EEE3114-001,EEE3114,1,자동제어,3,3.0,전공필수,"월1,2,3,화4,5,6(하-224)",김광기,상대평가, 
41,EEE3114-002,EEE3114,2,자동제어,3,3.0,전공필수,"월4,5,6,화1,2,3(하-224)",김광기,절대평가,"영어,English"
42,EEE3203-001,EEE3203,1,반도체소자,3,3.0,전공선택,"월13,14,15,수13,14,15(하-224)",김태인,상대평가, 
43,EEE3203-002,EEE3203,2,반도체소자,3,3.0,전공선택,"화13,14,15,수10,11,12(하-224)",김태인,상대평가, 
44,EEE3323-001,EEE3323,1,전기기기 및 설계,3,4.0,전공필수,"수4,5,6,7,목4,5,6,7(하-224)",김재국,상대평가, 
