,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,ECE3419-001,ECE3419,1,마이크로웨이브공학,전체,3.0,전공선택,"수5,6,7,목7,8,9(하-203A)",고일석,상대평가, 
1,ACE1302-004,ACE1302,4,컴퓨터프로그래밍,1,3.0,교양필수,"화7,8,9,10,11,12,13,14(하-701)",김영진,절대평가, 
2,ACE1302-005,ACE1302,5,컴퓨터프로그래밍,1,3.0,교양필수,"월9,10,11,12,화9,10,11,12(60주년-809)",오이식,절대평가, 
3,ACE1302-006,ACE1302,6,컴퓨터프로그래밍,1,3.0,교양필수,"월13,14,15,16,화13,14,15,16(60주년-809)",오이식,절대평가, 
4,ECE1211-001,ECE1211,1,전자기초디지털논리설계,1,3.0,전공필수,"월4,5,6,수10,11,12(하-228)",이상민,상대평가, 
5,MTH1001-026,MTH1001,26,일반수학 1,1,3.0,교양필수,"화13,14,15,금13,14,15(5동106A)",정찬석,상대평가, 
6,MTH1001-027,MTH1001,27,일반수학 1,1,3.0,교양필수,"월1,2,3,목10,11,12(5동107A)",이춘란,상대평가, 
7,PHY1001-023,PHY1001,23,물리학 1,1,3.0,교양필수,"화7,8,9,금4,5,6(5동407)",박혜진,상대평가, 
8,PHY1001-024,PHY1001,24,물리학 1,1,3.0,교양필수,"월10,11,12,목4,5,6(5동407)",장우제,상대평가, 
9,PHY1003-024,PHY1003,24,물리학실험 1,1,1.0,교양필수,"수13,14,15,16(5동313)",허윤,절대평가, 
10,PHY1003-025,PHY1003,25,물리학실험 1,1,1.0,교양필수,"화13,14,15,16(5동315)",허남정,절대평가, 
11,ACE2101-021,ACE2101,21,공업수학 1,2,3.0,교양필수,"월4,5,6,수1,2,3(5동115)",이은경,상대평가,선수
12,ACE2101-022,ACE2101,22,공업수학 1,2,3.0,교양필수,"화13,14,15,목13,14,15(5동107A)",장영호,상대평가,선수
13,ACE2105-002,ACE2105,2,선형대수,2,3.0,교양필수,"월4,5,6,수4,5,6(하-010)",이호재,상대평가,선수
14,ACE2105-003,ACE2105,3,선형대수,2,3.0,교양필수,"월4,5,6,수4,5,6(하-003)",임홍기,상대평가,선수
15,ECE2222-001,ECE2222,1,기초실험 1,2,1.0,전공필수,"화1,2,3,4(하-701)",이호재,절대평가, 
16,ECE2222-002,ECE2222,2,기초실험 1,2,1.0,전공필수,"화5,6,7,8(하-328)",장성필,절대평가, 
17,ECE2222-003,ECE2222,3,기초실험 1,2,1.0,전공필수,"화9,10,11,12(하-328)",송병철,절대평가, 
18,ECE2222-004,ECE2222,4,기초실험 1,2,1.0,전공필수,"목1,2,3,4(하-328)",고일석,절대평가, 
19,ECE2222-005,ECE2222,5,기초실험 1,2,1.0,전공필수,"목5,6,7,8(하-328)",강진구,절대평가, 
20,ECE2222-006,ECE2222,6,기초실험 1,2,1.0,전공필수,"목13,14,15,16(하-328)",박우상,절대평가, 
21,ECE2222-007,ECE2222,7,기초실험 1,2,1.0,전공필수,"금1,2,3,4(하-328)",박인호,절대평가, 
22,ECE2222-008,ECE2222,8,기초실험 1,2,1.0,전공필수,"금5,6,7,8(하-328)",정재학,절대평가, 
23,ECE2222-009,ECE2222,9,기초실험 1,2,1.0,전공필수,"금9,10,11,12(하-328)",강진구,절대평가, 
24,ECE2222-010,ECE2222,10,기초실험 1,2,1.0,전공필수,"금13,14,15,16(하-328)",박인호,절대평가, 
25,ECE2222-011,ECE2222,11,기초실험 1,2,1.0,전공필수,"화17,18,19,20(하-328)",이상민,절대평가, 
26,ECE2222-012,ECE2222,12,기초실험 1,2,1.0,전공필수,"목17,18,19,20(하-328)",박인호,절대평가, 
27,ECE2240-001,ECE2240,1,회로이론 1,2,3.0,전공필수,"월13,14,15,수7,8,9(하-003)",장성필,상대평가, 
28,ECE2240-002,ECE2240,2,회로이론 1,2,3.0,전공필수,"월13,14,15,수7,8,9(하-010)",이호재,상대평가, 
29,ECE2240-003,ECE2240,3,회로이론 1,2,3.0,전공필수,"월13,14,15,수7,8,9(하-228)",이상민,상대평가, 
30,ECE2243-001,ECE2243,1,전기자기학 1,2,3.0,전공필수,"월10,11,12,목10,11,12(하-226)",박우상,상대평가, 
31,ECE2243-002,ECE2243,2,전기자기학 1,2,3.0,전공필수,"월10,11,12,목10,11,12(하-010)",고일석,상대평가, 
32,ECE2243-003,ECE2243,3,전기자기학 1,2,3.0,전공필수,"월10,11,12,목10,11,12(하-003)",임홍기,상대평가, 
33,ECE2248-001,ECE2248,1,물리전자,2,3.0,전공필수,"화7,8,9,수10,11,12(하-226)",강지훈,상대평가, 
34,ECE2248-002,ECE2248,2,물리전자,2,3.0,전공필수,"월16,17,18,수13,14,15(하-226)",강지훈,상대평가, 
35,ECE2266-001,ECE2266,1,C++프로그래밍,2,3.0,전공필수,"화13,14,15,16(하-228) /금4,5,6,7(6-326)",허혜선,절대평가, 
36,ECE2266-002,ECE2266,2,C++프로그래밍,2,3.0,전공필수,"화13,14,15,16(하-226) /목13,14,15,16(하-701)",류재환,절대평가, 
37,ECE3314-001,ECE3314,1,데이터구조,3,3.0,전공선택,"수10,11,12,금13,14,15(하-010)",울라샨,절대평가,"English,선수"
38,ECE3314-002,ECE3314,2,데이터구조,3,3.0,전공선택,"월4,5,6,7,8,9(하-203A)",울라샨,상대평가,선수
39,ECE3320-001,ECE3320,1,신호및시스템,3,3.0,전공필수,"화4,5,6,목4,5,6(하-228)",정재학,상대평가,선수
40,ECE3320-002,ECE3320,2,신호및시스템,3,3.0,전공필수,"화4,5,6,목4,5,6(하-010)",송병철,상대평가,선수
41,ECE3320-003,ECE3320,3,신호및시스템,3,3.0,전공필수,"화4,5,6,목4,5,6(하-003)",이보원,절대평가,"영어,English,선수"
42,ECE3349-001,ECE3349,1,반도체소자 1,3,3.0,전공선택,"월16,17,18,수13,14,15(하-003)",장성필,상대평가, 
