,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,ICE1001-001,ICE1001,1,정보통신입문,1,3.0,전공필수,"월1,2,3,수7,8,9(하-232)",이승걸,상대평가, 
1,ICE1001-002,ICE1001,2,정보통신입문,1,3.0,전공필수,"월7,8,9,수1,2,3(하-232)",이승걸,상대평가, 
2,ICE1001-003,ICE1001,3,정보통신입문,1,3.0,전공필수,"화10,11,12,목10,11,12(하-230)",최원익,상대평가, 
3,ICE1005-001,ICE1005,1,인공지능 프로그래밍기초,1,3.0,교양필수,"수10,11,12,금10,11,12(하-230)",이용우,상대평가, 
4,ICE1005-002,ICE1005,2,인공지능 프로그래밍기초,1,3.0,교양필수,"화13,14,15,목13,14,15(하-232)",최학남,상대평가, 
5,ICE1005-003,ICE1005,3,인공지능 프로그래밍기초,1,3.0,교양필수,"화16,17,18,목16,17,18(하-232)",최학남,상대평가, 
6,MTH1001-028,MTH1001,28,일반수학 1,1,3.0,교양필수,"월1,2,3,수4,5,6(5동107B)",김동호,상대평가, 
7,MTH1001-029,MTH1001,29,일반수학 1,1,3.0,교양필수,"화7,8,9,금4,5,6(5동105B)",임선간,상대평가, 
8,MTH1001-030,MTH1001,30,일반수학 1,1,3.0,교양필수,"월13,14,15,수13,14,15(5동106B)",오명선,상대평가, 
9,PHY1001-025,PHY1001,25,물리학 1,1,3.0,교양필수,"화4,5,6,목7,8,9(5동406)",이승훈,상대평가, 
10,PHY1001-026,PHY1001,26,물리학 1,1,3.0,교양필수,"수13,14,15,금13,14,15(5동405)",송현석,상대평가, 
11,PHY1003-026,PHY1003,26,물리학실험 1,1,1.0,교양필수,"수5,6,7,8(5동313)",허윤,절대평가, 
12,PHY1003-027,PHY1003,27,물리학실험 1,1,1.0,교양필수,"월5,6,7,8(5동315)",허윤,절대평가, 
13,PHY1003-028,PHY1003,28,물리학실험 1,1,1.0,교양필수,"금1,2,3,4(5동315)",류한열,절대평가, 
14,ACE2101-023,ACE2101,23,공업수학 1,2,3.0,교양필수,"수10,11,12,금7,8,9(5동105B)",최경표,상대평가,선수
15,ACE2101-024,ACE2101,24,공업수학 1,2,3.0,교양필수,"월10,11,12,수4,5,6(5동115)",이은경,상대평가,선수
16,ACE2105-004,ACE2105,4,선형대수,2,3.0,교양필수,"수1,2,3,금13,14,15(하-230)",김춘우,상대평가,선수
17,ACE2105-005,ACE2105,5,선형대수,2,3.0,교양필수,"수13,14,15,금1,2,3(하-230)",김춘우,상대평가,선수
18,ACE2105-006,ACE2105,6,선형대수,2,3.0,교양필수,"화4,5,6,목4,5,6(하-230)",박대영,상대평가,선수
19,ICE2002-001,ICE2002,1,회로이론,2,3.0,전공필수,"화10,11,12,목10,11,12(하-002)",서영교,상대평가, 
