,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,FLL2001-001,FLL2001,1,프랑스어 회화 1,전체,3.0,전공선택,"월13,14,15,수13,14,15(5남517)",엘로이즈뫼르,상대평가,"French,English"
1,FLL2001-002,FLL2001,2,프랑스어 회화 1,전체,3.0,전공선택,"월16,17,18,수16,17,18(5남517)",엘로이즈뫼르,상대평가,"French,English"
2,FLL2005-001,FLL2005,1,프랑스어 듣기와 발음연습 1,전체,3.0,전공선택,"화7,8,9,목7,8,9(5남517)",엘로이즈뫼르,절대평가,"French,English"
3,FLL2005-002,FLL2005,2,프랑스어 듣기와 발음연습 1,전체,3.0,전공선택,"화13,14,15,목13,14,15(5남517)",엘로이즈뫼르,절대평가,"French,English"
4,FLL2010-001,FLL2010,1,프랑스어 문법 1,전체,3.0,전공필수,"수10,11,12,금10,11,12(5남407)",배진아,상대평가, 
5,FLL2036-001,FLL2036,1,프랑스 문화권의 이해,전체,3.0,전공선택,"월13,14,15,화13,14,15(5남407)",김세리,상대평가, 
6,FLL3032-001,FLL3032,1,DELF B1 읽기 · 쓰기,전체,3.0,전공선택,"월7,8,9,수7,8,9(5남505)",이홍,절대평가,"프랑스어,French"
7,FLL3037-001,FLL3037,1,프랑스 문학개관,전체,3.0,전공선택,"화4,5,6,목4,5,6(5남407)",조병준,상대평가, 
8,FLL4019-001,FLL4019,1,프랑스어권 문화산업과 지리정보 1,전체,3.0,전공선택,"월10,11,12,수10,11,12(5남505)",이홍,절대평가,"프랑스어,French"
9,FLL4022-001,FLL4022,1,한국 인물사,전체,3.0,전공선택,"금10,11,12,13,14,15(5남505)",이홍,절대평가,"영어,English"
10,FLL4024-001,FLL4024,1,K-POP으로 읽는 한국사회 변모사,전체,3.0,전공선택,"화10,11,12,목10,11,12(5남505)",조병준,절대평가,"영어,English"
11,HUM1001-005,HUM1001,5,언어의 이해,전체,3.0,교양필수,"금10,11,12,13,14,15(5동102)",정일영,상대평가, 
12,HUM1002-004,HUM1002,4,문학의 이해,전체,3.0,교양필수,"수4,5,6,목4,5,6(5남505)",최인경,상대평가, 
13,HUM1031-001,HUM1031,1,프랑스어 1,전체,3.0,교양필수,"월10,11,12,화10,11,12(5남407)",김세리,상대평가, 
14,HUM1031-002,HUM1031,2,프랑스어 1,전체,3.0,교양필수,"수7,8,9,목7,8,9(5남535)",최인경,상대평가, 
15,HUM1031-003,HUM1031,3,프랑스어 1,전체,3.0,교양필수,"금1,2,3,4,5,6(5남505)",정일영,상대평가, 
16,FLL1001-001,FLL1001,1,기초 프랑스어 1,1,3.0,전공선택,"수7,8,9,금7,8,9(5남407)",배진아,상대평가, 
