,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,HUM1001-001,HUM1001,1,언어의 이해,전체,3.0,교양필수,"목13,14,15,16,17,18(5동115)",문현수,상대평가, 
1,HUM1002-001,HUM1002,1,문학의 이해,전체,3.0,교양필수,"금13,14,15,16,17,18(5남401)",김태경,상대평가, 
2,HUM1041-001,HUM1041,1,한문 1,전체,3.0,교양필수,"화13,14,15,16,17,18(5동115)",이효원,상대평가, 
3,HKO3001-001,HKO3001,1,학술 답사,1,2.0,전공필수,"수13,14,15,16(5동202)","강동호,허인영",Pass/Fail, 
4,HKO1102-001,HKO1102,1,한국어의 이해,2,3.0,전공필수,"화10,11,12,목10,11,12(5남534)",허인영,상대평가, 
5,HKO2205-001,HKO2205,1,고전문학과 스토리텔링,2,3.0,전공선택,"월13,14,15,16,17,18(5남401)",이승희,상대평가, 
6,HKO2301-001,HKO2301,1,현대시 읽기,2,3.0,전공선택,"월4,5,6,수7,8,9(5남534)",강동호,상대평가, 
7,HKO2302-001,HKO2302,1,시 쓰기 이론과 실제,2,3.0,전공선택,"목13,14,15,16,17,18(5남401)",이병국,상대평가, 
8,HKO2303-001,HKO2303,1,아동문학 읽기,2,3.0,전공선택,"금4,5,6,7,8,9(5남413)",원종찬,상대평가, 
9,HKO2002-001,HKO2002,1,한국문학사 1,3,3.0,전공필수,"수10,11,12,목7,8,9(5남534)",이효원,상대평가, 
10,HKO3102-001,HKO3102,1,한국어의 문장구조,3,3.0,전공선택,"목1,2,3,4,5,6(서-241)",박혜진,상대평가, 
11,HKO3106-001,HKO3106,1,옛글과 현대언어문화,3,3.0,전공선택,"화4,5,6,목4,5,6(5남401)",김경혜,상대평가, 
12,HKO3204-001,HKO3204,1,고전작가론,3,3.0,전공선택,"화10,11,12,목10,11,12(5남401)",박혜숙,상대평가, 
13,HKO3206-001,HKO3206,1,설화와 민속의 이해,3,3.0,전공선택,"목16,17,18,19,20,21(5남534)",김준희,상대평가, 
14,HKO3301-001,HKO3301,1,현대소설 읽기,3,3.0,전공선택,"화13,14,15,수13,14,15(5남521)",김동식,상대평가, 
15,HKO3302-001,HKO3302,1,동화창작론,3,3.0,전공선택,"금1,2,3,4,5,6(5남401)",김민령,상대평가, 
16,HKO3303-001,HKO3303,1,현대비평의 이론,3,3.0,전공선택,"화16,17,18,수16,17,18(5남521)",김동식,상대평가, 
17,HKO3304-001,HKO3304,1,비교문학의 이해,3,3.0,전공선택,"화10,11,12,목10,11,12(5남521)",정종현,상대평가, 
18,HKO3306-001,HKO3306,1,현대작가론,3,3.0,전공선택,"화13,14,15,목13,14,15(5남534)",정종현,상대평가, 
19,HKO3308-001,HKO3308,1,이야기 그림책의 탐구,3,3.0,전공선택,"화13,14,15,16,17,18(5남401)",원종찬,절대평가, 
20,HKO4101-001,HKO4101,1,한국어의 역사,4,3.0,전공선택,"월10,11,12,수10,11,12(5남521)",허인영,상대평가, 
21,HKO4205-001,HKO4205,1,글로벌시대의 고전텍스트,4,3.0,전공선택,"수4,5,6,목4,5,6(5남534)",이효원,상대평가, 
22,HKO4306-001,HKO4306,1,현대문학과 스토리텔링,4,3.0,전공선택,"월13,14,15,16,17,18(60주년-507)",류수연,상대평가, 
