,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
0,SBE2001-001,SBE2001,1,이차전지 기초화학,전체,3.0,전공선택,셀0(웹강의),최우혁,상대평가, 
1,SBE2002-001,SBE2002,1,이차전지 공정기술개론,전체,3.0,전공선택,셀0(웹강의),김민규,절대평가, 
2,SBE2007-001,SBE2007,1,이차전지 핵심광물과 공급망,전체,3.0,전공선택,셀0(웹강의),김진,상대평가, 
3,SBE3001-001,SBE3001,1,이차전지 제작 실습,전체,3.0,전공필수,"화19,20,21,22,23,24(60주년-610)",최진섭,절대평가, 
4,SBE3002-001,SBE3002,1,이차전지 평가 실습,전체,3.0,전공필수,"수19,20,21,22,23,24(60주년-509)",하재윤,절대평가, 
5,SBE3004-001,SBE3004,1,이차전지 산학프로젝트,전체,3.0,전공선택,"금19,20,21,22,23,24(60주년-710)",이기영,Pass/Fail, 
6,SBE3006-001,SBE3006,1,이차전지개론,전체,3.0,전공선택,"화7,8,9,목4,5,6(60주년-712)",김민규,절대평가, 
7,SBE3007-001,SBE3007,1,이차전지 전기화학기초,전체,3.0,전공선택,"월10,11,12,수4,5,6(5동202)",탁용석,상대평가, 
8,SBE3008-001,SBE3008,1,배터리 최신기술 세미나 2,전체,3.0,전공선택,"월19,20,21,22,23,24(60주년-206)",이기영,Pass/Fail, 
9,SBE3010-001,SBE3010,1,이차전지 유기소재,전체,3.0,전공선택,"월10,11,12,화10,11,12(60주년-509)",이근형,상대평가, 
10,SBE3011-001,SBE3011,1,이차전지 열관리 시스템,전체,3.0,전공선택,"목13,14,15,16,17,18(60주년-709)",김홍근,절대평가, 
11,SBE3201-001,SBE3201,1,전극신공법공학,전체,3.0,전공선택,셀0(웹강의),이기영,상대평가, 
12,SBE3202-001,SBE3202,1,이차전지 소재분석공학,전체,3.0,전공선택,셀0(웹강의),유정은,상대평가, 
13,SBE4001-001,SBE4001,1,이차전지 분석 실습,전체,3.0,전공필수,"금10,11,12,13,14,15(60주년-710)",유정은,절대평가, 
14,SBE4002-001,SBE4002,1,이차전지 복합재료,전체,3.0,전공선택,"화1,2,3,수1,2,3(5서452)",김용선,절대평가, 
