,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
0,AAO2354-001,AAO2354,1,지역사회연계봉사-JEP,전체,1.0,교양선택,[       0        0        0        0        0 25165824        0],임지영,Pass/Fail,교양선택,,기타-일반교양,{}
1,AAO2354-002,AAO2354,2,지역사회연계봉사-JEP,전체,1.0,교양선택,[       0        0        0        0        0 25165824        0],이은진,Pass/Fail,교양선택,,기타-일반교양,{}
2,AAO3004-001,AAO3004,1,지역사회연계봉사-JEP 3,전체,1.0,교양선택,[       0        0        0        0        0 25165824        0],이은진,Pass/Fail,교양선택 시간표체크안함,,기타-일반교양,{}
3,AAO3033-002,AAO3033,2,안보학,3,3.0,일반선택,[       0 29360128        0 29360128        0        0        0],학군단2,절대평가, ,,기타-비사대교직,"{'화': '학군단', '목': '학군단'}"
4,AAO3037-001,AAO3037,1,국가안보의 이해,전체,3.0,일반선택,[126   0   0   0   0   0   0],김정필,절대평가, ,,기타-비사대교직,{'월': '60주년-508'}
5,AAO3038-001,AAO3038,1,전쟁과 무기체계,전체,3.0,일반선택,[516096      0      0      0      0      0      0],김정필,절대평가, ,,기타-비사대교직,{'월': '60주년-609'}
6,AAO3043-002,AAO3043,2,조직리더십,4,3.0,일반선택,[       0 29360128        0 29360128        0        0        0],학군단2,절대평가, ,,기타-비사대교직,"{'화': '학군단', '목': '학군단'}"
7,AAO4010-001,AAO4010,1,NCS직업기초능력,4,2.0,일반선택,[      0       0 7864320       0       0       0       0],황사연,Pass/Fail,일학습병행 NCS 참여학생 수강,,기타-NCS과목,{'수': '6-427'}
8,AAO6514-001,AAO6514,1,SQL 활용 프로그래밍(NCS과정),4,3.0,일반선택,[     0      0      0 516096      0      0      0],임상준,절대평가,일학습병행 NCS 참여학생 수강,,기타-NCS과목,{'목': '5남240'}
9,ACE1301-001,ACE1301,1,정보사회와컴퓨터,1,3.0,교양필수,[  0 112   0   0  14   0   0],원종구,절대평가, ,,기계공학과-기계공학,"{'화': '5남238', '금': '2북365'}"
10,ACE1301-002,ACE1301,2,정보사회와컴퓨터,1,3.0,교양필수,[  0 896   0   0 112   0   0],원종구,절대평가, ,,기계공학과-기계공학,"{'화': '5남238', '금': '2북365'}"
11,ACE1301-003,ACE1301,3,정보사회와컴퓨터,1,3.0,교양필수,[   0 7168    0    0 7168    0    0],원종구,절대평가, ,,기계공학과-기계공학,"{'화': '5남238', '금': '2북365'}"
12,ACE1301-004,ACE1301,4,정보사회와컴퓨터,1,3.0,교양필수,[    0 57344     0     0 57344     0     0],원종구,절대평가, ,,기계공학과-기계공학,"{'화': '5남238', '금': '2북365'}"
13,ACE1301-005,ACE1301,5,정보사회와컴퓨터,1,3.0,교양필수,[ 896    0 7168    0    0    0    0],노정훈,절대평가, ,,기계공학과-기계공학,"{'월': '2북465', '수': '2북364'}"
14,ACE1301-006,ACE1301,6,정보사회와컴퓨터,1,3.0,교양필수,[7168 7168    0    0    0    0    0],노정훈,절대평가, ,,기계공학과-기계공학,"{'월': '2북465', '화': '2북364'}"
15,ACE1301-007,ACE1301,7,정보사회와컴퓨터,1,3.0,교양필수,[  0  14   0 112   0   0   0],이석환,절대평가, ,4.71,산업경영공학과-산업경영공학,"{'화': '2북464', '목': '2북474'}"
16,ACE1301-008,ACE1301,8,정보사회와컴퓨터,1,3.0,교양필수,[     0 458752      0   7168      0      0      0],이석환,절대평가, ,4.71,산업경영공학과-산업경영공학,"{'화': '2북464', '목': '2북474'}"
17,ACE1301-009,ACE1301,9,정보사회와컴퓨터,4,3.0,교양필수,[    0     0     0     0 64512     0     0],이윤정,절대평가, ,3.88,생명공학과-생명공학,{'금': '2북465'}
18,ACE1301-010,ACE1301,10,정보사회와컴퓨터,전체,3.0,교양필수,[  0   0   0   0 126   0   0],이윤정,절대평가, ,3.88,신소재공학과-신소재공학,{'금': '5남238'}
