course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
GEB1126-001,GEB1126,001,문제해결을 위한 글쓰기,1,3.0,교양필수,셀0(웹강의),류수연,상대평가, 
GEB1126-002,GEB1126,002,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월5,6,7,8(60주년-227)","강동호,이승희",상대평가, 
GEB1126-003,GEB1126,003,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월9,10,11,12(60주년-227)","강동호,이병국",상대평가, 
GEB1126-004,GEB1126,004,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월1,2,3,4(60주년-228)","강동호,이영수",상대평가, 
GEB1126-005,GEB1126,005,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월5,6,7,8(60주년-228)","강동호,이영수",상대평가, 
GEB1126-006,GEB1126,006,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월9,10,11,12(60주년-228)","강동호,김명임",상대평가, 
GEB1126-007,GEB1126,007,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월13,14,15,16(60주년-228)","강동호,김명임",상대평가, 
GEB1126-008,GEB1126,008,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월5,6,7,8(60주년-229)","윤인현,강동호",상대평가, 
GEB1126-009,GEB1126,009,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월9,10,11,12(60주년-229)","윤인현,강동호",상대평가, 
GEB1126-010,GEB1126,010,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월9,10,11,12(60주년-230)","강동호,김명인",상대평가, 
GEB1126-011,GEB1126,011,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월13,14,15,16(60주년-230)","강동호,김명인",상대평가, 
GEB1126-012,GEB1126,012,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월5,6,7,8(60주년-804)","도윤정,강동호",상대평가, 
GEB1126-013,GEB1126,013,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월9,10,11,12(60주년-804)","도윤정,강동호",상대평가, 
GEB1126-014,GEB1126,014,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /월13,14,15,16(60주년-804)","도윤정,강동호",상대평가, 
GEB1126-015,GEB1126,015,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /화1,2,3,4(60주년-227)","강동호,이재용",상대평가, 
GEB1126-016,GEB1126,016,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /화5,6,7,8(60주년-227)","강동호,이재용",상대평가, 
GEB1126-017,GEB1126,017,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /화9,10,11,12(60주년-227)","김동식,류수연",상대평가, 
GEB1126-018,GEB1126,018,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /화13,14,15,16(60주년-227)","김동식,류수연",상대평가, 
GEB1126-019,GEB1126,019,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /화1,2,3,4(60주년-228)","김동식,이영수",상대평가, 
GEB1126-020,GEB1126,020,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /화5,6,7,8(60주년-228)","김동식,이영수",상대평가, 
GEB1126-021,GEB1126,021,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /화9,10,11,12(60주년-228)","김동식,오윤정",상대평가, 
GEB1126-022,GEB1126,022,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /화13,14,15,16(60주년-228)","김동식,오윤정",상대평가, 
GEB1126-023,GEB1126,023,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /화5,6,7,8(60주년-229)","김동식,윤인현",상대평가, 
GEB1126-024,GEB1126,024,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /화9,10,11,12(60주년-229)","김동식,김윤정",상대평가, 
GEB1126-025,GEB1126,025,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /화13,14,15,16(60주년-229)","김동식,김윤정",상대평가, 
GEB1126-026,GEB1126,026,문제해결을 위한 글쓰기,1,3.0,교양필수,"셀0(웹강의) /화1,2,3,4(60주년-230)","김동식,이세기",상대평가, 
