course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
GEF1103-002,GEF1103,002,외국인전용 한국의 전통 사회와 문화,전체,3.0,교양필수,"화4,5,6,목4,5,6(60주년-508)",이영미,상대평가, 
GEF1104-002,GEF1104,002,외국인전용 한국의 현대 사회와 문화,전체,3.0,교양필수,"월10,11,12,수13,14,15(60주년-607)",박영산,상대평가, 
GEF1105-002,GEF1105,002,외국인전용 대학 한국어Ⅰ,전체,3.0,교양필수,"화1,2,3,수4,5,6(60주년-607)",정영진,상대평가, 
GEF1105-003,GEF1105,003,외국인전용 대학 한국어Ⅰ,전체,3.0,교양필수,"수1,2,3,4,5,6(60주년-609)",이경복,상대평가,"국제학부전용,English"
GEF1105-004,GEF1105,004,외국인전용 대학 한국어Ⅰ,전체,3.0,교양필수,"목1,2,3,금4,5,6(60주년-607)",박은정,상대평가,"국제학부전용,English"
GEF1106-001,GEF1106,001,외국인전용 대학 한국어Ⅱ,전체,3.0,교양필수,"화7,8,9,목4,5,6(60주년-607)",정민나,상대평가, 
GEF1106-002,GEF1106,002,외국인전용 대학 한국어Ⅱ,전체,3.0,교양필수,"월7,8,9,수7,8,9(60주년-608)",김철희,상대평가, 
GEF1106-003,GEF1106,003,외국인전용 대학 한국어Ⅱ,전체,3.0,교양필수,"화1,2,3,목4,5,6(60주년-609)",이지애,상대평가,"국제학부전용,English"
GEF1106-004,GEF1106,004,외국인전용 대학 한국어Ⅱ,전체,3.0,교양필수,"화4,5,6,목1,2,3(60주년-609)",이지애,상대평가,"국제학부전용,English"
GEF1106-005,GEF1106,005,외국인전용 대학 한국어Ⅱ,전체,3.0,교양필수,"월4,5,6,수4,5,6(60주년-608)",김철희,상대평가,"국제학부전용,English"
GEF1103-001,GEF1103,001,외국인전용 한국의 전통 사회와 문화,1,3.0,교양필수,"월7,8,9,수7,8,9(60주년-609)",김경화,상대평가,신입생전용
GEF1104-001,GEF1104,001,외국인전용 한국의 현대 사회와 문화,1,3.0,교양필수,"월4,5,6,수10,11,12(60주년-607)",박영산,상대평가,신입생전용
GEF1105-001,GEF1105,001,외국인전용 대학 한국어Ⅰ,1,3.0,교양필수,"화13,14,15,수10,11,12(60주년-609)",윤진현,상대평가,신입생전용
