course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
ACE9501-001,ACE9501,001,다학년 연구프로젝트 1,전체,1.0,전공선택,"월19,20(60주년-507)","이선곤,정달도",Pass/Fail, 
ACE9501-002,ACE9501,002,다학년 연구프로젝트 1,전체,1.0,전공선택,"월19,20(60주년-509)",남기태,Pass/Fail, 
ACE9501-003,ACE9501,003,다학년 연구프로젝트 1,전체,1.0,전공선택,"수17,18(60주년-510)",최종식,Pass/Fail, 
ACE9503-001,ACE9503,001,다학년 연구프로젝트 3,전체,1.0,전공선택,"월19,20(60주년-507)","이선곤,정달도",Pass/Fail, 
ACE9503-002,ACE9503,002,다학년 연구프로젝트 3,전체,1.0,전공선택,"월19,20(60주년-509)",남기태,Pass/Fail, 
ACE9503-003,ACE9503,003,다학년 연구프로젝트 3,전체,1.0,전공선택,"수17,18(60주년-510)",최종식,Pass/Fail, 
GED4011-002,GED4011,002,지식재산 이론과 실제,전체,3.0,교양선택,"화4,5,6,수4,5,6(60주년-712)",이수찬,상대평가,인하공학교육혁신센터
GEE4007-001,GEE4007,001,발명과 특허,전체,2.0,교양선택,셀14(웹강의),김성호,Pass/Fail,"E-learning, ※기말 : 6월 23일 17:00 ~ 17:55,창의영역"
GEE5016-001,GEE5016,001,진로설계 이해와 전략,전체,3.0,교양선택,"화10,11,12,목10,11,12(60주년-712)",이유주,Pass/Fail,인하공학교육혁신센터
GED1002-001,GED1002,001,공학윤리와 토론,2,3.0,교양선택,"수1,2,3,4,5,6(60주년-612)",이양수,상대평가,공학인증필(18학번~)
GED1002-002,GED1002,002,공학윤리와 토론,2,3.0,교양선택,"수13,14,15,16,17,18(5남333)",이양수,상대평가,인하공학교육혁신센터
GED1002-003,GED1002,003,공학윤리와 토론,2,3.0,교양선택,"화1,2,3,4,5,6(5동208A)",정현철,상대평가,공학인증필(18학번~)
GED1002-004,GED1002,004,공학윤리와 토론,2,3.0,교양선택,"화13,14,15,16,17,18(60주년-509)",정현철,상대평가,공학인증필(18학번~)
GED1002-005,GED1002,005,공학윤리와 토론,2,3.0,교양선택,"목1,2,3,4,5,6(서-328)",정현철,상대평가,공학인증필(18학번~)
GED1002-006,GED1002,006,공학윤리와 토론,2,3.0,교양선택,"금4,5,6,7,8,9(60주년-510)",이혁주,상대평가,공학인증필(18학번~)
GED1002-007,GED1002,007,공학윤리와 토론,2,3.0,교양선택,"금13,14,15,16,17,18(60주년-510)",이혁주,상대평가,공학인증필(18학번~)
GED1002-008,GED1002,008,공학윤리와 토론,2,3.0,교양선택,"월1,2,3,4,5,6(60주년-509)",우환식,상대평가,공학인증필(18학번~)
GED1002-010,GED1002,010,공학윤리와 토론,2,3.0,교양선택,"금10,11,12,13,14,15(60주년-509)",이양수,상대평가,공학인증필(18학번~)
GED1002-011,GED1002,011,공학윤리와 토론,2,3.0,교양선택,"금1,2,3,4,5,6(60주년-509)",이양수,상대평가,"공학인증필(18학번~), 국제학부/외국인학생 전용, 영어,English"
