course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
AAO2354-001,AAO2354,001,지역사회연계봉사-JEP,전체,1.0,교양선택,"토23,24",임지영,Pass/Fail,교양선택
AAO2354-002,AAO2354,002,지역사회연계봉사-JEP,전체,1.0,교양선택,"토23,24",이은진,Pass/Fail,교양선택
AAO3004-001,AAO3004,001,지역사회연계봉사-JEP 3,전체,1.0,교양선택,"토23,24",이은진,Pass/Fail,교양선택 시간표체크안함
GEE1001-001,GEE1001,001,명언으로 배우는 한자와 한문,전체,3.0,교양선택,셀3(웹강의),박혜숙,상대평가,※기말 : 6월 22일 13:00 ~ 13:55
GEE1002-001,GEE1002,001,동화와 마법의 상상력,전체,3.0,교양선택,"금10,11,12,13,14,15(5남521)",김민령,상대평가,한국어문학
GEE1005-001,GEE1005,001,영화로 보는 한국문화,전체,3.0,교양선택,셀1(웹강의),육상효,절대평가,"영어, English, ※기말 : 6월 22일 10:00 ~ 10:55"
GEE1006-001,GEE1006,001,동화의이해,전체,3.0,교양선택,셀7(웹강의),이문기,상대평가,※기말 : 6월 22일 17:00 ~ 17:55
GEE1019-001,GEE1019,001,와인으로 보는 세계 문화,전체,3.0,교양선택,"화1,2,3(60주년-511) /목4,5,6(60주년-507)",이성근,상대평가,의예
GEE1019-002,GEE1019,002,와인으로 보는 세계 문화,전체,3.0,교양선택,"화10,11,12(60주년-610) /목10,11,12(60주년-609)",이성근,상대평가,의예
GEE1022-001,GEE1022,001,한중 서사콘텐츠의 이해,전체,3.0,교양선택,"월7,8,9,수7,8,9(60주년-509)",방건춘,절대평가,Chinese
GEE1023-001,GEE1023,001,인하특강 : 인하와 인천,전체,2.0,교양선택,"목13,14,15,16(본관대강당)",박현순,Pass/Fail,프런티어학부대학
GEE1024-001,GEE1024,001,클래식 음악 감상 실습,전체,3.0,교양선택,"월13,14,15,16,17,18(5남333)",반율리,Pass/Fail,예술체육학부
GEE2001-001,GEE2001,001,긍정심리학,전체,3.0,교양선택,"화13,14,15,16,17,18(9-317)",김진영,상대평가,행정학
GEE2006-001,GEE2006,001,지리와 여행,전체,3.0,교양선택,"수13,14,15,16,17,18(60주년-605)",손승호,절대평가,사회교육
GEE2007-002,GEE2007,002,생활 속의 경제 원리,전체,3.0,교양선택,"금1,2,3,4,5,6(서－２２８)",김종철,절대평가,"영어,English"
GEE2015-001,GEE2015,001,기초수학,전체,3.0,교양선택,"화10,11,12,목19,20,21(5동106B)",김형돈,Pass/Fail,수학
GEE2015-002,GEE2015,002,기초수학,전체,3.0,교양선택,"화1,2,3,수16,17,18(5동105B)",김형돈,Pass/Fail,수학
GEE2015-003,GEE2015,003,기초수학,전체,3.0,교양선택,"화13,14,15,금13,14,15(5동202)",김경선,Pass/Fail,수학
GEE2015-004,GEE2015,004,기초수학,전체,3.0,교양선택,"월19,20,21,수13,14,15(5동107A)",김혁,Pass/Fail,수학
GEE2015-005,GEE2015,005,기초수학,전체,3.0,교양선택,"월16,17,18,수7,8,9(5동105B)",김혁,Pass/Fail,수학
GEE2015-006,GEE2015,006,기초수학,전체,3.0,교양선택,"월13,14,15,수16,17,18(5동115)",김혁,Pass/Fail,수학
GEE2015-007,GEE2015,007,기초수학,전체,3.0,교양선택,"월4,5,6,수1,2,3(5동107A)",장태수,Pass/Fail,수학
GEE2015-008,GEE2015,008,기초수학,전체,3.0,교양선택,"화10,11,12,금1,2,3(5동106A)",김지연,Pass/Fail,수학
GEE2015-009,GEE2015,009,기초수학,전체,3.0,교양선택,"화7,8,9,금4,5,6(5동102)",김지연,Pass/Fail,수학
GEE2015-010,GEE2015,010,기초수학,전체,3.0,교양선택,"월16,17,18,수16,17,18(5동107B)",연룡하,Pass/Fail,Chinese
GEE2022-001,GEE2022,001,"인류의 그림자, 에너지 바로 알기",전체,3.0,교양선택,셀10(웹강의),신현돈,상대평가,※기말 : 6월 23일 13:00 ~ 13:55
GEE2024-001,GEE2024,001,미디어와 콘텐츠,전체,3.0,교양선택,셀4(웹강의),김만수,상대평가,※기말 : 6월 22일 14:00 ~ 14:55
GEE2027-001,GEE2027,001,바다의 불편한 진실,전체,3.0,교양선택,셀1(웹강의),김태원,상대평가,※기말 : 6월 22일 10:00 ~ 10:55
GEE2028-001,GEE2028,001,브랜드 생성의 원리,전체,3.0,교양선택,셀6(웹강의),이재진,상대평가,※기말 : 6월 22일 16:00 ~ 16:55
GEE2030-001,GEE2030,001,숲의 이해,전체,3.0,교양선택,"목13,14,15,16,17,18(2동252)",구윤모,Pass/Fail,생명공학
GEE3001-001,GEE3001,001,졸업인증실용영어,전체,3.0,교양선택,"월1,2,3,수4,5,6(60주년-805)",전재영,Pass/Fail,프런티어학부대학
GEE3001-002,GEE3001,002,졸업인증실용영어,전체,3.0,교양선택,"월4,5,6,수1,2,3(60주년-805)",전재영,Pass/Fail,프런티어학부대학
GEE3002-001,GEE3002,001,자막없이 보는 미국드라마,전체,3.0,교양선택,셀0(웹강의),영남대,상대평가,※영남대학교 이러닝 학점교류교과목
GEE3003-001,GEE3003,001,외국인전용초급한국어,전체,3.0,교양선택,"월7,8,9,목10,11,12(60주년-610)",고자연,절대평가,"교환학생전용,English"
GEE3003-002,GEE3003,002,외국인전용초급한국어,전체,3.0,교양선택,"월10,11,12,목7,8,9(60주년-610)",고자연,절대평가,"교환학생전용,English"
GEE3003-003,GEE3003,003,외국인전용초급한국어,전체,3.0,교양선택,"목4,5,6,금1,2,3(60주년-612)",박은정,절대평가,"교환학생전용,English"
GEE3003-004,GEE3003,004,외국인전용초급한국어,전체,3.0,교양선택,"수7,8,9,금7,8,9(60주년-607)",최주희,절대평가,"교환학생전용,English"
GEE3003-005,GEE3003,005,외국인전용초급한국어,전체,3.0,교양선택,"수1,2,3,금4,5,6(60주년-610)",최주희,상대평가,"국제학부전용,English"
GEE3003-006,GEE3003,006,외국인전용초급한국어,전체,3.0,교양선택,"화1,2,3,수10,11,12(60주년-610)",조남현,상대평가,"국제학부전용,English"
GEE3003-007,GEE3003,007,외국인전용초급한국어,전체,3.0,교양선택,"화4,5,6,수7,8,9(60주년-610)",조남현,상대평가,"국제학부전용,English"
GEE3004-001,GEE3004,001,외국인전용중급한국어,전체,3.0,교양선택,"수13,14,15,16,17,18(60주년-508)",이경복,절대평가,"교환학생전용,English"
GEE3004-002,GEE3004,002,외국인전용중급한국어,전체,3.0,교양선택,"월13,14,15,16,17,18(60주년-511)",이경복,상대평가,"국제학부전용,English"
GEE3004-003,GEE3004,003,외국인전용중급한국어,전체,3.0,교양선택,"수4,5,6,금1,2,3(60주년-610)",최주희,상대평가,"국제학부전용,English"
GEE3012-001,GEE3012,001,스타트일본어,전체,3.0,교양선택,셀1(웹강의),모세종,상대평가,※기말 : 6월 22일 10:00 ~ 10:55
GEE3016-001,GEE3016,001,초급일본어,전체,3.0,교양선택,"화7,8,9,목7,8,9(5남518)",윤영민,상대평가,일본언어문화
GEE3016-002,GEE3016,002,초급일본어,전체,3.0,교양선택,"화10,11,12,목10,11,12(5남503)",윤영민,상대평가,일본언어문화
GEE3025-001,GEE3025,001,장애인과 함께 하는 삶,전체,3.0,교양선택,"수13,14,15,16,17,18(60주년-610)",황보익,Pass/Fail,프런티어학부대학
GEE3026-001,GEE3026,001,생활한문,전체,1.0,교양선택,"화5,6,7,8(60주년-511)",이승희,상대평가,프런티어학부대학
GEE3026-002,GEE3026,002,생활한문,전체,1.0,교양선택,"화9,10,11,12(60주년-511)",이승희,상대평가,프런티어학부대학
GEE3026-003,GEE3026,003,생활한문,전체,1.0,교양선택,"목5,6,7,8(60주년-511)",윤인현,상대평가,프런티어학부대학
GEE3027-001,GEE3027,001,실용영어 L/S,전체,3.0,교양선택,"월1,2,3,수4,5,6(60주년-501)",제이슨햄,상대평가,프런티어학부대학
GEE3027-002,GEE3027,002,실용영어 L/S,전체,3.0,교양선택,"월1,2,3,수4,5,6(60주년-506)",스티븐존스,상대평가,프런티어학부대학
GEE3027-003,GEE3027,003,실용영어 L/S,전체,3.0,교양선택,"월4,5,6,수1,2,3(60주년-702)",헴브리,상대평가,프런티어학부대학
GEE3027-004,GEE3027,004,실용영어 L/S,전체,3.0,교양선택,"월7,8,9,목1,2,3(60주년-506)",스티븐존스,상대평가,프런티어학부대학
GEE3027-005,GEE3027,005,실용영어 L/S,전체,3.0,교양선택,"월10,11,12,목4,5,6(60주년-501)",제이슨햄,상대평가,프런티어학부대학
GEE3027-006,GEE3027,006,실용영어 L/S,전체,3.0,교양선택,"월13,14,15,수13,14,15(60주년-601)",스트롱,상대평가,프런티어학부대학
GEE3027-007,GEE3027,007,실용영어 L/S,전체,3.0,교양선택,"화4,5,6,목7,8,9(60주년-501)",제이슨햄,상대평가,프런티어학부대학
GEE3027-008,GEE3027,008,실용영어 L/S,전체,3.0,교양선택,"화4,5,6,목7,8,9(60주년-702)",헴브리,상대평가,프런티어학부대학
GEE3027-009,GEE3027,009,실용영어 L/S,전체,3.0,교양선택,"화4,5,6,목7,8,9(60주년-506)",스티븐존스,상대평가,프런티어학부대학
GEE3027-010,GEE3027,010,실용영어 L/S,전체,3.0,교양선택,"화7,8,9,금4,5,6(60주년-702)",헴브리,상대평가,프런티어학부대학
GEE3027-011,GEE3027,011,실용영어 L/S,전체,3.0,교양선택,"화10,11,12,금1,2,3(60주년-501)",제이슨햄,상대평가,프런티어학부대학
GEE3027-012,GEE3027,012,실용영어 L/S,전체,3.0,교양선택,"화10,11,12,금1,2,3(60주년-601)",스트롱,상대평가,프런티어학부대학
GEE3027-013,GEE3027,013,실용영어 L/S,전체,3.0,교양선택,"화13,14,15,목13,14,15(60주년-601)",스트롱,상대평가,프런티어학부대학
GEE3027-014,GEE3027,014,실용영어 L/S,전체,3.0,교양선택,"수7,8,9,금10,11,12(60주년-702)",헴브리,상대평가,프런티어학부대학
GEE3027-015,GEE3027,015,실용영어 L/S,전체,3.0,교양선택,"수10,11,12,금7,8,9(60주년-501)",제이슨햄,상대평가,프런티어학부대학
GEE3027-018,GEE3027,018,실용영어 L/S,전체,3.0,교양선택,"수10,11,12,금7,8,9(60주년-506)",스티븐존스,상대평가,프런티어학부대학
GEE3028-001,GEE3028,001,실용영어 R/W,전체,3.0,교양선택,"화1,2,3,목10,11,12(60주년-608)",이철희,상대평가,프런티어학부대학
GEE3028-002,GEE3028,002,실용영어 R/W,전체,3.0,교양선택,"화4,5,6,목7,8,9(60주년-608)",이철희,상대평가,프런티어학부대학
GEE3028-003,GEE3028,003,실용영어 R/W,전체,3.0,교양선택,"화10,11,12,목1,2,3(60주년-608)",이철희,상대평가,프런티어학부대학
GEE3028-004,GEE3028,004,실용영어 R/W,전체,3.0,교양선택,"화10,11,12,목13,14,15(60주년-609)",최재유,상대평가,프런티어학부대학
GEE3030-001,GEE3030,001,외국인전용 한국어 레포트쓰기,전체,3.0,교양선택,"금10,11,12,13,14,15(60주년-607)",박은정,상대평가,프런티어학부대학
GEE3031-001,GEE3031,001,외국인전용 한국어 프레젠테이션,전체,3.0,교양선택,"월13,14,15,16,17,18(60주년-608)",김철희,상대평가,프런티어학부대학
GEE3032-001,GEE3032,001,외국인전용 미디어 한국어,전체,3.0,교양선택,"수13,14,15,16,17,18(60주년-609)",윤진현,상대평가,프런티어학부대학
GEE3033-001,GEE3033,001,외국인전용 한국과 세계의 비교문화,전체,3.0,교양선택,"수1,2,3,4,5,6(60주년-508)",이영태,상대평가,프런티어학부대학
