course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
GEB1112-001,GEB1112,001,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"수4,5,6,7(60주년-106)",정연재,Pass/Fail, 
GEB1112-002,GEB1112,002,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"수9,10,11,12(60주년-106)",정연재,Pass/Fail, 
GEB1112-003,GEB1112,003,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"목4,5,6,7(60주년-106)",도윤정,Pass/Fail, 
GEB1112-004,GEB1112,004,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"목9,10,11,12(60주년-106)",도윤정,Pass/Fail, 
GEB1112-005,GEB1112,005,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"수4,5,6,7(60주년-101)",마은종,Pass/Fail, 
GEB1112-006,GEB1112,006,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"수9,10,11,12(60주년-101)",마은종,Pass/Fail, 
GEB1112-007,GEB1112,007,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"목4,5,6,7(60주년-101)",마은종,Pass/Fail, 
GEB1112-008,GEB1112,008,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"목9,10,11,12(60주년-101)",마은종,Pass/Fail, 
GEB1112-009,GEB1112,009,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"목4,5,6,7(60주년-108)",정영진,Pass/Fail, 
GEB1112-010,GEB1112,010,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"목9,10,11,12(60주년-108)",정영진,Pass/Fail, 
GEB1112-011,GEB1112,011,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"수4,5,6,7(60주년-201)",조나영,Pass/Fail, 
GEB1112-012,GEB1112,012,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"목4,5,6,7(60주년-201)",조나영,Pass/Fail, 
GEB1112-013,GEB1112,013,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"수9,10,11,12(60주년-201)",손미란,Pass/Fail, 
GEB1112-014,GEB1112,014,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"수13,14,15,16(60주년-201)",손미란,Pass/Fail, 
GEB1112-015,GEB1112,015,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"목9,10,11,12(60주년-201)",손미란,Pass/Fail, 
GEB1112-016,GEB1112,016,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"수4,5,6,7(60주년-206)",성동기,Pass/Fail, 
GEB1112-017,GEB1112,017,크로스오버 1 : 인간의 탐색,1,2.0,교양필수,"목4,5,6,7(60주년-206)",성동기,Pass/Fail, 
