course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
ACE1312-002,ACE1312,002,이산수학,1,3.0,교양필수,"월7,8,9,금4,5,6(9-217)",마명걸,상대평가,"영어,English"
IGS1230-001,IGS1230,001,일반물리학,1,3.0,교양필수,"화7,8,9,수7,8,9(9-217)",울룩백약시,상대평가,English
IGS1232-001,IGS1232,001,컴퓨터 프로그래밍,1,3.0,교양필수,"월4,5,6,목4,5,6(M-224)",후마윤,상대평가,English
ISE1233-001,ISE1233,001,융합시스템공학개론,1,3.0,전공필수,"화16,17,18,19,20,21(M-322)",카카니비제이,상대평가,English
ISE1234-001,ISE1234,001,엔지니어링 컨셉드로잉,1,3.0,전공필수,"금13,14,15,16,17,18(60주년-808)",세라오,상대평가,English
ACE2105-007,ACE2105,007,선형대수,2,3.0,교양필수,"화10,11,12,수10,11,12(M-121)",세라오,상대평가,English
IGS2130-001,IGS2130,001,객체지향프로그래밍,2,3.0,교양필수,"월1,2,3,4,5,6(60주년-809)",샤페눌,상대평가,English
IGS2137-001,IGS2137,001,신호 및 시스템 설계,2,3.0,교양필수,"수10,11,12,금1,2,3(M-224)",메히디,상대평가,English
ISE2134-001,ISE2134,001,이동체 구조해석,2,3.0,전공필수,"화16,17,18,목16,17,18(9-203)",세라오,상대평가,English
ISE2135-001,ISE2135,001,기초전자회로 이론 및 실습,2,3.0,전공필수,"월10,11,12,13,목10,11,12,13(M-125)",후마윤,상대평가,English
ISE2232-001,ISE2232,001,컴퓨터네트워크,2,3.0,전공선택,"월13,14,15,화16,17,18(M-224)",메히디,상대평가,English
ISE2234-001,ISE2234,001,지능형이동체설계,2,3.0,전공선택,"금10,11,12,13,14,15(9-217)",조종두,상대평가,"영어,English"
ISE2235-001,ISE2235,001,자료구조,2,3.0,전공필수,"화13,14,15,금4,5,6(60주년-808)",후마윤,상대평가,English
ISE2236-001,ISE2236,001,디지털논리및설계,2,3.0,전공선택,"수16,17,18,19,20,21(60주년-808)",권장우,상대평가,"영어,English"
ISE3132-001,ISE3132,001,임베디드시스템설계,3,3.0,전공선택,"수4,5,6,목1,2,3(M-224)",메히디,상대평가,English
ISE3133-001,ISE3133,001,데이터통신,3,3.0,전공선택,"월4,5,6,수1,2,3(5남238)",카카니비제이,상대평가,English
ISE3137-001,ISE3137,001,운영시스템,3,3.0,전공선택,"화13,14,15,수13,14,15(M-224)",메히디,상대평가,English
ISE3140-001,ISE3140,001,VIP(이론),3,3.0,전공필수,"수19,20,21,22,23,24(M-224)","카카니비제이,메히디,세라오",절대평가,English
ISE3141-001,ISE3141,001,VIP(실습),3,1.0,전공필수,"목4,5,6,7(6-326)","카카니비제이,메히디,세라오",절대평가,English
ISE3235-001,ISE3235,001,데이터베이스 설계,3,3.0,전공선택,"월13,14,15,16,17,18(6-326)",샤페눌,상대평가,English
ISE4133-001,ISE4133,001,소프트웨어공학,3,3.0,전공필수,"월1,2,3,수4,5,6(60주년-808)",카카니비제이,상대평가,English
ISE4134-001,ISE4134,001,스마트모빌리티서비스,3,3.0,전공선택,"화7,8,9,수1,2,3(M-224)",메히디,상대평가,English
ISE4137-001,ISE4137,001,컴퓨터 보안,4,3.0,전공선택,"월13,14,15,수13,14,15(60주년-808)",카카니비제이,상대평가,English
