course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
ARC1201-001,ARC1201,001,건축설계 1,1,3.0,전공필수,"월9,10,11,12,13,14,15,16,17,18,19,20(2남414A)",홍승완,절대평가,"영어,English"
ARC1201-002,ARC1201,002,건축설계 1,1,3.0,전공필수,"월9,10,11,12,13,14,15,16,17,18,19,20(2남414B)",정혜진,절대평가,"영어,English"
ARC1201-003,ARC1201,003,건축설계 1,1,3.0,전공필수,"월9,10,11,12,13,14,15,16,17,18,19,20(2남414C)",박유진,절대평가,"영어,English"
ARC1201-004,ARC1201,004,건축설계 1,1,3.0,전공필수,"월9,10,11,12,13,14,15,16,17,18,19,20(2남414D)",강제용,절대평가,"영어,English"
MTH1001-022,MTH1001,022,일반수학 1,1,3.0,교양필수,"화7,8,9,금4,5,6(5동106A)",김경선,상대평가, 
PHY1001-020,PHY1001,020,물리학 1,1,3.0,교양필수,"화13,14,15,목13,14,15(5동407)",허윤,상대평가, 
PHY1003-021,PHY1003,021,물리학실험 1,1,1.0,교양필수,"목9,10,11,12(5동315)",박혜진,절대평가, 
ARC2002-001,ARC2002,001,디지털미디어 1,2,3.0,전공필수,"화10,11,12,13,14,15(2남430A)",홍승완,절대평가,"영어,English"
ARC2002-002,ARC2002,002,디지털미디어 1,2,3.0,전공필수,"수10,11,12,13,14,15(2남430A)",홍승완,절대평가,"영어,English"
ARC2102-001,ARC2102,001,한국건축사,2,3.0,전공필수,"화1,2,3,4,5,6(2남414)",도윤수,상대평가, 
ARC2203-001,ARC2203,001,건축설계 3,2,6.0,전공필수,"월9,10,11,12,13,14,15,16,17,18,19,20,목9,10,11,12,13,14,15,16,17,18,19,20(4-422A)","김광호,배연수",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수"
ARC2203-002,ARC2203,002,건축설계 3,2,6.0,전공필수,"월9,10,11,12,13,14,15,16,17,18,19,20,목9,10,11,12,13,14,15,16,17,18,19,20(4-422B)","최민욱,김형섭",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수"
ARC2203-003,ARC2203,003,건축설계 3,2,6.0,전공필수,"월9,10,11,12,13,14,15,16,17,18,19,20,목9,10,11,12,13,14,15,16,17,18,19,20(4-422C)","최성훈,최주희",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수"
ARC2203-004,ARC2203,004,건축설계 3,2,6.0,전공필수,"월9,10,11,12,13,14,15,16,17,18,19,20,목9,10,11,12,13,14,15,16,17,18,19,20(4-422D)","김윤수,이동진",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수"
ARC2203-006,ARC2203,006,건축설계 3,2,6.0,전공필수,"월9,10,11,12,13,14,15,16,17,18,19,20,목9,10,11,12,13,14,15,16,17,18,19,20(2남512D)","박범진,장익수",절대평가,선수
ARC2302-001,ARC2302,001,건축환경계획,2,3.0,전공필수,"화7,8,9,수7,8,9(2남414)",김형섭,상대평가, 
ARC3104-001,ARC3104,001,근대건축사,3,3.0,전공필수,"금10,11,12,13,14,15(2남414)",이홍규,상대평가, 
ARC3105-001,ARC3105,001,건축디자인방법론,3,3.0,전공필수,"화1,2,3,4,5,6(60주년-507)",정경준,상대평가, 
ARC3106-001,ARC3106,001,주거계획,3,3.0,전공선택,"화10,11,12,수10,11,12(2남414)",조민정,상대평가, 
ARC3205-001,ARC3205,001,건축설계 5,3,6.0,전공필수,"월9,10,11,12,13,14,15,16,17,18,19,20,목9,10,11,12,13,14,15,16,17,18,19,20(4-407A)","임종엽,정우석",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수"
ARC3205-002,ARC3205,002,건축설계 5,3,6.0,전공필수,"월9,10,11,12,13,14,15,16,17,18,19,20,목9,10,11,12,13,14,15,16,17,18,19,20(4-407B)","김경배,이형진",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수"
ARC3205-003,ARC3205,003,건축설계 5,3,6.0,전공필수,"월9,10,11,12,13,14,15,16,17,18,19,20,목9,10,11,12,13,14,15,16,17,18,19,20(4-407C)","박지영,윤용권",절대평가,"설계과목의 경우 분반 별 담당교원이 변경될 수 있음. ,선수"
