course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
MCT1001-001,MCT1001,001,디지털논리회로,1,3.0,교양필수,"토9,10,11,12,13,14(60주년-101)",정건옥,상대평가, 
MTH1001-039,MTH1001,039,일반수학 1,1,3.0,교양필수,"토15,16,17,18,19,20(5동115)",김영국,상대평가, 
MCT2002-001,MCT2002,001,일반역학,2,3.0,교양필수,"토9,10,11,12,13,14(6-426)",이우형,상대평가, 
MCT2101-001,MCT2101,001,정역학,2,3.0,전공필수,"토1,2,3,4,5,6(6-426)",최종호,상대평가, 
MCT2103-001,MCT2103,001,CAD/CAM,2,3.0,전공필수,"화21,22,23,24,25,26(60주년-809)",최종호,절대평가, 
MCT2103-002,MCT2103,002,CAD/CAM,2,3.0,전공필수,"수21,22,23,24,25,26(60주년-809)",최종호,절대평가, 
MCT2601-001,MCT2601,001,회로이론,2,3.0,전공필수,"토15,16,17,18,19,20(6-426)",정건옥,상대평가, 
MCT3101-001,MCT3101,001,동역학,3,3.0,전공선택,"토9,10,11,12,13,14(9-203)",최종호,상대평가, 
MCT3302-001,MCT3302,001,전산기계해석공학,3,3.0,전공선택,"목21,22,23,24,25,26(6-326)",최종호,절대평가, 
MCT3605-001,MCT3605,001,임베디드시스템응용,3,3.0,전공선택,"화21,22,23,24,25,26(M-203)",정건옥,절대평가, 
MCT3605-002,MCT3605,002,임베디드시스템응용,3,3.0,전공선택,"수21,22,23,24,25,26(M-203)",정건옥,절대평가, 
MCT3606-001,MCT3606,001,액츄에이터개론,3,3.0,전공선택,"토15,16,17,18,19,20(9-203)",이우형,상대평가, 
MCT4102-001,MCT4102,001,자동제어,3,3.0,전공선택,"토1,2,3,4,5,6(M-205)",서정민,상대평가, 
MCT9005-001,MCT9005,001,공학프로젝트 1,3,3.0,전공선택,"월21,22,23,24,25,26(M-203)",정건옥,Pass/Fail, 
MCT9005-002,MCT9005,002,공학프로젝트 1,3,3.0,전공선택,"월21,22,23,24,25,26(M-205)",이우형,Pass/Fail, 
MCT9005-003,MCT9005,003,공학프로젝트 1,3,3.0,전공선택,"월21,22,23,24,25,26(M-301)",최종호,Pass/Fail, 
MCT3107-001,MCT3107,001,기구학,4,3.0,전공선택,"토1,2,3,4,5,6(M-301)",정달도,상대평가, 
MCT4103-001,MCT4103,001,전기기기,4,3.0,전공선택,"토9,10,11,12,13,14(M-205)",서정민,상대평가, 
MCT4107-001,MCT4107,001,센서및계측공학,4,3.0,전공선택,"수21,22,23,24,25,26(M-205)",정달도,상대평가, 
MCT4108-001,MCT4108,001,메카트로닉스 시스템설계,4,3.0,전공선택,"토15,16,17,18,19,20(6-326)",최종호,상대평가, 
MCT4605-001,MCT4605,001,펌웨어개발,4,3.0,전공선택,"목21,22,23,24,25,26(M-203)",이우형,절대평가, 
MCT4605-002,MCT4605,002,펌웨어개발,4,3.0,전공선택,"금21,22,23,24,25,26(M-203)",이우형,절대평가, 
MCT9003-001,MCT9003,001,공학프로젝트 3,4,3.0,전공선택,"토21,22,23,24,25,26(M-301)",정건옥,Pass/Fail, 
MCT9003-002,MCT9003,002,공학프로젝트 3,4,3.0,전공선택,"토21,22,23,24,25,26(M-306)",이우형,Pass/Fail, 
MCT9003-003,MCT9003,003,공학프로젝트 3,4,3.0,전공선택,"토21,22,23,24,25,26(9-303)",최종호,Pass/Fail, 
