course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
BIO1001-003,BIO1001,003,생명과학개론,1,3.0,교양필수,"화13,14,15,수10,11,12(5동506)",김정호,상대평가, 
OCN1005-002,OCN1005,002,일반해양학,1,3.0,교양필수,"화4,5,6,목4,5,6(5동115)",조형미,상대평가, 
FAN2106-001,FAN2106,001,공중보건학,2,3.0,전공선택,"수1,2,3,4,5,6(1-534)",박미나,상대평가, 
FAN2108-001,FAN2108,001,식품영양유기화학,2,3.0,전공선택,"수13,14,15,16,17,18(1-435)",노신정,상대평가, 
FAN2302-001,FAN2302,001,기초영양생화학,2,3.0,전공선택,"목1,2,3,4,5,6(1-435)",박미나,상대평가, 
FAN2401-001,FAN2401,001,조리원리 및 실습,2,3.0,전공선택,"금10,11,12,13,14,15,16,17(1-307)",김혜영,절대평가, 
STS1801-001,STS1801,001,일반통계학,2,3.0,교양필수,"화10,11,12,목10,11,12(5서360)",김지혜,상대평가, 
FAN3203-001,FAN3203,001,고급식품학,3,3.0,전공선택,"월13,14,15(1-307) /화1,2,3(1-534)",이상미,상대평가, 
FAN3204-001,FAN3204,001,식품미생물학실험,3,2.0,전공선택,"목10,11,12,13,14,15(504)",정현정,절대평가, 
FAN3306-001,FAN3306,001,고급영양학,3,3.0,전공선택,"월7,8,9,화4,5,6(1-534)",신다연,상대평가, 
FAN3307-001,FAN3307,001,영양교육 및 상담실습,3,3.0,전공선택,"화10,11,12,13,14,15,16,17(1-307)",이수경,절대평가, 
FAN3307-002,FAN3307,002,영양교육 및 상담실습,3,3.0,전공선택,"수10,11,12,13,14,15,16,17(1-307)",이수경,절대평가, 
FAN3308-001,FAN3308,001,생애주기영양학,3,3.0,전공선택,"월10,11,12,수4,5,6(1-307)",이수경,상대평가, 
FAN4210-001,FAN4210,001,발효식품학,3,3.0,전공선택,"월4,5,6,수7,8,9(1-435)",정현정,상대평가, 
FAN4208-001,FAN4208,001,식품분석 및 실험,4,3.0,전공필수,"화10,11,12,13,14,15,16,17(1-534)",이상미,절대평가, 
FAN4208-002,FAN4208,002,식품분석 및 실험,4,3.0,전공필수,"수10,11,12,13,14,15,16,17(1-534)",이상미,절대평가, 
FAN4209-001,FAN4209,001,식품가공학,4,3.0,전공선택,"목1,2,3,4,5,6(1-307)",노정해,상대평가, 
FAN4211-001,FAN4211,001,식품위생법규,4,2.0,전공선택,"수4,5,6,7(5서460)",최은희,상대평가, 
FAN4310-001,FAN4310,001,식사요법 및 실습,4,3.0,전공선택,"월10,11,12,13,14,15,16,17(1-534)",신다연,절대평가, 
FAN4416-001,FAN4416,001,단체급식,4,3.0,전공선택,"금1,2,3,4,5,6(1-534)",김혜영,상대평가, 
FAN4417-001,FAN4417,001,식품영양세미나,4,1.0,전공필수,"수1,2(1-435)","이수경,정현정,신다연,이상미",Pass/Fail, 
