course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
CHS1201-001,CHS1201,001,아동상담,1,3.0,전공필수,"화16,17,18,수16,17,18(9-505)",양성은,상대평가, 
CHS2102-001,CHS2102,001,보육과정,2,3.0,전공필수,"화10,11,12,수10,11,12(9-602)",이완정,상대평가, 
CHS2205-001,CHS2205,001,부모교육론,2,3.0,전공필수,"월1,2,3,4,5,6(9-414)",임진영,상대평가, 
CHS2209-001,CHS2209,001,특수아동 이해,2,3.0,전공선택,"월13,14,15,16,17,18(9-505)",안도연,상대평가, 
CHS2402-001,CHS2402,001,아동산업의 이해,2,3.0,전공선택,"목13,14,15,16,17,18(6-427)",김균희,상대평가, 
CHS3118-001,CHS3118,001,아동관찰 및 행동연구,3,3.0,전공선택,"금1,2,3,4,5,6(9-504)",한영숙,상대평가, 
CHS3215-001,CHS3215,001,가족상담,3,3.0,전공필수,"목1,2,3,4,5,6(9-414)",권영인,상대평가, 
CHS3404-001,CHS3404,001,아동교육콘텐츠개발,3,3.0,전공선택,"화7,8,9,수13,14,15(9-504)",홍예지,상대평가, 
CHS4214-001,CHS4214,001,발달진단 및 심리평가,3,3.0,전공선택,"수1,2,3,4,5,6(6-427)",김혜은,상대평가, 
CHS3214-001,CHS3214,001,놀이지도,4,3.0,전공선택,"화1,2,3,4,5,6(9-602)",홍예지,상대평가, 
CHS4110-001,CHS4110,001,보육교사론,4,3.0,전공필수,"금10,11,12,13,14,15(9-505)",이지현,상대평가, 
CHS4401-001,CHS4401,001,보육실습,4,3.0,전공선택,"화13,14,15,16,17,18,금16,17,18,19,20,21(9-515)","이완정,김균희",절대평가, 
