course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
ENR2104-001,ENR2104,001,에너지자원경제,전체,3.0,전공필수,셀0(웹강의),이용길,상대평가, 
ENR1101-001,ENR1101,001,에너지자원과 미래,1,1.0,전공필수,"목13,14(2북463A)","김진,편석준,신현돈,이용길,권상기,조홍근",Pass/Fail, 
MTH1001-023,MTH1001,023,일반수학 1,1,3.0,교양필수,"화1,2,3,목4,5,6(5동107B)",유자도,상대평가, 
ACE2101-018,ACE2101,018,공업수학 1,2,3.0,교양필수,"월4,5,6,수4,5,6(2북463A)",김진,상대평가, 
ENR2102-001,ENR2102,001,유체역학,2,3.0,전공선택,"화4,5,6,목4,5,6(2북463A)",조홍근,상대평가, 
ENR2106-001,ENR2106,001,신재생에너지,2,3.0,전공선택,"화1,2,3,목1,2,3(2북463A)",신현돈,상대평가, 
ENR2107-001,ENR2107,001,에너지열역학,2,3.0,전공선택,"화4,5,6,목4,5,6(2북463B)",권상기,상대평가, 
ENR2113-001,ENR2113,001,에너지자원지질,2,3.0,전공필수,"월1,2,3,수1,2,3(2북463A)",신현돈,상대평가, 
ENR3102-001,ENR3102,001,지구물리탐사,3,3.0,전공필수,"금1,2,3,4,5,6(2북463A)",강승구,상대평가, 
ENR3103-001,ENR3103,001,지구통계학,3,3.0,전공선택,"화10,11,12,목10,11,12(2북463A)",김진,절대평가,"영어, English"
ENR3111-001,ENR3111,001,에너지환경기술경영,3,3.0,전공선택,"월4,5,6,화7,8,9(2북463B)",이용길,절대평가,"영어, English"
ENR3202-001,ENR3202,001,암석역학 및 실험,3,4.0,전공선택,"화10,11,12,수10,11,12(2북463B) /목9,10,11,12(서-009)",권상기,절대평가,"영어, English"
ENR3313-001,ENR3313,001,시추 및 지층평가공학,3,3.0,전공선택,"월7,8,9,수7,8,9(2북463B)",조홍근,절대평가,"영어, English"
ENR3315-001,ENR3315,001,지오에너지공학개론,3,3.0,전공필수,"월9,10,11,12,수9,10,11,12(2북463A)",신현돈,절대평가,"영어, English"
ENR4104-001,ENR4104,001,풍력에너지,4,3.0,전공선택,"월13,14,15,수13,14,15(2북463A)",김진,절대평가,"영어, English"
ENR4105-001,ENR4105,001,순환경제,4,3.0,전공선택,"월1,2,3,화1,2,3(2북463B)",이용길,절대평가,"영어, English"
ENR4311-001,ENR4311,001,미래가스공학,4,3.0,전공선택,"화7,8,9,수16,17,18(2북463A)",신현돈,상대평가, 
ENR4312-001,ENR4312,001,저류 모델링 및 시뮬레이션,4,3.0,전공선택,"월13,14,15,수13,14,15(2북463B)",조홍근,절대평가,"영어, English"
