course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
PHE1100-001,PHE1100,001,신체활동 리더십 1,1,1.0,전공선택,"금5,6(서-401)",김병준,Pass/Fail, 
PHE1112-001,PHE1112,001,기계체조초급교수법,1,1.0,전공필수,"월17,18,19,20(5서160)",박희억,절대평가, 
PHE1112-002,PHE1112,002,기계체조초급교수법,1,1.0,전공필수,"월21,22,23,24(5서160)",박희억,절대평가, 
PHE1119-001,PHE1119,001,스포츠이벤트,1,3.0,전공선택,"금10,11,12,13,14,15(서-401)",한이준,상대평가, 
PHE1122-001,PHE1122,001,운동기능과 인체구조,1,2.0,전공선택,"월9,10,11,12(서-401)",소병훈,상대평가, 
PHE2100-001,PHE2100,001,신체활동 리더십 2,2,1.0,전공선택,"금5,6(서-406)",김영욱,Pass/Fail, 
PHE2107-001,PHE2107,001,신체활동AI스마트기술론,2,2.0,전공선택,"화13,14,15,16(서-406)",김영욱,절대평가, 
PHE2112-001,PHE2112,001,핸드볼교수법,2,1.0,전공선택,"금1,2,3,4(농구장)",김상우,절대평가, 
PHE2118-001,PHE2118,001,건강교육,2,2.0,전공선택,"목9,10,11,12(서-401)",장준호,상대평가, 
PHE2163-001,PHE2163,001,운동학습및심리,2,3.0,전공필수,"월1,2,3,4,5,6(서-401)",김병준,상대평가, 
PHE2163-002,PHE2163,002,운동학습및심리,2,3.0,전공필수,"화1,2,3,4,5,6(서-406)",김병준,상대평가, 
PHE2564-001,PHE2564,001,체육교육론,2,3.0,전공필수,"수1,2,3,4,5,6(서-401)",권민정,상대평가, 
PHE2564-002,PHE2564,002,체육교육론,2,3.0,전공필수,"수13,14,15,16,17,18(서-401)",권민정,상대평가, 
PHE2663-001,PHE2663,001,스포츠경향분석,2,2.0,전공선택,"목4,5,6,7(서-406)",권영문,상대평가, 
PHE3118-001,PHE3118,001,운동과 영양,3,2.0,전공선택,"목1,2,3,4(서-401)",소병훈,상대평가, 
PHE3121-001,PHE3121,001,배구교수법,3,1.0,전공선택,"월9,10,11,12(배구장)",이상래,절대평가, 
PHE3131-001,PHE3131,001,농구교수법,3,1.0,전공선택,"목5,6,7,8(농구장)",양희연,절대평가, 
PHE3142-001,PHE3142,001,야영훈련,3,2.0,전공선택,"목13,14,15,16(서-406)",김영욱,절대평가, 
PHE3152-001,PHE3152,001,체육논리및논술,3,2.0,전공필수,"화1,2,3,4(서-401)",권민정,상대평가, 
PHE3152-002,PHE3152,002,체육논리및논술,3,2.0,전공필수,"화9,10,11,12(서-406)",권민정,상대평가, 
PHE3731-001,PHE3731,001,학교현장 체육통계,3,2.0,전공선택,"수4,5,6,7(5동116A)",오수학,절대평가, 
PHE3933-001,PHE3933,001,체육교수학습론,3,3.0,전공선택,"월1,2,3,4,5,6(서-406)",조미혜,상대평가, 
EDC4109-008,EDC4109,008,교육실습,4,2.0,교직과정,"수1,2,3,4(서-406)",조미혜,절대평가, 
EDC4109-009,EDC4109,009,교육실습,4,2.0,교직과정,"수5,6,7,8(서-406)",조미혜,절대평가, 
PHE4119-001,PHE4119,001,운동종합실기,4,2.0,전공선택,"월13,14,15,16(에이스수영) /수13,14,15,16(운동장트랙)","서민석,한이준",절대평가, 
PHE4171-001,PHE4171,001,운동검사처방,4,2.0,전공선택,"목5,6,7,8(서-401)",박진한,상대평가, 
PHE4711-001,PHE4711,001,체육현장연구방법론,4,2.0,전공선택,"화5,6,7,8(서-401)",오수학,상대평가, 
