A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1142,미래사회와 소프트웨어-이공계열,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-5.자연, 생명, 환경",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양영역,,NUR1005,해부생리학 1,2.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,NUR1006,해부생리학실습 1,1.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,NUR1016,의사소통론,2.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,NUR1019,기초자연과학,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,NUR2002,미생물학,2.0,2학년(1학기),
교양필수,계열교양영역,계열교양영역,,NUR2003,해부생리학 2,3.0,2학년(1학기),
교양필수,계열교양영역,계열교양영역,,NUR2004,해부생리학실습 2,1.0,2학년(1학기),
교양필수,계열교양영역,계열교양영역,,NUR2008,약리학,2.0,2학년(2학기),
교양필수,계열교양영역,계열교양영역,,NUR2023,병태생리학,2.0,2학년(2학기),
교양필수,계열교양영역,계열교양영역,,NUR2026,건강사정 이론 및 실습,2.0,2학년(2학기),
교양필수,계열교양영역,계열교양영역,,NUR4002,간호연구,2.0,4학년(1학기),
교양필수,계열교양영역,계열교양영역,,NUR4023,간호윤리,1.0,4학년(2학기),
전공필수,,간호관리학,전공핵심,NUR4016,간호관리학 1,3.0,3학년(1학기),
전공필수,,간호관리학,전공집중,NUR4017,간호관리학 2,2.0,4학년(1학기),
전공필수,,간호관리학,,NUR4031,간호관리학실습1,1.0,4학년(1학기),
전공필수,,간호관리학,,NUR4032,간호관리학실습2,1.0,4학년(2학기),
전공필수,,공통,전공핵심,NUR1015,간호학개론,1.0,1학년(1학기),
전공필수,,공통,,NUR3030,통합간호시뮬레이션실습1,1.0,3학년(1학기),
전공필수,,공통,전공핵심,NUR4003,보건의료법규,1.0,4학년(2학기),
전공필수,,공통,전공핵심,NUR4019,종합간호실습,2.0,4학년(2학기),
전공필수,,공통,,NUR4033,통합간호시뮬레이션실습2,1.0,4학년(2학기),
전공필수,,기본간호학,전공핵심,NUR2010,기본간호학 1,2.0,2학년(1학기),
전공필수,,기본간호학,전공집중,NUR2011,기본간호학 2,2.0,2학년(2학기),
전공필수,,기본간호학,전공핵심,NUR2012,기본간호학실습 1,1.0,2학년(1학기),
전공필수,,기본간호학,전공핵심,NUR2013,기본간호학실습 2,1.0,2학년(2학기),
전공필수,,노인간호학,,NUR2022,노인간호학,2.0,2학년(2학기),
전공필수,,노인간호학,,NUR3026,노인간호학실습,1.0,3학년(1학기),
전공필수,,성인간호학,전공핵심,NUR3006,성인간호학 2,2.0,3학년(1학기),
전공필수,,성인간호학,전공핵심,NUR3008,성인간호학 4,2.0,3학년(2학기),
전공필수,,성인간호학,전공핵심,NUR3012,성인간호학실습 2,3.0,3학년(2학기),
전공필수,,성인간호학,,NUR3024,성인간호학1,3.0,3학년(1학기),
전공필수,,성인간호학,,NUR3025,성인간호학3,3.0,3학년(2학기),
전공필수,,성인간호학,,NUR3029,성인간호학실습1,2.0,3학년(1학기),
전공필수,,성인간호학,전공핵심,NUR4009,성인간호학실습 3,1.0,4학년(1학기),
전공필수,,성인간호학,전공핵심,NUR4010,성인간호학실습 4,1.0,4학년(2학기),
전공필수,,아동간호학,전공핵심,NUR3003,아동간호학실습 1,1.0,3학년(1학기),
전공필수,,아동간호학,전공핵심,NUR3004,아동간호학실습 2,1.0,3학년(2학기),
전공필수,,아동간호학,,NUR3027,아동간호학1,3.0,3학년(1학기),
전공필수,,아동간호학,,NUR3028,아동간호학2,2.0,3학년(2학기),
전공필수,,여성건강간호학,,NUR4027,여성건강간호학 1,3.0,4학년(1학기),
전공필수,,여성건강간호학,,NUR4028,여성건강간호학 2,2.0,4학년(2학기),
전공필수,,여성건강간호학,,NUR4029,여성건강간호학실습 1,1.0,4학년(1학기),
전공필수,,여성건강간호학,,NUR4030,여성건강간호학실습 2,1.0,4학년(2학기),
전공필수,,정신간호학,전공핵심,NUR3013,정신간호학 1,3.0,2학년(2학기),
전공필수,,정신간호학,전공집중,NUR3014,정신간호학 2,2.0,3학년(1학기),
전공필수,,정신간호학,,NUR3031,정신간호학실습1,1.0,3학년(2학기),
전공필수,,정신간호학,전공핵심,NUR4012,정신간호학실습 2,1.0,4학년(1학기),
전공필수,,지역사회간호학,전공핵심,NUR3022,지역사회간호학 1,2.0,3학년(2학기),
전공필수,,지역사회간호학,전공핵심,NUR4014,지역사회간호학실습 1,1.0,4학년(1학기),
전공필수,,지역사회간호학,전공핵심,NUR4015,지역사회간호학실습 2,1.0,4학년(2학기),
전공필수,,지역사회간호학,전공집중,NUR4024,지역사회간호학 2,3.0,4학년(1학기),
전공선택,,공통,,NUR1017,건강격차와 복지사회,2.0,1학년(1학기),
전공선택,,공통,,NUR1018,심리학개론,3.0,1학년(2학기),
전공선택,,공통,전공기반,NUR2014,식이요법,2.0,2학년(1학기),
전공선택,,공통,,NUR2024,환자안전,2.0,3학년(1학기),
전공선택,,공통,,NUR2025,보건의료데이터 분석,2.0,2학년(2학기),
전공선택,,공통,전공기반,NUR3023,보건교육과 건강증진,2.0,3학년(2학기),
전공선택,,공통,,NUR3032,중환자간호입문,2.0,3학년(1학기),
전공선택,,공통,,NUR4034,임상간호추론,2.0,4학년(1학기),
전공선택,,공통,,NUR4035,트라우마 기반 간호,2.0,4학년(2학기),
전공선택,,공통,,NUR4036,항공건강증진,2.0,4학년(2학기),
