A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-5.자연, 생명, 환경",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,일반교양-7.SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양,,EDC1106,AI의 이해와 교육적 활용,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양,,EDC1111,사회 변화와 교사 역량,2.0,"전체(1,2학기)",
교양필수,계열교양영역,계열교양,,EDC1112,교육봉사활동 1,1.0,1학년(2학기),
교양필수,계열교양영역,계열교양,,EDC2107,특수교육학개론,2.0,"전체(1,2학기)",
교양필수,계열교양영역,계열교양,,EDC3120,디지털교육,1.0,"3학년(1,2학기)",
교양필수,계열교양영역,계열교양,,EDC3311,학교폭력예방 및 학생의 이해,2.0,"전체(1,2학기)",
교양필수,계열교양영역,계열교양,,EDC4109,교육실습,2.0,4학년(1학기),
교양필수,계열교양영역,계열교양,,EDC4115,교직실무,1.0,4학년(1학기),
교양필수,계열교양영역,계열교양,,EDC9113,교육봉사활동 2,1.0,2학년(1학기),
교양필수,계열교양영역,계열교양,,EDC1100,교육철학및교육사,2.0,"전체(1,2학기)",교직이론영역(택6)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC1101,교육학개론,2.0,"전체(1,2학기)",교직이론영역(택6)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC1104,교육심리,2.0,"전체(1,2학기)",교직이론영역(택6)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC1105,교육사회,2.0,"전체(1,2학기)",교직이론영역(택6)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC2101,교육과정,2.0,"전체(1,2학기)",교직이론영역(택6)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC2103,교육방법 및 교육공학,2.0,"전체(1,2학기)",교직이론영역(택6)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC3102,교육평가,2.0,"전체(1,2학기)",교직이론영역(택6)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC3106,교육행정 및 교육경영,2.0,"전체(1,2학기)",교직이론영역(택6)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC3118,학생 생활지도 및 상담,2.0,"3학년(1,2학기)",교직이론영역(택6)(택 6과목)
전공필수,,전공기초,전공기반,EDU1110,교육학입문,3.0,1학년(1학기),
전공필수,,전공기초,전공기반,EDU1160,교육학 진로탐색,1.0,1학년(1학기),
전공필수,,전공기초,전공기반,EDU2111,교육학논리및논술,3.0,2학년(1학기),
전공필수,,전공기초,전공기반,EDU2140,교육학교육론,3.0,2학년(1학기),
전공필수,,전공기초,전공기반,EDU2220,교육조사방법론,3.0,2학년(2학기),
전공필수,,전공기초,,EDU2235,교육경영론,3.0,3학년(1학기),
전공필수,,전공기초,,EDU2245,평생교육론,3.0,2학년(1학기),
전공필수,,전공기초,전공기반,EDU3142,교육학교재연구및지도법,3.0,3학년(2학기),
전공필수,,전공기초,,EDU3211,현대교육사조,3.0,3학년(2학기),
전공필수,,전공기초,,EDU3253,인적자원개발론,3.0,3학년(1학기),
전공필수,,전공기초,,EDU3262,테크놀로지의교육적활용,3.0,2학년(1학기),
전공필수,,전공심화,,EDU2226,학교상담론,3.0,2학년(2학기),
전공선택,,전공기초,전공핵심,EDU2130,평생교육경영론,3.0,2학년(2학기),
전공선택,,전공기초,전공핵심,EDU2251,평생교육방법론,3.0,2학년(2학기),
전공선택,,전공기초,,EDU2253,교육기초통계,3.0,2학년(1학기),
전공선택,,전공기초,,EDU3139,컨텍스트분석,3.0,3학년(2학기),
전공선택,,전공기초,전공핵심,EDU3145,평생교육프로그램개발론,3.0,3학년(2학기),
전공선택,,전공기초,,EDU3273,교육과 빅데이터,3.0,3학년(1학기),
전공선택,,전공기초,,EDU4111,융합교육의 이해와 교수학습설계,3.0,4학년(1학기),
전공선택,,전공심화,전공핵심,EDU1220,가정교육과 부모자녀관계,3.0,1학년(2학기),
전공선택,,전공심화,전공핵심,EDU2222,리더십개발,3.0,2학년(2학기),
전공선택,,전공심화,전공핵심,EDU2223,청년발달,3.0,2학년(1학기),
전공선택,,전공심화,전공핵심,EDU2225,인간수행공학,3.0,2학년(2학기),
전공선택,,전공심화,,EDU3111,성인학습및상담,3.0,3학년(1학기),
전공선택,,전공심화,전공핵심,EDU3144,러닝 사이언스,3.0,3학년(2학기),
전공선택,,전공심화,전공핵심,EDU3210,조직개발,3.0,4학년(2학기),
전공선택,,전공심화,전공핵심,EDU3223,발달심리,3.0,3학년(2학기),
전공선택,,전공심화,전공핵심,EDU3261,교수이론과 설계,3.0,3학년(2학기),
전공선택,,전공심화,전공핵심,EDU3272,문제행동과 행동지원,3.0,3학년(2학기),
전공선택,,전공심화,전공집중,EDU4110,학습조직과 실천공동체,3.0,4학년(2학기),
전공선택,,전공심화,전공집중,EDU4210,HRD프로그램평가,3.0,4학년(2학기),
전공선택,,전공심화,전공집중,EDU4225,상담심리,3.0,4학년(1학기),
전공선택,,전공심화,전공집중,EDU4274,특수아상담,3.0,4학년(2학기),
