A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-3.문학, 예술, 상징",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-5.자연, 생명, 환경",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,일반교양-7.SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양,,EDC1106,AI의 이해와 교육적 활용,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양,,EDC1111,사회 변화와 교사 역량,2.0,1학년(2학기),
교양필수,계열교양영역,계열교양,,EDC1112,교육봉사활동 1,1.0,1학년(2학기),
교양필수,계열교양영역,계열교양,,EDC2107,특수교육학개론,2.0,"전체(1,2학기)",
교양필수,계열교양영역,계열교양,,EDC3120,디지털교육,1.0,전체(2학기),
교양필수,계열교양영역,계열교양,,EDC3311,학교폭력예방 및 학생의 이해,2.0,"전체(1,2학기)",
교양필수,계열교양영역,계열교양,,EDC4109,교육실습,2.0,4학년(1학기),
교양필수,계열교양영역,계열교양,,EDC4115,교직실무,1.0,4학년(1학기),
교양필수,계열교양영역,계열교양,,EDC9113,교육봉사활동 2,1.0,2학년(1학기),
교양필수,계열교양영역,계열교양,,EDC1100,교육철학및교육사,2.0,"전체(1,2학기)",교직이론영역(최소 택6 필수)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC1101,교육학개론,2.0,"전체(1,2학기)",교직이론영역(최소 택6 필수)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC1104,교육심리,2.0,"전체(1,2학기)",교직이론영역(최소 택6 필수)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC1105,교육사회,2.0,"전체(1,2학기)",교직이론영역(최소 택6 필수)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC2101,교육과정,2.0,"전체(1,2학기)",교직이론영역(최소 택6 필수)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC2103,교육방법 및 교육공학,2.0,"전체(1,2학기)",교직이론영역(최소 택6 필수)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC3102,교육평가,2.0,"전체(1,2학기)",교직이론영역(최소 택6 필수)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC3106,교육행정 및 교육경영,2.0,"전체(1,2학기)",교직이론영역(최소 택6 필수)(택 6과목)
교양필수,계열교양영역,계열교양,,EDC3118,학생 생활지도 및 상담,2.0,"전체(1,2학기)",교직이론영역(최소 택6 필수)(택 6과목)
전공필수,,고전문학,전공기반,EKR1423,국문학개론,3.0,1학년(1학기),
전공필수,,고전문학,전공핵심,EKR2415,국문학사,3.0,2학년(1학기),
전공필수,,교과교육,전공기반,EKR1121,국어과 논리 및 논술,3.0,1학년(2학기),
전공필수,,교과교육,,EKR1133,국어과 창의적 체험 활동과 진로탐색,3.0,1학년(2학기),
전공필수,,교과교육,,EKR2112,국어교육론,3.0,2학년(1학기),
전공필수,,교과교육,전공핵심,EKR3111,국어교재 연구 및 지도법,3.0,3학년(2학기),
전공필수,,국어학,전공기반,EKR1311,국어학개론,3.0,1학년(1학기),
전공필수,,국어학,,EKR3211,국어문법론,3.0,2학년(2학기),
전공필수,,국어학,전공핵심,EKR3321,국어사,3.0,3학년(1학기),
전공필수,,현대문학,전공핵심,EKR2516,소설교육론,3.0,2학년(1학기),
전공필수,,현대문학,전공핵심,EKR3514,시교육론,3.0,3학년(1학기),
전공선택,,고전문학,전공핵심,EKR2222,한문교육,3.0,3학년(1학기),
전공선택,,고전문학,전공핵심,EKR2414,고전문학교육론,3.0,4학년(1학기),
전공선택,,고전문학,전공핵심,EKR2423,고전시가교육론,3.0,2학년(2학기),
전공선택,,고전문학,전공핵심,EKR3415,고전산문교육론,3.0,3학년(2학기),
전공선택,,고전문학,전공집중,EKR4412,고전작가의 이해,3.0,4학년(1학기),
전공선택,,고전문학,전공핵심,EKR4413,구비문학교육론,3.0,4학년(1학기),
전공선택,,교과교육,,EKR2123,중등학교 국어교육 문제해결,3.0,2학년(2학기),
전공선택,,교과교육,,EKR2211,중등수업의 교과 융합적 설계,2.0,4학년(1학기),
전공선택,,교과교육,전공핵심,EKR3126,국어과 교육과정 및 평가,3.0,3학년(2학기),
전공선택,,교과교육,전공집중,EKR4122,국어교육연습,3.0,4학년(2학기),
전공선택,,국어교육,,EKR1323,언어학교육론,3.0,1학년(2학기),
전공선택,,국어교육,,EKR2526,한국어 자연어 처리와 에듀테크,3.0,2학년(1학기),
전공선택,,국어교육,전공핵심,EKR3223,한국어교육론,3.0,3학년(1학기),
전공선택,,국어교육,전공핵심,EKR3225,매체와 국어교육,3.0,3학년(2학기),
전공선택,,국어교육,,EKR2213,작문교육론,3.0,2학년(1학기),기본이수 5영역-의사소통교육(최소 택1 필수)(택 1과목)
전공선택,,국어교육,,EKR2223,화법교육론,3.0,2학년(2학기),기본이수 5영역-의사소통교육(최소 택1 필수)(택 1과목)
전공선택,,국어교육,,EKR3214,독서교육론,3.0,3학년(1학기),기본이수 5영역-의사소통교육(최소 택1 필수)(택 1과목)
전공선택,,국어학,전공핵심,EKR2313,국어정서법교육,3.0,2학년(1학기),
전공선택,,국어학,전공핵심,EKR2326,국어음운론,3.0,2학년(2학기),
전공선택,,국어학,전공핵심,EKR3316,국어의미론,3.0,3학년(1학기),
전공선택,,국어학,전공집중,EKR3326,국어화용론,3.0,3학년(2학기),
전공선택,,국어학,전공집중,EKR4321,중세국어강독,3.0,4학년(2학기),
전공선택,,현대문학,전공기반,EKR1512,문학원론,3.0,1학년(2학기),
전공선택,,현대문학,전공기반,EKR1524,현대문학교육,3.0,1학년(2학기),
전공선택,,현대문학,전공핵심,EKR2524,현대소설선독,3.0,2학년(2학기),
전공선택,,현대문학,전공핵심,EKR3522,현대문학사,3.0,3학년(1학기),
전공선택,,현대문학,전공집중,EKR4514,현대작가의 이해,3.0,4학년(1학기),
전공선택,,현대문학,전공핵심,EKR4523,현대시선독,3.0,3학년(2학기),
