A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1143,미래사회와 소프트웨어-IT계열,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,ACE1312,이산수학,3.0,2학년(1학기),
교양필수,학과(부)교양필수,,,ACE2105,선형대수,3.0,2학년(1학기),
교양필수,계열교양영역,,,MTH1001,일반수학 1,3.0,1학년(1학기),
교양필수,계열교양영역,,,MTH1002,일반수학 2,3.0,1학년(2학기),
교양필수,계열교양영역,,,BIO1001,생명과학개론,3.0,1학년(2학기),자연과학 : 3과목 중 택1(택 1과목)
교양필수,계열교양영역,,,CHM1023,일반화학,3.0,1학년(2학기),자연과학 : 3과목 중 택1(택 1과목)
교양필수,계열교양영역,,,PHY1005,일반물리학,3.0,1학년(2학기),자연과학 : 3과목 중 택1(택 1과목)
교양필수,계열교양영역,,,CBA1102,경영학원론,3.0,1학년(2학기),"경영,사회과학 : 3과목 중 택 1(택 1과목)"
교양필수,계열교양영역,,,CBA1103,경제학,3.0,1학년(2학기),"경영,사회과학 : 3과목 중 택 1(택 1과목)"
교양필수,계열교양영역,,,CBA1106,회계원론,3.0,1학년(2학기),"경영,사회과학 : 3과목 중 택 1(택 1과목)"
전공필수,,데이터사이언스,,DSC1001,데이터사이언스 개론,3.0,1학년(1학기),
전공필수,,데이터사이언스,,DSC1002,기초통계학,3.0,1학년(2학기),
전공필수,,데이터사이언스,,DSC2001,데이터사이언스 프로그래밍,3.0,1학년(2학기),
전공필수,,데이터사이언스,,DSC2002,데이터베이스,3.0,2학년(2학기),
전공필수,,데이터사이언스,,DSC2003,통계적 추론,3.0,2학년(1학기),
전공필수,,데이터사이언스,,DSC2004,회귀분석,3.0,2학년(2학기),
전공필수,,데이터사이언스,,DSC2005,수치해석 및 최적화,3.0,2학년(2학기),
전공필수,,데이터사이언스,,DSC3001,통계적 기계학습,3.0,3학년(1학기),
전공선택,,,,DSC4004,의료 데이터 분석론,3.0,4학년(1학기),
전공선택,,데이터사이언스,,DSC1003,객체지향프로그래밍,3.0,2학년(1학기),
전공선택,,데이터사이언스,,DSC1004,데이터 경제 기초,3.0,1학년(2학기),
전공선택,,데이터사이언스,,DSC2006,자료구조론,3.0,2학년(2학기),
전공선택,,데이터사이언스,,DSC2007,인터넷프로그래밍,3.0,2학년(2학기),
전공선택,,데이터사이언스,,DSC2008,통계분석방법,3.0,2학년(1학기),
전공선택,,데이터사이언스,,DSC2009,사회조사방법론,3.0,2학년(1학기),
전공선택,,데이터사이언스,,DSC3002,빅데이터시스템,3.0,3학년(1학기),
전공선택,,데이터사이언스,,DSC3003,다변량 데이터 분석론,3.0,3학년(1학기),
전공선택,,데이터사이언스,,DSC3004,계량경제학,3.0,3학년(1학기),
전공선택,,데이터사이언스,,DSC3005,고객 데이터 분석론,3.0,3학년(1학기),
전공선택,,데이터사이언스,,DSC3006,인공지능,3.0,3학년(2학기),
전공선택,,데이터사이언스,,DSC3007,영상 데이터 분석론,3.0,3학년(2학기),
전공선택,,데이터사이언스,,DSC3008,경제 데이터 분석론,3.0,3학년(2학기),
전공선택,,데이터사이언스,,DSC3009,금융 데이터 분석론,3.0,3학년(2학기),
전공선택,,데이터사이언스,,DSC3010,센서 데이터 분석론,3.0,4학년(1학기),
전공선택,,데이터사이언스,,DSC3011,국방 데이터 분석론,3.0,3학년(2학기),
전공선택,,데이터사이언스,,DSC4001,분산처리 기초,3.0,1학년(1학기),
전공선택,,데이터사이언스,,DSC4002,베이지안 분석 방법론,3.0,4학년(1학기),
전공선택,,데이터사이언스,,DSC4003,시공간 데이터 분석론,3.0,4학년(2학기),
전공선택,,데이터사이언스,,DSC4005,데이터사이언스 세미나,1.0,4학년(2학기),
전공선택,,데이터사이언스,,DSC4006,데이터분석 사례연구,3.0,4학년(1학기),
전공선택,,데이터사이언스,,DSC4007,데이터분석 프로젝트,3.0,4학년(2학기),
