A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-5.자연, 생명, 환경",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양영역,,ARS1001,미술과여행,3.0,전체(1학기),계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1002,디지털 시대의 미술,3.0,전체(2학기),계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1103,여가와삶,3.0,전체(1학기),계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1104,파워바디플랜,3.0,전체(1학기),계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1105,현대사회와스포츠,3.0,전체(2학기),계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1113,영화와 대중문화,3.0,"전체(1,2학기)",계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1114,공연예술의이해,3.0,"전체(1,2학기)",계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1600,패션브랜드의 세계,3.0,전체(1학기),계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1601,패션디자인과 스타일,3.0,전체(2학기),계열교양영역(택 1과목)
전공필수,,Design Thinking,전공핵심,CDN2400,비주얼에세이,3.0,2학년(2학기),
전공필수,,Design Thinking,전공핵심,CDN3115,지역사회와디자인,3.0,3학년(1학기),
전공선택,,영상콘텐츠디자인,,CDN1111,애니메이션 스토리텔링,3.0,1학년(2학기),
전공선택,,영상콘텐츠디자인,전공기반,CDN1320,사진과영상,3.0,1학년(1학기),
전공선택,,영상콘텐츠디자인,,CDN2220,캐릭터디자인,3.0,2학년(1학기),
전공선택,,영상콘텐츠디자인,전공핵심,CDN2251,모션그래픽스,3.0,2학년(2학기),
전공선택,,영상콘텐츠디자인,전공집중,CDN2501,AR/VR 디자인,3.0,3학년(1학기),
전공선택,,영상콘텐츠디자인,,CDN3253,엔터테인먼트영상디자인,3.0,3학년(1학기),
전공선택,,영상콘텐츠디자인,,CDN3356,엔터테인먼트디자인 스타트업,3.0,4학년(2학기),
전공선택,,영상콘텐츠디자인,,CDN3357,만화애니콘텐츠디자인,3.0,3학년(2학기),
전공선택,,영상콘텐츠디자인,전공집중,CDN4356,미디어콘텐츠프로젝트,3.0,4학년(1학기),
전공선택,,인터랙티브 디자인,,CDN2111,스마트Eco디자인,3.0,2학년(1학기),
전공선택,,인터랙티브 디자인,,CDN2221,피지컬컴퓨팅,3.0,2학년(2학기),
전공선택,,인터랙티브 디자인,,CDN2222,인터랙티브디자인,3.0,2학년(2학기),
전공선택,,인터랙티브 디자인,,CDN2224,지속가능디자인,3.0,2학년(2학기),
전공선택,,인터랙티브 디자인,전공기반,CDN2299,3D 모델링&프린팅,3.0,2학년(2학기),
전공선택,,인터랙티브 디자인,,CDN3211,스마트도시디자인,3.0,3학년(2학기),
전공선택,,인터랙티브 디자인,,CDN3311,라이프시스템디자인,3.0,3학년(1학기),
전공선택,,인터랙티브 디자인,,CDN3322,디자인프로그래밍,3.0,3학년(1학기),
전공선택,,인터랙티브 디자인,,CDN3329,UI 디자인,3.0,3학년(1학기),
전공선택,,인터랙티브 디자인,,CDN3349,UX 디자인,3.0,3학년(2학기),
전공선택,,커뮤니케이션디자인,전공기반,CDN1305,기초시각디자인,3.0,1학년(2학기),
전공선택,,커뮤니케이션디자인,전공기반,CDN1310,디자인의 원리,3.0,1학년(1학기),
전공선택,,커뮤니케이션디자인,전공핵심,CDN2314,타이포그래피,3.0,2학년(1학기),
전공선택,,커뮤니케이션디자인,전공핵심,CDN2315,타이포그래피심화연구,3.0,2학년(2학기),
전공선택,,커뮤니케이션디자인,,CDN2317,브랜드디자인,3.0,2학년(2학기),
전공선택,,커뮤니케이션디자인,전공핵심,CDN3257,일러스트레이션,3.0,3학년(2학기),
전공선택,,커뮤니케이션디자인,,CDN3318,아이덴티티디자인,3.0,3학년(1학기),
전공선택,,커뮤니케이션디자인,전공핵심,CDN3328,광고디자인,3.0,3학년(2학기),
전공선택,,커뮤니케이션디자인,전공기반,CDN3331,퍼블릭케이션 디자인,3.0,3학년(1학기),
전공선택,,커뮤니케이션디자인,전공핵심,CDN3353,아이덴티티심화연구,3.0,3학년(2학기),
전공선택,,커뮤니케이션디자인,전공집중,CDN4347,그래픽프로젝트,3.0,4학년(1학기),
전공선택,,커뮤니케이션디자인,전공핵심,CDN4408,포트폴리오,1.0,4학년(2학기),
전공선택,,Design Thinking,,CDN1001,H.O.S.T. 미디어랩 1,1.0,전체(1학기),
전공선택,,Design Thinking,,CDN1002,H.O.S.T. 미디어랩 2,1.0,전체(2학기),
전공선택,,Design Thinking,,CDN1003,H.O.S.T. 미디어랩 3,1.0,전체(1학기),
전공선택,,Design Thinking,,CDN1004,H.O.S.T. 미디어랩 4,1.0,전체(2학기),
전공선택,,Design Thinking,전공기반,CDN1124,디자인사,3.0,1학년(2학기),
전공선택,,Design Thinking,전공핵심,CDN2126,디자인세미나,3.0,2학년(1학기),
전공선택,,Design Thinking,,CDN2223,디자인비즈니스와 창업,3.0,4학년(2학기),
