A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,기초교양,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,기초교양,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),
교양필수,대학교교양필수,기초교양,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(1학기),
교양필수,대학교교양필수,기초교양,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,기초교양,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,기초교양,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,기초교양,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,중점교양,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(2학기),
교양필수,대학교교양필수,중점교양,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,"1학년(1,2학기)",
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-3.문학, 예술, 상징",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-5.자연, 생명, 환경",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양영역,,ARS1001,미술과여행,3.0,전체(1학기),계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1002,디지털 시대의 미술,3.0,전체(2학기),계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1103,여가와삶,3.0,전체(1학기),계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1105,현대사회와스포츠,3.0,전체(2학기),계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1113,영화와 대중문화,3.0,"전체(1,2학기)",계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1114,공연예술의이해,3.0,"전체(1,2학기)",계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1500,세계디자인여행,3.0,전체(1학기),계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1503,사진과 영상의 이해,3.0,전체(2학기),계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1505,오페라속의 삶과 예술,3.0,"1학년(1,2학기)",계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1600,패션브랜드의 세계,3.0,전체(1학기),계열교양영역(택 1과목)
