A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1142,미래사회와 소프트웨어-이공계열,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-3.문학, 예술, 상징",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양영역,,CHM1021,화학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,CHM1022,화학 2,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,CHM1028,화학실험 1,1.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,CHM1029,화학실험 2,1.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,MTH1001,일반수학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,MTH1002,일반수학 2,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,PHY1001,물리학 1,3.0,"1학년(1,2학기)",
교양필수,계열교양영역,계열교양영역,,PHY1002,물리학 2,3.0,"1학년(1,2학기)",
교양필수,계열교양영역,계열교양영역,,PHY1003,물리학실험 1,1.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,PHY1004,물리학실험 2,1.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,PHY1114,고급물리학 1 - Inha Honors Course,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,PHY1115,고급물리학 2 - Inha Honors Course,3.0,1학년(2학기),
전공필수,,공통,,PHY2001,고전역학 1,3.0,2학년(1학기),
전공필수,,공통,,PHY2002,고전역학 2,3.0,2학년(2학기),
전공필수,,공통,,PHY2011,전자기학 1,3.0,2학년(2학기),
전공필수,,공통,,PHY2012,전자기학 2,3.0,3학년(1학기),
전공필수,,공통,전공핵심,PHY2204,수리물리학 1,3.0,2학년(1학기),
전공필수,,공통,전공핵심,PHY2501,전자물리실험,1.0,2학년(1학기),
전공필수,,공통,,PHY2520,현대물리실험,1.0,2학년(1학기),
전공필수,,공통,,PHY2544,고급전자물리실험,2.0,2학년(2학기),
전공필수,,공통,,PHY3021,양자물리학 1,3.0,3학년(1학기),
전공필수,,공통,,PHY3022,양자물리학 2,3.0,3학년(2학기),
전공필수,,공통,,PHY3031,열 및 통계역학 1,3.0,3학년(1학기),
전공필수,,공통,,PHY4822,물리학 종합설계,3.0,"3학년(1,2학기)",
전공필수,,광학,,PHY3514,광학실험,2.0,3학년(1학기),
전공필수,,응집물질물리,,PHY4517,응집물질물리실험,2.0,3학년(2학기),
전공선택,,공통,,PHY2017,전자물리학,3.0,2학년(1학기),
전공선택,,공통,,PHY2051,현대물리학,3.0,2학년(1학기),
전공선택,,공통,,PHY2231,전산물리학 및 실습,3.0,2학년(2학기),
전공선택,,공통,,PHY3032,열 및 통계역학 2,3.0,3학년(2학기),
전공선택,,공통,전공핵심,PHY3202,수리물리학 2,3.0,2학년(2학기),
전공선택,,광학,전공핵심,PHY2100,기하광학,3.0,3학년(1학기),
전공선택,,광학,전공핵심,PHY3301,물리광학,3.0,3학년(2학기),
전공선택,,광학,,PHY3312,레이저 및 양자광학,3.0,4학년(1학기),
전공선택,,반도체,전공핵심,PHY4404,반도체물리학,3.0,4학년(1학기),
전공선택,,반도체,,PHY4408,첨단반도체 소자물리,3.0,4학년(2학기),
전공선택,,빅테이터 물리,,PHY4236,빅데이터 물리학 및 실습,3.0,4학년(1학기),
전공선택,,빅테이터 물리,,PHY4238,물리학에서의 기계학습,3.0,4학년(2학기),
전공선택,,응집물질물리,전공핵심,PHY3401,신소재물리학,3.0,3학년(1학기),
전공선택,,응집물질물리,전공핵심,PHY3403,고체물리학,3.0,3학년(2학기),
전공선택,,핵및입자물리,전공핵심,PHY3006,상대성이론,3.0,3학년(2학기),
전공선택,,핵및입자물리,전공집중,PHY4501,핵물리학,3.0,4학년(1학기),
전공선택,,핵및입자물리,전공핵심,PHY4502,입자물리학,3.0,4학년(2학기),
